Ano;Semestre;Categoria;Tipo;CNPJ IF;Instituição financeira;Irregularidade;Quantidade de reclamações reguladas procedentes;Quantidade de reclamações reguladas - outras;Quantidade de reclamações não reguladas;Quantidade total de reclamações;
2014;2º;Menos de dois milhões de clientes;Conglomerado; ;ABC-BRASIL (conglomerado);Cobrança irregular de tarifa por serviços não contratados;1;0;0;1;
2014;2º;Menos de dois milhões de clientes;Conglomerado; ;ABC-BRASIL (conglomerado);Cobranças diversas em operação de crédito consignado;0;0;2;2;
2014;2º;Menos de dois milhões de clientes;Conglomerado; ;ABC-BRASIL (conglomerado);Reclamações relacionadas a assuntos diversos;0;0;1;1;
2014;2º;Menos de dois milhões de clientes;Conglomerado; ;ABC-BRASIL (conglomerado);Renegociação de dívida (exceto cartão de crédito);0;0;2;2;
2014;2º;Menos de dois milhões de clientes;Banco/financeira;13660104;AGIPLAN FINANCEIRA S A    CREDITO FINANCIAMENTO E INVESTIMENTO;Cancelamento de contrato a pedido do cliente não atendido;0;1;0;1;
2014;2º;Menos de dois milhões de clientes;Banco/financeira;13660104;AGIPLAN FINANCEIRA S A    CREDITO FINANCIAMENTO E INVESTIMENTO;Cobrança irregular de tarifa de cartão de crédito básico;0;1;0;1;
2014;2º;Menos de dois milhões de clientes;Banco/financeira;13660104;AGIPLAN FINANCEIRA S A    CREDITO FINANCIAMENTO E INVESTIMENTO;Cobranças diversas;0;0;7;7;
2014;2º;Menos de dois milhões de clientes;Banco/financeira;13660104;AGIPLAN FINANCEIRA S A    CREDITO FINANCIAMENTO E INVESTIMENTO;Cobranças diversas em operação de crédito consignado;0;0;12;12;
2014;2º;Menos de dois milhões de clientes;Banco/financeira;13660104;AGIPLAN FINANCEIRA S A    CREDITO FINANCIAMENTO E INVESTIMENTO;Concessão de crédito (exceto consignado) sem a formalização do título adequado;1;0;0;1;
2014;2º;Menos de dois milhões de clientes;Banco/financeira;13660104;AGIPLAN FINANCEIRA S A    CREDITO FINANCIAMENTO E INVESTIMENTO;Concessão de crédito consignado sem a formalização do título adequado;0;1;0;1;
