Ano;Mês;Categoria;Tipo;CNPJ IF;Instituição financeira;Irregularidade;Quantidade de reclamações reguladas procedentes;Quantidade de reclamações reguladas - outras;Quantidade de reclamações não reguladas;Quantidade total de reclamações;
2014;8;Menos de dois milhões de clientes;Conglomerado; ;ABC-BRASIL (conglomerado);Cobrança irregular de tarifa por serviços não contratados;1;0;0;1;
2014;8;Menos de dois milhões de clientes;Banco/financeira;13660104;AGIPLAN FINANCEIRA S A    CREDITO FINANCIAMENTO E INVESTIMENTO;Cancelamento de contrato a pedido do cliente não atendido;0;1;0;1;
2014;8;Menos de dois milhões de clientes;Banco/financeira;13660104;AGIPLAN FINANCEIRA S A    CREDITO FINANCIAMENTO E INVESTIMENTO;Cobranças diversas;0;0;1;1;
2014;8;Menos de dois milhões de clientes;Banco/financeira;13660104;AGIPLAN FINANCEIRA S A    CREDITO FINANCIAMENTO E INVESTIMENTO;Cobranças diversas em operação de crédito consignado;0;0;1;1;
2014;8;Menos de dois milhões de clientes;Banco/financeira;13660104;AGIPLAN FINANCEIRA S A    CREDITO FINANCIAMENTO E INVESTIMENTO;Insatisfação com o atendimento prestado pelo SAC;0;0;2;2;
2014;8;Menos de dois milhões de clientes;Banco/financeira;13660104;AGIPLAN FINANCEIRA S A    CREDITO FINANCIAMENTO E INVESTIMENTO;Insatisfação com o atendimento prestado por agências;0;0;4;4;
2014;8;Menos de dois milhões de clientes;Banco/financeira;13660104;AGIPLAN FINANCEIRA S A    CREDITO FINANCIAMENTO E INVESTIMENTO;Irregularidades relacionadas ao fornecimento de documento para liquidação antecipada de operações de crédito consignado;0;1;0;1;
2014;8;Menos de dois milhões de clientes;Banco/financeira;13660104;AGIPLAN FINANCEIRA S A    CREDITO FINANCIAMENTO E INVESTIMENTO;Irregularidades relativas à integridade, confiabilidade, segurança, sigilo ou legitimidade das operações e serviços;1;0;0;1;
2014;8;Menos de dois milhões de clientes;Banco/financeira;13660104;AGIPLAN FINANCEIRA S A    CREDITO FINANCIAMENTO E INVESTIMENTO;Não liberação de margem consignável (exceto cartão de crédito consignável);0;0;1;1;
2014;8;Menos de dois milhões de clientes;Banco/financeira;13660104;AGIPLAN FINANCEIRA S A    CREDITO FINANCIAMENTO E INVESTIMENTO;Outros assuntos relacionados a cartão de crédito;0;0;1;1;
2014;8;Menos de dois milhões de clientes;Banco/financeira;13660104;AGIPLAN FINANCEIRA S A    CREDITO FINANCIAMENTO E INVESTIMENTO;Renegociação de dívida (exceto cartão de crédito);0;0;1;1;
2014;8;Menos de dois milhões de clientes;Banco/financeira;13660104;AGIPLAN FINANCEIRA S A    CREDITO FINANCIAMENTO E INVESTIMENTO;Restrições cadastrais;0;0;1;1;
2014;8;Menos de dois milhões de clientes;Conglomerado; ;ALFA (conglomerado);Cobranças diversas em operação de crédito consignado;0;0;4;4;
2014;8;Menos de dois milhões de clientes;Conglomerado; ;ALFA (conglomerado);Concessão de crédito consignado sem a formalização do título adequado;0;1;0;1;
2014;8;Menos de dois milhões de clientes;Conglomerado; ;ALFA (conglomerado);Descumprimento do prazo resposta da Ouvidoria;0;1;0;1;
2014;8;Menos de dois milhões de clientes;Conglomerado; ;ALFA (conglomerado);Dificuldade na liberação ou substituição de bem;0;0;1;1;
2014;8;Menos de dois milhões de clientes;Conglomerado; ;ALFA (conglomerado);Insatisfação com a resposta recebida da instituição financeira referente à reclamação registrada no BCB;0;1;0;1;
2014;8;Menos de dois milhões de clientes;Conglomerado; ;ALFA (conglomerado);Investimentos financeiros;0;0;1;1;
2014;8;Menos de dois milhões de clientes;Conglomerado; ;ALFA (conglomerado);Irregularidades relacionadas ao fornecimento de documento para liquidação antecipada de operações de crédito consignado;0;2;0;2;
2014;8;Menos de dois milhões de clientes;Conglomerado; ;ALFA (conglomerado);Irregularidades relacionadas ao fornecimento de informações sobre operações de crédito consignado (pessoa natural);1;3;0;4;
2014;8;Menos de dois milhões de clientes;Conglomerado; ;ALFA (conglomerado);Irregularidades relacionadas ao fornecimento de outros documentos, exceto os relativos a cartão de crédito, contratos e liquidação antecipada;0;1;0;1;
2014;8;Menos de dois milhões de clientes;Conglomerado; ;ALFA (conglomerado);Não liberação de margem consignável (exceto cartão de crédito consignável);0;0;1;1;
2014;8;Menos de dois milhões de clientes;Conglomerado; ;ALFA (conglomerado);Reclamações relacionadas a assuntos diversos;0;0;1;1;
2014;8;Menos de dois milhões de clientes;Conglomerado; ;ALFA (conglomerado);Renegociação de dívidas/encargos relacionadas a cartão de crédito;0;0;1;1;
2014;8;Menos de dois milhões de clientes;Conglomerado; ;ALFA (conglomerado);Restrição à realização de portabilidade de operações de crédito (exceto crédito consignado e financiamento imobiliário) relatívas a pessoas naturais por recusa injustificada;0;1;0;1;
2014;8;Menos de dois milhões de clientes;Conglomerado; ;ALFA (conglomerado);Restrição à realização de portabilidade de operações de crédito consignado relativas a pessoas naturais por recusa injustificada;0;2;0;2;
2014;8;Menos de dois milhões de clientes;Conglomerado; ;ALFA (conglomerado);Utilização incorreta da taxa de desconto no cálculo do valor presente relacionadas às operações de crédito consignado;0;1;0;1;
2014;8;Menos de dois milhões de clientes;Banco/financeira;92874270;BANCO A J  RENNER S A;Bloqueio de cartão de crédito;0;0;1;1;
2014;8;Menos de dois milhões de clientes;Banco/financeira;92874270;BANCO A J  RENNER S A;Insatisfação com o atendimento prestado por agências;0;0;1;1;
2014;8;Menos de dois milhões de clientes;Banco/financeira;92874270;BANCO A J  RENNER S A;Reclamações relacionadas a assuntos diversos;0;0;1;1;
2014;8;Menos de dois milhões de clientes;Banco/financeira;92874270;BANCO A J  RENNER S A;Renegociação de dívidas/encargos relacionadas a cartão de crédito;0;0;1;1;
2014;8;Menos de dois milhões de clientes;Banco/financeira;48795256;BANCO BRACCE S A;Outros assuntos relacionados a cartão de crédito;0;0;1;1;
2014;8;Menos de dois milhões de clientes;Banco/financeira;48795256;BANCO BRACCE S A;Reclamações relacionadas a assuntos diversos;0;0;1;1;
2014;8;Menos de dois milhões de clientes;Banco/financeira;27937333;BANCO BRJ S A;Descumprimento contratual;0;0;1;1;
2014;8;Menos de dois milhões de clientes;Banco/financeira;02992446;BANCO CNH INDUSTRIAL CAPITAL S A;Reclamações relacionadas a assuntos diversos;0;0;1;1;
2014;8;Menos de dois milhões de clientes;Banco/financeira;08357240;BANCO CSF S A;Cancelamento de contrato a pedido do cliente não atendido;0;1;0;1;
2014;8;Menos de dois milhões de clientes;Banco/financeira;08357240;BANCO CSF S A;Cobrança irregular de tarifa de cartão de crédito diferenciado;2;0;0;2;
2014;8;Menos de dois milhões de clientes;Banco/financeira;08357240;BANCO CSF S A;Descumprimento de prazo de resposta da reclamação registrada no BCB;1;0;0;1;
2014;8;Menos de dois milhões de clientes;Banco/financeira;08357240;BANCO CSF S A;Insatisfação com a resposta recebida da instituição financeira referente à reclamação registrada no BCB;0;1;0;1;
2014;8;Menos de dois milhões de clientes;Banco/financeira;08357240;BANCO CSF S A;Insatisfação com o atendimento prestado pelo SAC;0;0;1;1;
2014;8;Menos de dois milhões de clientes;Banco/financeira;08357240;BANCO CSF S A;Insatisfação com o atendimento prestado por agências;0;0;1;1;
2014;8;Menos de dois milhões de clientes;Banco/financeira;08357240;BANCO CSF S A;Irregularidades relacionadas ao fornecimento de documentos relativos a cartão de crédito;0;2;0;2;
