Ano;Mês;Categoria;Tipo;CNPJ IF;Instituição financeira;Índice;Quantidade de reclamações reguladas procedentes;Quantidade de reclamações reguladas - outras;Quantidade de reclamações não reguladas;Quantidade total de reclamações;Quantidade total de clientes – CCS e SCR;Quantidade de clientes – CCS;Quantidade de clientes – SCR;Quantidade de clientes – FGC;
2014;12;Menos de dois milhões de clientes;Banco/financeira;13660104;AGIPLAN FINANCEIRA S A    CREDITO FINANCIAMENTO E INVESTIMENTO; ;0;3;7;10;102522; ;102522; ;
2014;12;Menos de dois milhões de clientes;Banco/financeira;36321990;AGORACRED S A SOCIEDADE DE CREDITO  FINANCIAMENTO E INVESTIMENTO; ;0;0;1;1;33877; ;33877; ;
2014;12;Menos de dois milhões de clientes;Conglomerado; ;ALFA (conglomerado); ;6;10;6;22;453039;269199;187059;0;
2014;12;Menos de dois milhões de clientes;Banco/financeira;92874270;BANCO A J  RENNER S A; ;1;0;1;2;89065;5611;83866;1520;
2014;12;Menos de dois milhões de clientes;Banco/financeira;54403563;BANCO ARBI S A; ;1;0;0;1;4483;306;4202;152;
2014;12;Menos de dois milhões de clientes;Banco/financeira;08357240;BANCO CSF S A; ;7;5;20;32;1452017; ;1452017; ;
2014;12;Menos de dois milhões de clientes;Banco/financeira;04902979;BANCO DA AMAZONIA S A; ;1;2;2;5;498970;400758;180782;271995;
2014;12;Menos de dois milhões de clientes;Banco/financeira;62232889;BANCO DAYCOVAL S A;59,06;39;161;124;324;660306;32098;632175;7932;
2014;12;Menos de dois milhões de clientes;Banco/financeira;13009717;BANCO DO ESTADO DE SERGIPE S A; ;3;8;0;11;785174;771751;139470;570008;
2014;12;Menos de dois milhões de clientes;Banco/financeira;04913711;BANCO DO ESTADO DO PARA S A; ;5;3;3;11;680242;675837;159630;515812;
2014;12;Mais de dois milhões de clientes;Banco/financeira;07237373;BANCO DO NORDESTE DO BRASIL S A; 0 ;0;1;5;6;4483091;4282818;852966;3125587;
2014;12;Menos de dois milhões de clientes;Banco/financeira;58616418;BANCO FIBRA S A; ;2;2;9;13;166950;6108;161531;2040;
2014;12;Menos de dois milhões de clientes;Banco/financeira;61348538;BANCO FICSA S A; ;2;2;2;6;29918;1262;28661;856;
2014;12;Menos de dois milhões de clientes;Banco/financeira;62237425;BANCO FIDIS S A; ;0;0;1;1;8714;365;8391; ;
2014;12;Menos de dois milhões de clientes;Banco/financeira;10664513;BANCO GERADOR S A; ;2;2;1;5;52911;351;52605;158;
2014;12;Menos de dois milhões de clientes;Banco/financeira;03215790;BANCO TOYOTA DO BRASIL S A; ;0;1;2;3;126544;14849;114558; ;
2014;12;Menos de dois milhões de clientes;Banco/financeira;17351180;BANCO TRIANGULO S A; ;0;5;3;8;167765;130029;51232;16066;
2014;12;Menos de dois milhões de clientes;Banco/financeira;09526594;BANCO VIPAL S A; ;0;0;1;1;1544;24;1521; ;
2014;12;Menos de dois milhões de clientes;Conglomerado; ;BANCOOB (conglomerado); ;1;1;3;5;1195783;914706;337264;633829;
2014;12;Menos de dois milhões de clientes;Conglomerado; ;BANESTES (conglomerado); ;2;0;1;3;1167320;1130181;242419;863818;
2014;12;Menos de dois milhões de clientes;Conglomerado; ;BANIF (conglomerado); ;0;0;1;1;32159;4878;28057;2282;
2014;12;Mais de dois milhões de clientes;Conglomerado; ;BANRISUL (conglomerado);10,30;40;89;63;192;3882582;3108963;1544974;2404386;
2014;12;Menos de dois milhões de clientes;Conglomerado; ;BARIGUI (conglomerado); ;1;7;6;14;27573; ;27573; ;
2014;12;Mais de dois milhões de clientes;Conglomerado; ;BB (conglomerado);4,56;252;492;1317;2061;55247227;53690415;15895971;36941731;
2014;12;Menos de dois milhões de clientes;Conglomerado; ;BBM (conglomerado); ;0;0;1;1;11903;10808;1279;973;
2014;12;Menos de dois milhões de clientes;Conglomerado; ;BIC (conglomerado);74,98;13;84;54;151;173365;18212;158450;7184;
2014;12;Menos de dois milhões de clientes;Conglomerado; ;BMG (conglomerado);50,37;97;238;406;741;1925622;24299;1902920;7065;
2014;12;Menos de dois milhões de clientes;Conglomerado; ;BMW (conglomerado); ;0;0;1;1;17612; ;17612; ;
2014;12;Menos de dois milhões de clientes;Conglomerado; ;BNP PARIBAS (conglomerado);599,78;718;856;287;1861;1197099;14570;1182894;1818;
2014;12;Menos de dois milhões de clientes;Conglomerado; ;BOFA MERRILL LYNCH (conglomerado); ;0;1;0;1;950;942;32;188;
2014;12;Menos de dois milhões de clientes;Conglomerado; ;BONSUCESSO (conglomerado);20,78;10;72;48;130;481072;9785;471575;1971;
2014;12;Mais de dois milhões de clientes;Conglomerado; ;BRADESCO (conglomerado);5,69;425;1261;1475;3161;74679968;69479707;21553638;33956702;
2014;12;Menos de dois milhões de clientes;Conglomerado; ;BRB (conglomerado); ;6;21;19;46;747254;693598;245629;530255;
2014;12;Menos de dois milhões de clientes;Conglomerado; ;BTG PACTUAL (conglomerado); ;0;0;1;1;42442;42199;713;4134;
2014;12;Mais de dois milhões de clientes;Conglomerado; ;CAIXA ECONÔMICA FEDERAL (conglomerado);10,84;805;652;1965;3422;74218985;72408426;14805668;61345789;
2014;12;Menos de dois milhões de clientes;Conglomerado; ;CITIBANK (conglomerado);16,01;17;40;76;133;1061186;534335;676122;221506;
2014;12;Menos de dois milhões de clientes;Banco/financeira;60779196;CREFISA S A  CREDITO  FINANCIAMENTO E INVESTIMENTOS; ;3;10;15;28;698459; ;698459; ;
2014;12;Menos de dois milhões de clientes;Conglomerado; ;DACASA FINANCEIRA (conglomerado); ;0;0;1;1;484567; ;484567; ;
2014;12;Menos de dois milhões de clientes;Banco/financeira;15581638;FACTA FINANCEIRA S A    CREDITO FINANCIAMENTO E INVESTIMENTO; ;0;0;2;2;6323; ;6323; ;
2014;12;Menos de dois milhões de clientes;Conglomerado; ;GMAC (conglomerado); ;0;11;24;35;590842;6001;589839; ;
2014;12;Menos de dois milhões de clientes;Conglomerado; ;HONDA (conglomerado); ;0;1;4;5;460305;12;460294; ;
2014;12;Mais de dois milhões de clientes;Conglomerado; ;HSBC (conglomerado);8,01;81;184;160;425;10108239;7448198;4408927;6235664;
2014;12;Menos de dois milhões de clientes;Conglomerado; ;INDUSTRIAL DO BRASIL (conglomerado); ;2;1;0;3;56941;4716;52713;782;
2014;12;Menos de dois milhões de clientes;Conglomerado; ;INTERMEDIUM (conglomerado); ;0;40;13;53;159550;7451;152508;2379;
2014;12;Mais de dois milhões de clientes;Conglomerado; ;ITAU (conglomerado);5,24;302;1619;2312;4233;57627809;45095928;27557854;27492103;
2014;12;Menos de dois milhões de clientes;Conglomerado; ;J.MALUCELLI (conglomerado);48,49;17;148;29;194;350570;3959;347058;1253;
2014;12;Menos de dois milhões de clientes;Conglomerado; ;LECCA (conglomerado); ;0;3;2;5;9963; ;9963; ;
2014;12;Mais de dois milhões de clientes;Conglomerado; ;MERCANTIL DO BRASIL (conglomerado);2,35;5;43;28;76;2124913;1402905;965584;975770;
2014;12;Menos de dois milhões de clientes;Conglomerado; ;MERCEDES-BENZ (conglomerado); ;0;1;0;1;35650;89;35644; ;
2014;12;Menos de dois milhões de clientes;Banco/financeira;09464032;MIDWAY S A    CREDITO  FINANCIAMENTO E INVESTIMENTO; ;2;0;5;7;596829; ;596829; ;
2014;12;Menos de dois milhões de clientes;Conglomerado; ;OMNI (conglomerado); ;1;1;3;5;301738; ;301738; ;
2014;12;Menos de dois milhões de clientes;Conglomerado; ;ORIGINAL (conglomerado); ;0;11;11;22;39892;3391;36900;1206;
2014;12;Menos de dois milhões de clientes;Conglomerado; ;PANAMERICANO (conglomerado);59,00;112;650;285;1047;1898288;12402;1886848;2925;
2014;12;Menos de dois milhões de clientes;Conglomerado; ;PERNAMBUCANAS (conglomerado); ;0;2;2;4;1311208; ;1311208; ;
2014;12;Menos de dois milhões de clientes;Conglomerado; ;PORTO SEGURO (conglomerado); ;4;3;7;14;807046; ;807046; ;
2014;12;Menos de dois milhões de clientes;Banco/financeira;01800019;PORTOCRED S A    CREDITO  FINANCIAMENTO E INVESTIMENTO; ;0;4;3;7;58285; ;58285; ;
2014;12;Menos de dois milhões de clientes;Conglomerado; ;PSA FINANCE (conglomerado); ;1;2;9;12;130238;456;129982; ;
2014;12;Menos de dois milhões de clientes;Conglomerado; ;QUERO-QUERO (conglomerado); ;0;1;0;1;89174; ;89174; ;
2014;12;Menos de dois milhões de clientes;Conglomerado; ;RENDIMENTO (conglomerado); ;0;0;1;1;12244;8917;4450;2702;
2014;12;Menos de dois milhões de clientes;Conglomerado; ;SAFRA (conglomerado);20,56;12;63;65;140;583414;258879;368013;137262;
2014;12;Menos de dois milhões de clientes;Banco/financeira;05503849;SANTANA S A    CREDITO  FINANCIAMENTO E INVESTIMENTO; ;0;0;1;1;23743; ;23743; ;
2014;12;Mais de dois milhões de clientes;Conglomerado; ;SANTANDER (conglomerado);9,54;300;632;832;1764;31430560;27984488;9468387;22956024;
2014;12;Menos de dois milhões de clientes;Conglomerado; ;SANTINVEST (conglomerado); ;0;1;0;1;6178; ;6178; ;
2014;12;Menos de dois milhões de clientes;Conglomerado; ;SICREDI (conglomerado); ;0;0;1;1;1890951;1856402;88157;979381;
2014;12;Menos de dois milhões de clientes;Conglomerado; ;SOCIETE GENERALE (conglomerado);14,79;11;106;38;155;743310;612;742763;68;
2014;12;Menos de dois milhões de clientes;Conglomerado; ;SOCOPA (conglomerado); ;0;1;0;1;21240;6065;15359;1487;
2014;12;Menos de dois milhões de clientes;Conglomerado; ;SOFISA (conglomerado); ;0;1;0;1;34224;22475;12566;7978;
2014;12;Menos de dois milhões de clientes;Banco/financeira;04814563;SOROCRED   CREDITO  FINANCIAMENTO E INVESTIMENTO S A; ;0;1;3;4;120803; ;120803; ;
2014;12;Menos de dois milhões de clientes;Conglomerado; ;VOLKSWAGEN (conglomerado); ;0;3;8;11;653520;1386;652491; ;
2014;12;Mais de dois milhões de clientes;Conglomerado; ;VOTORANTIM (conglomerado);5,42;24;164;151;339;4425476;18900;4409753;6614;
2014;12;Menos de dois milhões de clientes;Conglomerado; ;VR (conglomerado); ;0;1;0;1;73;73; ;32;
2014;12;Menos de dois milhões de clientes;Conglomerado; ;YAMAHA MOTOR (conglomerado); ;0;0;1;1;117036;56;116982; ;
