Ano;Mês;Categoria;Tipo;CNPJ IF;Instituição financeira;Índice;Quantidade de reclamações reguladas procedentes;Quantidade de reclamações reguladas - outras;Quantidade de reclamações não reguladas;Quantidade total de reclamações;Quantidade total de clientes – CCS e SCR;Quantidade de clientes – CCS;Quantidade de clientes – SCR;Quantidade de clientes – FGC;
2014;7;Menos de dois milhões de clientes;Conglomerado; ;ABC-BRASIL (conglomerado); ;0;0;1;1;11760;9743;3647;2651;
2014;7;Menos de dois milhões de clientes;Banco/financeira;13660104;AGIPLAN FINANCEIRA S A    CREDITO FINANCIAMENTO E INVESTIMENTO; ;2;4;17;23;91323; ;91323; ;
2014;7;Menos de dois milhões de clientes;Conglomerado; ;ALFA (conglomerado); ;2;11;11;24;455612;269234;189986;4149;
2014;7;Menos de dois milhões de clientes;Banco/financeira;92874270;BANCO A J  RENNER S A; ;0;1;0;1;84924;5386;79977;1552;
2014;7;Menos de dois milhões de clientes;Banco/financeira;03532415;BANCO ABN AMRO S A; ;0;1;3;4;62;59;7;10;
2014;7;Menos de dois milhões de clientes;Banco/financeira;48795256;BANCO BRACCE S A; ;0;1;2;3;3095;664;2440;105;
2014;7;Menos de dois milhões de clientes;Banco/financeira;27937333;BANCO BRJ S A; ;0;0;1;1;247;172;87; ;
2014;7;Menos de dois milhões de clientes;Banco/financeira;08357240;BANCO CSF S A;8,78;12;7;20;39;1365499; ;1365499; ;
2014;7;Menos de dois milhões de clientes;Banco/financeira;04902979;BANCO DA AMAZONIA S A; ;0;1;5;6;499665;398961;181862;273963;
2014;7;Menos de dois milhões de clientes;Banco/financeira;62232889;BANCO DAYCOVAL S A;54,16;33;192;98;323;609238;29406;583662;9399;
2014;7;Menos de dois milhões de clientes;Banco/financeira;05040481;BANCO DE LAGE LANDEN BRASIL S A; ;0;1;0;1;54530; ;54530; ;
2014;7;Menos de dois milhões de clientes;Banco/financeira;13009717;BANCO DO ESTADO DE SERGIPE S A; ;2;6;4;12;766399;752420;139823;556303;
2014;7;Menos de dois milhões de clientes;Banco/financeira;04913711;BANCO DO ESTADO DO PARA S A; ;6;9;5;20;655949;651522;156806;487899;
2014;7;Mais de dois milhões de clientes;Banco/financeira;07237373;BANCO DO NORDESTE DO BRASIL S A;0,23;1;5;2;8;4209214;4002696;831727;2791476;
2014;7;Menos de dois milhões de clientes;Banco/financeira;58616418;BANCO FIBRA S A;62,10;14;35;12;61;225442;6478;219730;2300;
2014;7;Menos de dois milhões de clientes;Banco/financeira;61348538;BANCO FICSA S A; ;4;13;6;23;47039;1645;45403;742;
2014;7;Menos de dois milhões de clientes;Banco/financeira;10664513;BANCO GERADOR S A; ;1;4;1;6;52552;306;52300;141;
2014;7;Menos de dois milhões de clientes;Banco/financeira;59118133;BANCO LUSO BRASILEIRO S A; ;0;1;1;2;12472;3528;9188;1022;
2014;7;Menos de dois milhões de clientes;Banco/financeira;00795423;BANCO SEMEAR S A; ;1;2;0;3;103756;2532;101308;701;
2014;7;Menos de dois milhões de clientes;Banco/financeira;04866275;BANCO STANDARD DE INVESTIMENTOS S A; ;0;1;0;1;7;4;3; ;
2014;7;Menos de dois milhões de clientes;Banco/financeira;03215790;BANCO TOYOTA DO BRASIL S A; ;0;1;2;3;112284;14865;100509; ;
2014;7;Menos de dois milhões de clientes;Banco/financeira;17351180;BANCO TRIANGULO S A; ;0;0;3;3;156391;122947;46740;15348;
2014;7;Menos de dois milhões de clientes;Conglomerado; ;BANCOOB (conglomerado); ;0;5;1;6;1115992;856836;310911;586654;
2014;7;Menos de dois milhões de clientes;Conglomerado; ;BANESTES (conglomerado); ;5;1;3;9;1156244;1118452;237749;896924;
2014;7;Menos de dois milhões de clientes;Conglomerado; ;BANIF (conglomerado); ;0;0;2;2;35259;5178;30920;2517;
2014;7;Mais de dois milhões de clientes;Conglomerado; ;BANRISUL (conglomerado);11,87;45;111;36;192;3790428;3042836;1519591;2417656;
2014;7;Menos de dois milhões de clientes;Conglomerado; ;BARCLAYS (conglomerado); ;0;1;0;1;3456;3424;35;16;
2014;7;Menos de dois milhões de clientes;Conglomerado; ;BARIGUI (conglomerado); ;1;14;2;17;26641; ;26641; ;
2014;7;Mais de dois milhões de clientes;Conglomerado; ;BB (conglomerado);5,75;315;538;1472;2325;54726290;53238524;15691716;36843993;
2014;7;Menos de dois milhões de clientes;Conglomerado; ;BBM (conglomerado); ;0;0;1;1;12249;11066;1351;841;
2014;7;Menos de dois milhões de clientes;Conglomerado; ;BIC (conglomerado);199,49;34;58;24;116;170433;19545;154654;7378;
2014;7;Mais de dois milhões de clientes;Conglomerado; ;BMG (conglomerado);40,30;106;403;441;950;2629740;26729;2605485;6665;
2014;7;Menos de dois milhões de clientes;Conglomerado; ;BMW (conglomerado); ;0;0;2;2;16882; ;16882; ;
2014;7;Menos de dois milhões de clientes;Conglomerado; ;BNP PARIBAS (conglomerado);45,61;52;364;333;749;1140071;13589;1126832;1963;
2014;7;Menos de dois milhões de clientes;Conglomerado; ;BONSUCESSO (conglomerado); ;9;78;35;122;490470;6429;484259;1852;
2014;7;Mais de dois milhões de clientes;Conglomerado; ;BRADESCO (conglomerado);5,34;393;1388;1399;3180;73499291;68366719;21200478;35293288;
2014;7;Menos de dois milhões de clientes;Conglomerado; ;BRB (conglomerado); ;9;24;28;61;714827;666780;239751;513455;
2014;7;Mais de dois milhões de clientes;Conglomerado; ;CAIXA ECONÔMICA FEDERAL (conglomerado);6,69;488;686;1442;2616;72847725;71153202;14744264;58977704;
2014;7;Menos de dois milhões de clientes;Conglomerado; ;CITIBANK (conglomerado);17,03;18;46;90;154;1056849;534366;676155;233292;
2014;7;Menos de dois milhões de clientes;Banco/financeira;60779196;CREFISA S A  CREDITO  FINANCIAMENTO E INVESTIMENTOS; ;1;11;9;21;607353; ;607353; ;
2014;7;Menos de dois milhões de clientes;Conglomerado; ;DACASA FINANCEIRA (conglomerado); ;0;2;0;2;461615; ;461615; ;
2014;7;Menos de dois milhões de clientes;Banco/financeira;15581638;FACTA FINANCEIRA S A    CREDITO FINANCIAMENTO E INVESTIMENTO; ;0;1;0;1;2639; ;2639; ;
2014;7;Menos de dois milhões de clientes;Banco/financeira;00411939;FINAMAX S A    CREDITO  FINANCIAMENTO E INVESTIMENTO; ;1;0;0;1;72670; ;72670; ;
2014;7;Menos de dois milhões de clientes;Conglomerado; ;GMAC (conglomerado); ;0;6;12;18;547773;8408;546582; ;
2014;7;Menos de dois milhões de clientes;Conglomerado; ;HONDA (conglomerado); ;0;1;7;8;443627;12;443616; ;
2014;7;Menos de dois milhões de clientes;Banco/financeira;07512441;HS FINANCEIRA S A CREDITO  FINANCIAMENTO E INVESTIMENTOS; ;0;0;1;1;50030; ;50030; ;
2014;7;Mais de dois milhões de clientes;Conglomerado; ;HSBC (conglomerado);9,54;98;152;167;417;10263815;7672017;4371099;6026128;
2014;7;Menos de dois milhões de clientes;Conglomerado; ;INDUSTRIAL DO BRASIL (conglomerado); ;2;2;4;8;56648;3949;53203;716;
2014;7;Menos de dois milhões de clientes;Conglomerado; ;INDUSVAL (conglomerado); ;0;1;1;2;15099;5631;10444;2802;
2014;7;Menos de dois milhões de clientes;Conglomerado; ;INTERMEDIUM (conglomerado); ;2;66;6;74;157785;6818;151353;2020;
2014;7;Mais de dois milhões de clientes;Conglomerado; ;ITAU (conglomerado);5,48;308;1917;1703;3928;56130055;44181520;26661964;26664314;
2014;7;Menos de dois milhões de clientes;Conglomerado; ;J.MALUCELLI (conglomerado);68,09;23;179;23;225;337739;3671;334372;1190;
2014;7;Menos de dois milhões de clientes;Conglomerado; ;LECCA (conglomerado); ;2;16;0;18;11999; ;11999; ;
2014;7;Mais de dois milhões de clientes;Conglomerado; ;MERCANTIL DO BRASIL (conglomerado);2,89;6;119;34;159;2073246;1322345;971846;901140;
2014;7;Menos de dois milhões de clientes;Banco/financeira;09464032;MIDWAY S A    CREDITO  FINANCIAMENTO E INVESTIMENTO; ;1;1;6;8;457808; ;457808; ;
2014;7;Menos de dois milhões de clientes;Conglomerado; ;OMNI (conglomerado); ;0;1;4;5;276164; ;276164; ;
2014;7;Menos de dois milhões de clientes;Conglomerado; ;ORIGINAL (conglomerado); ;0;38;6;44;40789;4763;36401;1107;
2014;7;Menos de dois milhões de clientes;Conglomerado; ;PANAMERICANO (conglomerado);17,30;31;434;170;635;1791791;12298;1780415;2990;
2014;7;Menos de dois milhões de clientes;Conglomerado; ;PERNAMBUCANAS (conglomerado); ;0;0;3;3;1156251; ;1156251; ;
2014;7;Menos de dois milhões de clientes;Conglomerado; ;PINE (conglomerado); ;0;1;0;1;10389;4948;5751;1335;
2014;7;Menos de dois milhões de clientes;Conglomerado; ;PORTO SEGURO (conglomerado); ;1;2;9;12;746585; ;746585; ;
2014;7;Menos de dois milhões de clientes;Banco/financeira;01800019;PORTOCRED S A    CREDITO  FINANCIAMENTO E INVESTIMENTO; ;1;2;1;4;53997; ;53997; ;
2014;7;Menos de dois milhões de clientes;Conglomerado; ;PSA FINANCE (conglomerado); ;1;4;12;17;136639;456;136406; ;
2014;7;Menos de dois milhões de clientes;Conglomerado; ;QUERO-QUERO (conglomerado); ;0;0;1;1;80025; ;80025; ;
2014;7;Menos de dois milhões de clientes;Conglomerado; ;RENDIMENTO (conglomerado); ;2;0;4;6;11433;8512;4004;2340;
2014;7;Menos de dois milhões de clientes;Conglomerado; ;RODOBENS (conglomerado); ;1;0;1;2;46704;37782;21266;162;
2014;7;Menos de dois milhões de clientes;Conglomerado; ;SAFRA (conglomerado);26,82;15;104;78;197;559197;250331;352071;130263;
2014;7;Menos de dois milhões de clientes;Banco/financeira;05503849;SANTANA S A    CREDITO  FINANCIAMENTO E INVESTIMENTO; ;0;0;1;1;24371; ;24371; ;
2014;7;Mais de dois milhões de clientes;Conglomerado; ;SANTANDER (conglomerado);13,61;419;734;1212;2365;30776912;27405648;9459334;22851788;
2014;7;Menos de dois milhões de clientes;Conglomerado; ;SANTINVEST (conglomerado); ;0;0;1;1;6247; ;6247; ;
2014;7;Menos de dois milhões de clientes;Banco/financeira;07747410;SAX S A    CREDITO  FINANCIAMENTO E INVESTIMENTO; ;0;0;1;1;106351; ;106351; ;
