Ano;Mês;Categoria;Tipo;CNPJ IF;Instituição financeira;Irregularidade;Quantidade de reclamações reguladas procedentes;Quantidade de reclamações reguladas - outras;Quantidade de reclamações não reguladas;Quantidade total de reclamações;
2014;11;Menos de dois milhões de clientes;Conglomerado; ;ABC-BRASIL (conglomerado);Cobranças diversas em operação de crédito consignado;0;0;1;1;
2014;11;Menos de dois milhões de clientes;Conglomerado; ;ABC-BRASIL (conglomerado);Renegociação de dívida (exceto cartão de crédito);0;0;1;1;
2014;11;Menos de dois milhões de clientes;Banco/financeira;13660104;AGIPLAN FINANCEIRA S A    CREDITO FINANCIAMENTO E INVESTIMENTO;Cobrança irregular de tarifa de cartão de crédito básico;0;1;0;1;
2014;11;Menos de dois milhões de clientes;Banco/financeira;13660104;AGIPLAN FINANCEIRA S A    CREDITO FINANCIAMENTO E INVESTIMENTO;Cobranças diversas;0;0;1;1;
2014;11;Menos de dois milhões de clientes;Banco/financeira;13660104;AGIPLAN FINANCEIRA S A    CREDITO FINANCIAMENTO E INVESTIMENTO;Cobranças diversas em operação de crédito consignado;0;0;3;3;
2014;11;Menos de dois milhões de clientes;Banco/financeira;13660104;AGIPLAN FINANCEIRA S A    CREDITO FINANCIAMENTO E INVESTIMENTO;Concessão de crédito consignado sem a formalização do título adequado;0;1;0;1;
2014;11;Menos de dois milhões de clientes;Banco/financeira;13660104;AGIPLAN FINANCEIRA S A    CREDITO FINANCIAMENTO E INVESTIMENTO;Concessão de demais créditos (exceto consignado) mediante a formalização de título adequado com base em documentação falsa;0;1;0;1;
2014;11;Menos de dois milhões de clientes;Banco/financeira;13660104;AGIPLAN FINANCEIRA S A    CREDITO FINANCIAMENTO E INVESTIMENTO;Descumprimento de prazo de resposta da reclamação registrada no BCB;0;2;0;2;
2014;11;Menos de dois milhões de clientes;Banco/financeira;13660104;AGIPLAN FINANCEIRA S A    CREDITO FINANCIAMENTO E INVESTIMENTO;Débito em conta de depósito não autorizado pelo cliente;0;4;0;4;
2014;11;Menos de dois milhões de clientes;Banco/financeira;13660104;AGIPLAN FINANCEIRA S A    CREDITO FINANCIAMENTO E INVESTIMENTO;Insatisfação com o atendimento prestado por agências;0;0;1;1;
2014;11;Menos de dois milhões de clientes;Banco/financeira;13660104;AGIPLAN FINANCEIRA S A    CREDITO FINANCIAMENTO E INVESTIMENTO;Irregularidades relacionadas ao fornecimento de contratos de operações de crédito consignado;0;1;0;1;
2014;11;Menos de dois milhões de clientes;Banco/financeira;13660104;AGIPLAN FINANCEIRA S A    CREDITO FINANCIAMENTO E INVESTIMENTO;Irregularidades relacionadas ao fornecimento de contratos de operações de crédito de outras modalidades, exceto crédito consignado, financiamento imobiliário e cartão de crédito.;0;1;0;1;
2014;11;Menos de dois milhões de clientes;Banco/financeira;13660104;AGIPLAN FINANCEIRA S A    CREDITO FINANCIAMENTO E INVESTIMENTO;Irregularidades relacionadas ao fornecimento de documentos relativos a cartão de crédito;0;1;0;1;
2014;11;Menos de dois milhões de clientes;Banco/financeira;13660104;AGIPLAN FINANCEIRA S A    CREDITO FINANCIAMENTO E INVESTIMENTO;Irregularidades relacionadas ao Sistema de Informações de Crédito do Banco Central (SCR);0;1;0;1;
2014;11;Menos de dois milhões de clientes;Banco/financeira;13660104;AGIPLAN FINANCEIRA S A    CREDITO FINANCIAMENTO E INVESTIMENTO;Irregularidades relativas à integridade, confiabilidade, segurança, sigilo ou legitimidade das operações e serviços;0;2;0;2;
2014;11;Menos de dois milhões de clientes;Banco/financeira;13660104;AGIPLAN FINANCEIRA S A    CREDITO FINANCIAMENTO E INVESTIMENTO;Não divulgação de situações que impliquem recusa à realização de serviços;0;1;0;1;
2014;11;Menos de dois milhões de clientes;Banco/financeira;13660104;AGIPLAN FINANCEIRA S A    CREDITO FINANCIAMENTO E INVESTIMENTO;Outras irregularidades ;0;3;0;3;
2014;11;Menos de dois milhões de clientes;Banco/financeira;13660104;AGIPLAN FINANCEIRA S A    CREDITO FINANCIAMENTO E INVESTIMENTO;Outras irregularidades relacionadas à portabilidade de operações de crédito de pessoa natural;0;1;0;1;
2014;11;Menos de dois milhões de clientes;Banco/financeira;13660104;AGIPLAN FINANCEIRA S A    CREDITO FINANCIAMENTO E INVESTIMENTO;Reclamações relacionadas a assuntos diversos;0;0;10;10;
2014;11;Menos de dois milhões de clientes;Conglomerado; ;ALFA (conglomerado);Cobranças diversas em operação de crédito consignado;0;0;3;3;
2014;11;Menos de dois milhões de clientes;Conglomerado; ;ALFA (conglomerado);Descumprimento contratual;0;0;1;1;
2014;11;Menos de dois milhões de clientes;Conglomerado; ;ALFA (conglomerado);Insatisfação com o atendimento prestado pelo SAC;0;0;1;1;
2014;11;Menos de dois milhões de clientes;Conglomerado; ;ALFA (conglomerado);Irregularidades relacionadas ao fornecimento de documento para liquidação antecipada de demais operações de operações de crédito, exceto consignado e financiamento imobiliário;0;2;0;2;
2014;11;Menos de dois milhões de clientes;Conglomerado; ;ALFA (conglomerado);Irregularidades relacionadas ao fornecimento de documento para liquidação antecipada de operações de crédito consignado;0;2;0;2;
2014;11;Menos de dois milhões de clientes;Conglomerado; ;ALFA (conglomerado);Restrição à realização de portabilidade de operações de crédito consignado relativas a pessoas naturais por recusa injustificada;0;4;0;4;
2014;11;Menos de dois milhões de clientes;Conglomerado; ;ALFA (conglomerado);Restrições cadastrais;0;0;1;1;
2014;11;Menos de dois milhões de clientes;Banco/financeira;03532415;BANCO ABN AMRO S A;Dificuldade na liberação ou substituição de bem;0;0;1;1;
2014;11;Menos de dois milhões de clientes;Banco/financeira;09391857;BANCO AZTECA DO BRASIL S A;Outras irregularidades relacionadas à portabilidade de operações de crédito de pessoa natural;0;1;0;1;
2014;11;Menos de dois milhões de clientes;Banco/financeira;00997185;BANCO BM FBOVESPA DE SERVICOS DE LIQUIDACAO E CUSTODIA S A;Irregularidades relacionadas ao fornecimento de outros documentos, exceto os relativos a cartão de crédito, contratos e liquidação antecipada;0;1;0;1;
2014;11;Menos de dois milhões de clientes;Banco/financeira;48795256;BANCO BRACCE S A;Juros;0;0;1;1;
2014;11;Menos de dois milhões de clientes;Banco/financeira;08357240;BANCO CSF S A;Bloqueio de cartão de crédito;0;0;1;1;
2014;11;Menos de dois milhões de clientes;Banco/financeira;08357240;BANCO CSF S A;Cobrança irregular de tarifa de cartão de crédito diferenciado;2;0;0;2;
