Ano;Mês;Categoria;Tipo;CNPJ IF;Instituição financeira;Índice;Quantidade de reclamações reguladas procedentes;Quantidade de reclamações reguladas - outras;Quantidade de reclamações não reguladas;Quantidade total de reclamações;Quantidade total de clientes – CCS e SCR;Quantidade de clientes – CCS;Quantidade de clientes – SCR;Quantidade de clientes – FGC;
2014;11;Menos de dois milhões de clientes;Conglomerado; ;ABC-BRASIL (conglomerado); ;0;0;2;2;12161;10177;3640;3207;
2014;11;Menos de dois milhões de clientes;Banco/financeira;13660104;AGIPLAN FINANCEIRA S A    CREDITO FINANCIAMENTO E INVESTIMENTO; ;0;20;15;35;102445; ;102445; ;
2014;11;Menos de dois milhões de clientes;Conglomerado; ;ALFA (conglomerado); ;0;8;6;14;455214;269197;189334;0;
2014;11;Menos de dois milhões de clientes;Banco/financeira;03532415;BANCO ABN AMRO S A; ;0;0;1;1;83;74;18;5;
2014;11;Menos de dois milhões de clientes;Banco/financeira;09391857;BANCO AZTECA DO BRASIL S A; ;0;1;0;1;129451;99823;47037;80499;
2014;11;Menos de dois milhões de clientes;Banco/financeira;00997185;BANCO BM FBOVESPA DE SERVICOS DE LIQUIDACAO E CUSTODIA S A; ;0;1;0;1;614;614; ;44;
2014;11;Menos de dois milhões de clientes;Banco/financeira;48795256;BANCO BRACCE S A; ;0;0;1;1;3151;703;2457;110;
2014;11;Menos de dois milhões de clientes;Banco/financeira;08357240;BANCO CSF S A; ;7;4;16;27;1459366; ;1459366; ;
2014;11;Menos de dois milhões de clientes;Banco/financeira;04902979;BANCO DA AMAZONIA S A; ;0;0;2;2;498826;399502;181314;271995;
2014;11;Menos de dois milhões de clientes;Banco/financeira;62232889;BANCO DAYCOVAL S A;70,83;46;214;103;363;649434;31525;621699;7932;
2014;11;Menos de dois milhões de clientes;Banco/financeira;13009717;BANCO DO ESTADO DE SERGIPE S A; ;2;5;0;7;782150;768989;138673;570008;
2014;11;Menos de dois milhões de clientes;Banco/financeira;04913711;BANCO DO ESTADO DO PARA S A; ;3;3;4;10;672721;672721; ;515812;
2014;11;Mais de dois milhões de clientes;Banco/financeira;07237373;BANCO DO NORDESTE DO BRASIL S A; 0 ;0;8;5;13;4423934;4221638;849304;3125587;
2014;11;Menos de dois milhões de clientes;Banco/financeira;58616418;BANCO FIBRA S A; ;0;9;17;26;174164;6077;168786;2040;
2014;11;Menos de dois milhões de clientes;Banco/financeira;61348538;BANCO FICSA S A; ;0;2;2;4;30759;1264;29500;856;
2014;11;Menos de dois milhões de clientes;Banco/financeira;90731688;BANCO FORD S A; ;0;1;0;1;517;225;296; ;
2014;11;Menos de dois milhões de clientes;Banco/financeira;10664513;BANCO GERADOR S A; ;1;7;1;9;53498;311;53234;158;
2014;11;Menos de dois milhões de clientes;Banco/financeira;33588252;BANCO INDUSCRED DE INVESTIMENTO S A; ;0;0;1;1;45;17;28; ;
2014;11;Menos de dois milhões de clientes;Banco/financeira;59118133;BANCO LUSO BRASILEIRO S A; ;0;1;2;3;11868;3685;8431;955;
2014;11;Menos de dois milhões de clientes;Banco/financeira;00795423;BANCO SEMEAR S A; ;0;2;3;5;114770;2713;112155;773;
2014;11;Menos de dois milhões de clientes;Banco/financeira;04866275;BANCO STANDARD DE INVESTIMENTOS S A; ;0;1;3;4;2;0;2; ;
2014;11;Menos de dois milhões de clientes;Banco/financeira;17351180;BANCO TRIANGULO S A; ;0;0;6;6;166215;128785;50806;16066;
2014;11;Menos de dois milhões de clientes;Conglomerado; ;BANCOOB (conglomerado); ;0;5;3;8;1182772;904495;334401;633829;
2014;11;Menos de dois milhões de clientes;Conglomerado; ;BANESTES (conglomerado); ;3;0;0;3;1127823;1127823; ;863818;
2014;11;Menos de dois milhões de clientes;Conglomerado; ;BANIF (conglomerado); ;0;1;1;2; ; ; ; ;
2014;11;Mais de dois milhões de clientes;Conglomerado; ;BANRISUL (conglomerado);5,70;22;57;57;136;3857805;3085231;1546351;2404386;
2014;11;Menos de dois milhões de clientes;Conglomerado; ;BARIGUI (conglomerado); ;0;9;2;11;27378; ;27378; ;
2014;11;Mais de dois milhões de clientes;Conglomerado; ;BB (conglomerado);3,95;219;463;1277;1959;55393997;53867733;15922342;36941731;
2014;11;Menos de dois milhões de clientes;Conglomerado; ;BIC (conglomerado);369,52;64;217;59;340;173193;18540;158039;7184;
2014;11;Mais de dois milhões de clientes;Conglomerado; ;BMG (conglomerado);38,38;81;294;223;598;2110471;24088;2087964;7065;
2014;11;Menos de dois milhões de clientes;Conglomerado; ;BNP PARIBAS (conglomerado); ;3;2527;446;2976;1175226;14630;1160952;1818;
2014;11;Menos de dois milhões de clientes;Conglomerado; ;BONSUCESSO (conglomerado); ;9;151;102;262;482100;8892;473468;1971;
2014;11;Menos de dois milhões de clientes;Banco/financeira;61033106;BPN BRASIL BANCO MULTIPLO S A; ;0;1;0;1;402;349;87;70;
2014;11;Mais de dois milhões de clientes;Conglomerado; ;BRADESCO (conglomerado);4,84;361;2067;1421;3849;74478581;69287324;21580774;33956702;
2014;11;Menos de dois milhões de clientes;Conglomerado; ;BRB (conglomerado); ;8;21;14;43;742370;689777;245172;530255;
2014;11;Menos de dois milhões de clientes;Conglomerado; ;BTG PACTUAL (conglomerado); ;0;0;2;2;42242;41994;705;4134;
2014;11;Mais de dois milhões de clientes;Conglomerado; ;CAIXA ECONÔMICA FEDERAL (conglomerado);8,42;622;669;1520;2811;73857031;72081718;14681549;61345789;
2014;11;Menos de dois milhões de clientes;Banco/financeira;09313766;CARUANA S A    SOCIEDADE DE CREDITO  FINANCIAMENTO E INVESTIMENTO; ;0;0;1;1;2080; ;2080; ;
2014;11;Menos de dois milhões de clientes;Conglomerado; ;CITIBANK (conglomerado);16,00;17;37;58;112;1062375;535018;678178;221506;
2014;11;Menos de dois milhões de clientes;Banco/financeira;60779196;CREFISA S A  CREDITO  FINANCIAMENTO E INVESTIMENTOS; ;1;9;12;22;673924; ;673924; ;
2014;11;Menos de dois milhões de clientes;Conglomerado; ;DACASA FINANCEIRA (conglomerado); ;0;0;2;2;476582; ;476582; ;
2014;11;Menos de dois milhões de clientes;Banco/financeira;15581638;FACTA FINANCEIRA S A    CREDITO FINANCIAMENTO E INVESTIMENTO; ;0;0;1;1;5760; ;5760; ;
2014;11;Menos de dois milhões de clientes;Banco/financeira;00411939;FINAMAX S A    CREDITO  FINANCIAMENTO E INVESTIMENTO; ;0;1;1;2;73221; ;73221; ;
2014;11;Menos de dois milhões de clientes;Conglomerado; ;GMAC (conglomerado); ;2;5;14;21;579605;6346;578639; ;
2014;11;Menos de dois milhões de clientes;Conglomerado; ;HONDA (conglomerado); ;0;1;8;9;453997;12;453986; ;
2014;11;Mais de dois milhões de clientes;Conglomerado; ;HSBC (conglomerado);7,72;78;107;139;324;10091035;7437691;4416604;6235664;
2014;11;Menos de dois milhões de clientes;Conglomerado; ;INDUSTRIAL DO BRASIL (conglomerado); ;2;2;1;5;56612;4183;52918;782;
2014;11;Menos de dois milhões de clientes;Conglomerado; ;INDUSVAL (conglomerado); ;0;2;1;3;14617;5833;9723;3017;
2014;11;Menos de dois milhões de clientes;Conglomerado; ;INTERMEDIUM (conglomerado); ;1;75;9;85;159215;7294;152324;2379;
2014;11;Mais de dois milhões de clientes;Conglomerado; ;ITAU (conglomerado);3,94;226;1636;1714;3576;57317073;44955170;27314896;27492103;
2014;11;Menos de dois milhões de clientes;Conglomerado; ;J.MALUCELLI (conglomerado); ;8;182;42;232;346325;3920;342839;1253;
2014;11;Menos de dois milhões de clientes;Conglomerado; ;LECCA (conglomerado); ;0;8;2;10;10254; ;10254; ;
2014;11;Mais de dois milhões de clientes;Conglomerado; ;MERCANTIL DO BRASIL (conglomerado);3,30;7;48;17;72;2118358;1389931;966580;975770;
2014;11;Menos de dois milhões de clientes;Conglomerado; ;MERCEDES-BENZ (conglomerado); ;0;0;2;2;35541;96;35534; ;
2014;11;Menos de dois milhões de clientes;Banco/financeira;09464032;MIDWAY S A    CREDITO  FINANCIAMENTO E INVESTIMENTO; ;2;2;8;12;555712; ;555712; ;
