Ano;Mês;Categoria;Tipo;CNPJ IF;Instituição financeira;Irregularidade;Quantidade de reclamações reguladas procedentes;Quantidade de reclamações reguladas - outras;Quantidade de reclamações não reguladas;Quantidade total de reclamações;
2014;10;Menos de dois milhões de clientes;Conglomerado; ;ABC-BRASIL (conglomerado);Renegociação de dívida (exceto cartão de crédito);0;0;1;1;
2014;10;Menos de dois milhões de clientes;Banco/financeira;13660104;AGIPLAN FINANCEIRA S A    CREDITO FINANCIAMENTO E INVESTIMENTO;Cobranças diversas;0;0;5;5;
2014;10;Menos de dois milhões de clientes;Banco/financeira;13660104;AGIPLAN FINANCEIRA S A    CREDITO FINANCIAMENTO E INVESTIMENTO;Cobranças diversas em operação de crédito consignado;0;0;4;4;
2014;10;Menos de dois milhões de clientes;Banco/financeira;13660104;AGIPLAN FINANCEIRA S A    CREDITO FINANCIAMENTO E INVESTIMENTO;Descumprimento contratual;0;0;1;1;
2014;10;Menos de dois milhões de clientes;Banco/financeira;13660104;AGIPLAN FINANCEIRA S A    CREDITO FINANCIAMENTO E INVESTIMENTO;Descumprimento de prazo de resposta da reclamação registrada no BCB;0;1;0;1;
2014;10;Menos de dois milhões de clientes;Banco/financeira;13660104;AGIPLAN FINANCEIRA S A    CREDITO FINANCIAMENTO E INVESTIMENTO;Débito em conta de depósito não autorizado pelo cliente;3;0;0;3;
2014;10;Menos de dois milhões de clientes;Banco/financeira;13660104;AGIPLAN FINANCEIRA S A    CREDITO FINANCIAMENTO E INVESTIMENTO;Insatisfação com a resposta recebida da instituição financeira referente à reclamação registrada no BCB;0;1;0;1;
2014;10;Menos de dois milhões de clientes;Banco/financeira;13660104;AGIPLAN FINANCEIRA S A    CREDITO FINANCIAMENTO E INVESTIMENTO;Insatisfação com o atendimento prestado pelo SAC;0;0;10;10;
2014;10;Menos de dois milhões de clientes;Banco/financeira;13660104;AGIPLAN FINANCEIRA S A    CREDITO FINANCIAMENTO E INVESTIMENTO;Insatisfação com o atendimento prestado por agências;0;0;1;1;
2014;10;Menos de dois milhões de clientes;Banco/financeira;13660104;AGIPLAN FINANCEIRA S A    CREDITO FINANCIAMENTO E INVESTIMENTO;Irregularidades relacionadas ao fornecimento de contratos de operações de crédito de outras modalidades, exceto crédito consignado, financiamento imobiliário e cartão de crédito.;0;3;0;3;
