Ano;Mês;Categoria;Tipo;CNPJ IF;Instituição financeira;Índice;Quantidade de reclamações reguladas procedentes;Quantidade de reclamações reguladas - outras;Quantidade de reclamações não reguladas;Quantidade total de reclamações;Quantidade total de clientes – CCS e SCR;Quantidade de clientes – CCS;Quantidade de clientes – SCR;Quantidade de clientes – FGC;
2014;10;Menos de dois milhões de clientes;Conglomerado; ;ABC-BRASIL (conglomerado); ;0;0;1;1;12073;10068;3647;3207;
2014;10;Menos de dois milhões de clientes;Banco/financeira;13660104;AGIPLAN FINANCEIRA S A    CREDITO FINANCIAMENTO E INVESTIMENTO; ;3;10;36;49;101992; ;101992;265;
2014;10;Menos de dois milhões de clientes;Banco/financeira;36321990;AGORACRED S A SOCIEDADE DE CREDITO  FINANCIAMENTO E INVESTIMENTO; ;2;1;0;3;31392; ;31392;28;
2014;10;Menos de dois milhões de clientes;Conglomerado; ;ALFA (conglomerado); ;5;13;6;24;455984;269233;190147;4123;
2014;10;Menos de dois milhões de clientes;Banco/financeira;92874270;BANCO A J  RENNER S A; ;0;3;8;11;87446;5524;82348;1520;
2014;10;Menos de dois milhões de clientes;Banco/financeira;09391857;BANCO AZTECA DO BRASIL S A; ;0;1;2;3;128855;99024;47096;80499;
2014;10;Menos de dois milhões de clientes;Banco/financeira;00997185;BANCO BM FBOVESPA DE SERVICOS DE LIQUIDACAO E CUSTODIA S A; ;0;0;2;2;620;620; ;44;
2014;10;Menos de dois milhões de clientes;Banco/financeira;33132044;BANCO CEDULA S A; ;1;0;0;1;12235;2781;9711;147;
2014;10;Menos de dois milhões de clientes;Banco/financeira;02992446;BANCO CNH INDUSTRIAL CAPITAL S A; ;0;1;0;1;24955;2074;23707;193;
2014;10;Menos de dois milhões de clientes;Banco/financeira;08357240;BANCO CSF S A;11,92;17;9;30;56;1425803; ;1425803; ;
2014;10;Menos de dois milhões de clientes;Banco/financeira;04902979;BANCO DA AMAZONIA S A; ;2;1;4;7;499728;399929;181835;271995;
2014;10;Menos de dois milhões de clientes;Banco/financeira;62232889;BANCO DAYCOVAL S A;51,65;33;220;95;348;638870;30893;612009;7932;
2014;10;Menos de dois milhões de clientes;Banco/financeira;13009717;BANCO DO ESTADO DE SERGIPE S A; ;3;4;4;11;777484;764106;139917;570007;
