Ano;Mês;Categoria;Tipo;CNPJ IF;Instituição financeira;Índice;Quantidade de reclamações reguladas procedentes;Quantidade de reclamações reguladas - outras;Quantidade de reclamações não reguladas;Quantidade total de reclamações;Quantidade total de clientes – CCS e SCR;Quantidade de clientes – CCS;Quantidade de clientes – SCR;Quantidade de clientes – FGC;
2014;9;Menos de dois milhões de clientes;Conglomerado; ;ABC-BRASIL (conglomerado); ;0;0;1;1;11937;9925;3639;2651;
2014;9;Menos de dois milhões de clientes;Banco/financeira;13660104;AGIPLAN FINANCEIRA S A    CREDITO FINANCIAMENTO E INVESTIMENTO; ;5;7;10;22;100843; ;100843; ;
2014;9;Menos de dois milhões de clientes;Conglomerado; ;ALFA (conglomerado); ;5;10;8;23;456156;269232;190396;0;
2014;9;Menos de dois milhões de clientes;Banco/financeira;92874270;BANCO A J  RENNER S A; ;0;2;2;4;86953;5460;81926;1552;
2014;9;Menos de dois milhões de clientes;Banco/financeira;09391857;BANCO AZTECA DO BRASIL S A; ;0;0;1;1;128291;98124;47479;76609;
2014;9;Menos de dois milhões de clientes;Banco/financeira;48795256;BANCO BRACCE S A; ;0;0;1;1;3111;682;2438;105;
2014;9;Menos de dois milhões de clientes;Banco/financeira;02992446;BANCO CNH INDUSTRIAL CAPITAL S A; ;0;0;1;1;24183;2083;22929; ;
2014;9;Menos de dois milhões de clientes;Banco/financeira;08357240;BANCO CSF S A;7,12;10;11;35;56;1403885; ;1403885; ;
2014;9;Menos de dois milhões de clientes;Banco/financeira;04902979;BANCO DA AMAZONIA S A; ;0;3;8;11;499416;399328;181723;273963;
2014;9;Menos de dois milhões de clientes;Banco/financeira;62232889;BANCO DAYCOVAL S A;39,90;25;251;114;390;626464;30358;600078;9399;
2014;9;Menos de dois milhões de clientes;Banco/financeira;05040481;BANCO DE LAGE LANDEN BRASIL S A; ;0;0;1;1;54567; ;54567; ;
2014;9;Menos de dois milhões de clientes;Banco/financeira;13009717;BANCO DO ESTADO DE SERGIPE S A; ;3;5;2;10;773818;759937;141259;556303;
2014;9;Menos de dois milhões de clientes;Banco/financeira;04913711;BANCO DO ESTADO DO PARA S A; ;1;6;7;14;663072;663072; ;487899;
2014;9;Mais de dois milhões de clientes;Banco/financeira;07237373;BANCO DO NORDESTE DO BRASIL S A; 0 ;0;1;9;10;4315391;4110751;841833;2791476;
2014;9;Menos de dois milhões de clientes;Banco/financeira;58616418;BANCO FIBRA S A; ;5;38;41;84;195403;6274;189868;2300;
2014;9;Menos de dois milhões de clientes;Banco/financeira;61348538;BANCO FICSA S A; ;3;12;6;21;1260;1260; ;742;
2014;9;Menos de dois milhões de clientes;Banco/financeira;62237425;BANCO FIDIS S A; ;0;0;2;2;9220;309;8921; ;
2014;9;Menos de dois milhões de clientes;Banco/financeira;10664513;BANCO GERADOR S A; ;0;1;4;5;53103;302;52853;141;
2014;9;Menos de dois milhões de clientes;Banco/financeira;59118133;BANCO LUSO BRASILEIRO S A; ;1;1;2;4;12242;3611;8881;1022;
2014;9;Menos de dois milhões de clientes;Banco/financeira;00795423;BANCO SEMEAR S A; ;0;3;2;5;106494;2602;103978;701;
2014;9;Menos de dois milhões de clientes;Banco/financeira;04866275;BANCO STANDARD DE INVESTIMENTOS S A; ;0;1;8;9;2;0;2; ;
2014;9;Menos de dois milhões de clientes;Banco/financeira;03215790;BANCO TOYOTA DO BRASIL S A; ;0;0;5;5;116547;14883;104682; ;
2014;9;Menos de dois milhões de clientes;Banco/financeira;17351180;BANCO TRIANGULO S A; ;0;1;2;3;160991;125760;48491;15348;
2014;9;Menos de dois milhões de clientes;Conglomerado; ;BANCOOB (conglomerado); ;3;8;16;27;1146941;880469;320020;586654;
2014;9;Menos de dois milhões de clientes;Conglomerado; ;BANESTES (conglomerado); ;4;3;1;8;1165890;1128417;238676;896924;
2014;9;Menos de dois milhões de clientes;Conglomerado; ;BANIF (conglomerado); ;0;0;4;4;34178;5164;29829;2517;
2014;9;Mais de dois milhões de clientes;Conglomerado; ;BANRISUL (conglomerado);9,66;37;71;41;149;3826563;3065295;1533435;2417656;
2014;9;Menos de dois milhões de clientes;Conglomerado; ;BARIGUI (conglomerado); ;0;21;4;25;26863; ;26863; ;
2014;9;Mais de dois milhões de clientes;Conglomerado; ;BB (conglomerado);4,54;250;502;1451;2203;55054878;53553283;15789156;36843993;
2014;9;Menos de dois milhões de clientes;Conglomerado; ;BIC (conglomerado);659,24;114;356;12;482;172925;19271;157307;7378;
2014;9;Mais de dois milhões de clientes;Conglomerado; ;BMG (conglomerado);75,64;177;537;478;1192;2339883;25304;2316785;6665;
2014;9;Menos de dois milhões de clientes;Conglomerado; ;BNP PARIBAS (conglomerado);309,22;364;1287;515;2166;1177135;14067;1163425;1963;
2014;9;Menos de dois milhões de clientes;Conglomerado; ;BOFA MERRILL LYNCH (conglomerado); ;0;2;0;2;828;820;30;146;
2014;9;Menos de dois milhões de clientes;Conglomerado; ;BONSUCESSO (conglomerado);37,21;18;177;43;238;483690;7368;476559;1852;
2014;9;Mais de dois milhões de clientes;Conglomerado; ;BRADESCO (conglomerado);6,37;472;2216;1752;4440;73993889;68840640;21352941;35293288;
2014;9;Menos de dois milhões de clientes;Conglomerado; ;BRB (conglomerado); ;9;38;26;73;730543;680465;241645;513455;
2014;9;Menos de dois milhões de clientes;Conglomerado; ;BTG PACTUAL (conglomerado); ;0;0;1;1;41564;41323;680;3883;
2014;9;Mais de dois milhões de clientes;Conglomerado; ;CAIXA ECONÔMICA FEDERAL (conglomerado);7,87;581;889;1505;2975;73747449;71976955;15012703;58977704;
2014;9;Menos de dois milhões de clientes;Conglomerado; ;CITIBANK (conglomerado);17,08;18;30;71;119;1053786;534433;671121;233292;
2014;9;Menos de dois milhões de clientes;Banco/financeira;60779196;CREFISA S A  CREDITO  FINANCIAMENTO E INVESTIMENTOS; ;4;11;20;35;636805; ;636805; ;
2014;9;Menos de dois milhões de clientes;Conglomerado; ;DACASA FINANCEIRA (conglomerado); ;0;1;0;1;470013; ;470013; ;
2014;9;Menos de dois milhões de clientes;Banco/financeira;15581638;FACTA FINANCEIRA S A    CREDITO FINANCIAMENTO E INVESTIMENTO; ;1;3;4;8;4108; ;4108; ;
2014;9;Menos de dois milhões de clientes;Conglomerado; ;GMAC (conglomerado); ;2;8;17;27;560905;7312;559739; ;
2014;9;Menos de dois milhões de clientes;Conglomerado; ;HONDA (conglomerado); ;0;2;5;7;447435;12;447425; ;
