Ano;Mês;Categoria;Tipo;CNPJ IF;Instituição financeira;Índice;Quantidade de reclamações reguladas procedentes;Quantidade de reclamações reguladas - outras;Quantidade de reclamações não reguladas;Quantidade total de reclamações;Quantidade total de clientes – CCS e SCR;Quantidade de clientes – CCS;Quantidade de clientes – SCR;Quantidade de clientes – FGC;
2015;8;Menos de dois milhões de clientes;Conglomerado; ;AGIPLAN (conglomerado); ;0;6;18;24;108972; ;108972;319;
2015;8;Menos de dois milhões de clientes;Conglomerado; ;ALFA (conglomerado); ;3;10;5;18;448732;269105;182377;3966;
2015;8;Menos de dois milhões de clientes;Conglomerado; ;ANDBANK (conglomerado); ;1;0;1;2;2618;910;1716;126;
2015;8;Menos de dois milhões de clientes;Banco/financeira;92874270;BANCO A J  RENNER S A; ;0;0;3;3;95960;6200;90168;1654;
2015;8;Menos de dois milhões de clientes;Banco/financeira;54403563;BANCO ARBI S A; ;0;1;0;1;4421;308;4137;220;
2015;8;Menos de dois milhões de clientes;Banco/financeira;71027866;BANCO BONSUCESSO S A; ;3;35;13;51;64346;15793;48855;2060;
2015;8;Menos de dois milhões de clientes;Banco/financeira;08357240;BANCO CSF S A;5,99;10;4;24;38;1667264; ;1667264; ;
2015;8;Menos de dois milhões de clientes;Banco/financeira;04902979;BANCO DA AMAZONIA S A; ;1;2;2;5;505836;415436;178883;271915;
2015;8;Menos de dois milhões de clientes;Banco/financeira;62232889;BANCO DAYCOVAL S A;104,85;79;172;46;297;753434;35329;722581;9269;
2015;8;Menos de dois milhões de clientes;Banco/financeira;05040481;BANCO DE LAGE LANDEN BRASIL S A; ;0;1;0;1;52395; ;52395; ;
2015;8;Menos de dois milhões de clientes;Banco/financeira;13009717;BANCO DO ESTADO DE SERGIPE S A; ;3;3;1;7;819054;790917;184209;591373;
2015;8;Menos de dois milhões de clientes;Banco/financeira;04913711;BANCO DO ESTADO DO PARA S A; ;2;2;7;11;708401;704008;167004;540369;
2015;8;Mais de dois milhões de clientes;Banco/financeira;07237373;BANCO DO NORDESTE DO BRASIL S A;0,20;1;2;8;11;4942103;4753263;893662;3402820;
