Ano;Mês;Categoria;Tipo;CNPJ IF;Instituição financeira;Irregularidade;Quantidade de reclamações reguladas procedentes;Quantidade de reclamações reguladas - outras;Quantidade de reclamações não reguladas;Quantidade total de reclamações;
2015;7;Menos de dois milhões de clientes;Conglomerado; ;AGIPLAN (conglomerado);Concessão de crédito consignado sem a formalização do título adequado;0;3;0;3;
2015;7;Menos de dois milhões de clientes;Conglomerado; ;AGIPLAN (conglomerado);Débito em conta de depósito não autorizado pelo cliente;0;2;0;2;
2015;7;Menos de dois milhões de clientes;Conglomerado; ;AGIPLAN (conglomerado);Irregularidades relacionadas ao fornecimento de contratos de operações de crédito consignado;1;2;0;3;
2015;7;Menos de dois milhões de clientes;Conglomerado; ;AGIPLAN (conglomerado);Irregularidades relacionadas ao fornecimento de contratos de operações de crédito de outras modalidades, exceto crédito consignado, financiamento imobiliário e cartão de crédito.;0;1;0;1;
2015;7;Menos de dois milhões de clientes;Conglomerado; ;AGIPLAN (conglomerado);Irregularidades relacionadas ao fornecimento de documento para liquidação antecipada de operações de crédito consignado;0;1;0;1;
2015;7;Menos de dois milhões de clientes;Conglomerado; ;AGIPLAN (conglomerado);Reclamações relacionadas a assuntos diversos;0;0;2;2;
2015;7;Menos de dois milhões de clientes;Conglomerado; ;AGIPLAN (conglomerado);Renegociação de dívida (exceto cartão de crédito);0;0;2;2;
2015;7;Menos de dois milhões de clientes;Conglomerado; ;ALFA (conglomerado);Cobranças diversas;0;0;1;1;
2015;7;Menos de dois milhões de clientes;Conglomerado; ;ALFA (conglomerado);Cobranças diversas em operação de crédito consignado;0;0;3;3;
2015;7;Menos de dois milhões de clientes;Conglomerado; ;ALFA (conglomerado);Concessão de crédito consignado sem a formalização do título adequado;0;1;0;1;
2015;7;Menos de dois milhões de clientes;Conglomerado; ;ALFA (conglomerado);Dificuldade na liberação ou substituição de bem;0;0;1;1;
2015;7;Menos de dois milhões de clientes;Conglomerado; ;ALFA (conglomerado);Insatisfação com a resposta recebida da instituição financeira referente à reclamação registrada no BCB;0;2;0;2;
2015;7;Menos de dois milhões de clientes;Conglomerado; ;ALFA (conglomerado);Insatisfação com o atendimento prestado por agências;0;0;1;1;
2015;7;Menos de dois milhões de clientes;Conglomerado; ;ALFA (conglomerado);Irregularidades relativas a integridade, confiabilidade, segurança, sigilo ou legitimidade das operações e serviços relacionados a cartões de crédito;0;1;0;1;
2015;7;Menos de dois milhões de clientes;Conglomerado; ;ALFA (conglomerado);Não liberação de margem consignável (exceto cartão de crédito consignável);0;0;2;2;
2015;7;Menos de dois milhões de clientes;Conglomerado; ;ALFA (conglomerado);Produto ou serviço não solicitado (exceto cartões de crédito/débito);0;0;1;1;
2015;7;Menos de dois milhões de clientes;Conglomerado; ;ALFA (conglomerado);Restrição à realização de portabilidade de operações de crédito consignado relativas a pessoas naturais;0;1;0;1;
2015;7;Menos de dois milhões de clientes;Conglomerado; ;ANDBANK (conglomerado);Descumprimento contratual;0;0;1;1;
2015;7;Menos de dois milhões de clientes;Banco/financeira;92874270;BANCO A J  RENNER S A;Renegociação de dívidas/encargos relacionadas a cartão de crédito;0;0;2;2;
2015;7;Menos de dois milhões de clientes;Banco/financeira;54403563;BANCO ARBI S A;Cobranças diversas em operação de crédito consignado;0;0;1;1;
2015;7;Menos de dois milhões de clientes;Banco/financeira;54403563;BANCO ARBI S A;Restrição à realização de portabilidade de operações de crédito consignado relativas a pessoas naturais;0;1;0;1;
2015;7;Menos de dois milhões de clientes;Banco/financeira;09391857;BANCO AZTECA DO BRASIL S A;Insatisfação com o atendimento prestado por agências;0;0;1;1;
2015;7;Menos de dois milhões de clientes;Banco/financeira;09391857;BANCO AZTECA DO BRASIL S A;Restrições cadastrais;0;0;1;1;
2015;7;Menos de dois milhões de clientes;Banco/financeira;71027866;BANCO BONSUCESSO S A;Bloqueio de cartão de crédito;0;0;1;1;
2015;7;Menos de dois milhões de clientes;Banco/financeira;71027866;BANCO BONSUCESSO S A;Cartão pré-pago;0;0;3;3;
2015;7;Menos de dois milhões de clientes;Banco/financeira;71027866;BANCO BONSUCESSO S A;Cobranças diversas;0;0;1;1;
2015;7;Menos de dois milhões de clientes;Banco/financeira;71027866;BANCO BONSUCESSO S A;Cobranças diversas em operação de crédito consignado;0;0;4;4;
2015;7;Menos de dois milhões de clientes;Banco/financeira;71027866;BANCO BONSUCESSO S A;Concessão de crédito consignado sem a formalização do título adequado;1;1;0;2;
2015;7;Menos de dois milhões de clientes;Banco/financeira;71027866;BANCO BONSUCESSO S A;Descumprimento de prazo de resposta da reclamação registrada no BCB;0;2;0;2;
2015;7;Menos de dois milhões de clientes;Banco/financeira;71027866;BANCO BONSUCESSO S A;Falta de transparência na redação de documentos;0;1;0;1;
2015;7;Menos de dois milhões de clientes;Banco/financeira;71027866;BANCO BONSUCESSO S A;Insatisfação com a resposta recebida da instituição financeira referente à reclamação registrada no BCB;0;1;0;1;
2015;7;Menos de dois milhões de clientes;Banco/financeira;71027866;BANCO BONSUCESSO S A;Irregularidades relacionadas ao acompanhamento de conta;0;5;0;5;
2015;7;Menos de dois milhões de clientes;Banco/financeira;71027866;BANCO BONSUCESSO S A;Irregularidades relacionadas ao fornecimento de documento para liquidação antecipada de operações de crédito consignado;0;5;0;5;
2015;7;Menos de dois milhões de clientes;Banco/financeira;71027866;BANCO BONSUCESSO S A;Irregularidades relacionadas ao fornecimento de informações sobre operações de crédito consignado (pessoa natural);0;3;0;3;
2015;7;Menos de dois milhões de clientes;Banco/financeira;71027866;BANCO BONSUCESSO S A;Irregularidades relativas a integridade, confiabilidade, segurança, sigilo ou legitimidade das operações e serviços relacionados a cartões de crédito;0;1;0;1;
2015;7;Menos de dois milhões de clientes;Banco/financeira;71027866;BANCO BONSUCESSO S A;Não liberação de margem consignável - Cartão de crédito consignável;0;0;3;3;
2015;7;Menos de dois milhões de clientes;Banco/financeira;71027866;BANCO BONSUCESSO S A;Não liberação de margem consignável (exceto cartão de crédito consignável);0;0;5;5;
2015;7;Menos de dois milhões de clientes;Banco/financeira;71027866;BANCO BONSUCESSO S A;Oferta ou prestação de informação a respeito de produtos e serviços de forma inadequada;3;0;0;3;
2015;7;Menos de dois milhões de clientes;Banco/financeira;71027866;BANCO BONSUCESSO S A;Outras irregularidades relativas a integridade, confiabilidade, segurança, sigilo ou legitimidade das operações e serviços;6;0;0;6;
2015;7;Menos de dois milhões de clientes;Banco/financeira;71027866;BANCO BONSUCESSO S A;Reclamações relacionadas a assuntos diversos;0;0;2;2;
2015;7;Menos de dois milhões de clientes;Banco/financeira;71027866;BANCO BONSUCESSO S A;Recusa de produtos ou serviços;0;0;2;2;
2015;7;Menos de dois milhões de clientes;Banco/financeira;71027866;BANCO BONSUCESSO S A;Renegociação de dívida (exceto cartão de crédito);0;0;2;2;
2015;7;Menos de dois milhões de clientes;Banco/financeira;71027866;BANCO BONSUCESSO S A;Renegociação de dívidas/encargos relacionadas a cartão de crédito;0;0;1;1;
2015;7;Menos de dois milhões de clientes;Banco/financeira;71027866;BANCO BONSUCESSO S A;Restrição à realização de portabilidade de operações de crédito consignado relativas a pessoas naturais;0;21;0;21;
2015;7;Menos de dois milhões de clientes;Banco/financeira;71027866;BANCO BONSUCESSO S A;Restrições cadastrais;0;0;1;1;
2015;7;Menos de dois milhões de clientes;Banco/financeira;27937333;BANCO BRJ S A;Insatisfação com a resposta recebida da instituição financeira referente à reclamação registrada no BCB;0;1;0;1;
2015;7;Menos de dois milhões de clientes;Banco/financeira;02992446;BANCO CNH INDUSTRIAL CAPITAL S A;Irregularidades relacionadas ao Sistema de Informações de Crédito do Banco Central (SCR);1;0;0;1;
2015;7;Menos de dois milhões de clientes;Banco/financeira;08357240;BANCO CSF S A;Concessão de crédito (exceto consignado) sem a formalização do título adequado;1;0;0;1;
2015;7;Menos de dois milhões de clientes;Banco/financeira;08357240;BANCO CSF S A;Descumprimento de prazo de resposta da reclamação registrada no BCB;0;1;0;1;
2015;7;Menos de dois milhões de clientes;Banco/financeira;08357240;BANCO CSF S A;Insatisfação com a resposta recebida da instituição financeira referente à reclamação registrada no BCB;0;1;0;1;
