Ano;Mês;Categoria;Tipo;CNPJ IF;Instituição financeira;Índice;Quantidade de reclamações reguladas procedentes;Quantidade de reclamações reguladas - outras;Quantidade de reclamações não reguladas;Quantidade total de reclamações;Quantidade total de clientes – CCS e SCR;Quantidade de clientes – CCS;Quantidade de clientes – SCR;Quantidade de clientes – FGC;
2015;6;Menos de dois milhões de clientes;Conglomerado; ;AGIPLAN (conglomerado); ;0;6;15;21;112267; ;112267;319;
2015;6;Menos de dois milhões de clientes;Conglomerado; ;ALFA (conglomerado); ;2;10;10;22;449086;269109;182815;3966;
2015;6;Menos de dois milhões de clientes;Banco/financeira;92874270;BANCO A J  RENNER S A; ;0;0;3;3;94825;5992;89244;1654;
2015;6;Menos de dois milhões de clientes;Banco/financeira;54403563;BANCO ARBI S A; ;1;0;0;1;4437;307;4154;220;
2015;6;Menos de dois milhões de clientes;Banco/financeira;71027866;BANCO BONSUCESSO S A;490,93;35;73;31;139;71293;15065;56495;2060;
2015;6;Menos de dois milhões de clientes;Banco/financeira;02992446;BANCO CNH INDUSTRIAL CAPITAL S A; ;0;1;0;1;26407;1929;25230;187;
2015;6;Menos de dois milhões de clientes;Banco/financeira;08357240;BANCO CSF S A; ;7;5;28;40;1610333; ;1610333; ;
2015;6;Menos de dois milhões de clientes;Banco/financeira;04902979;BANCO DA AMAZONIA S A; ;1;0;3;4;503321;411513;178704;271915;
2015;6;Menos de dois milhões de clientes;Banco/financeira;62232889;BANCO DAYCOVAL S A;115,35;84;265;88;437;728187;34071;698349;9269;
2015;6;Menos de dois milhões de clientes;Banco/financeira;13009717;BANCO DO ESTADO DE SERGIPE S A; ;4;4;2;10;800417;786631;140968;591373;
2015;6;Menos de dois milhões de clientes;Banco/financeira;04913711;BANCO DO ESTADO DO PARA S A; ;4;6;6;16;696855;696855; ;540369;
2015;6;Mais de dois milhões de clientes;Banco/financeira;07237373;BANCO DO NORDESTE DO BRASIL S A; 0 ;0;0;20;20;4809639;4618078;879658;3402820;
2015;6;Menos de dois milhões de clientes;Banco/financeira;58616418;BANCO FIBRA S A; ;3;10;26;39;131341;5519;126456;1959;
2015;6;Menos de dois milhões de clientes;Banco/financeira;61348538;BANCO FICSA S A; ;0;4;0;4;25684;1231;24457;693;
2015;6;Menos de dois milhões de clientes;Banco/financeira;62237425;BANCO FIDIS S A; ;0;0;1;1;7831;390;7483;225;
2015;6;Menos de dois milhões de clientes;Banco/financeira;10664513;BANCO GERADOR S A; ;0;2;4;6;29223;346;28918;159;
2015;6;Menos de dois milhões de clientes;Banco/financeira;59118133;BANCO LUSO BRASILEIRO S A; ;0;0;1;1;10730;3906;7098;1152;
2015;6;Menos de dois milhões de clientes;Banco/financeira;00795423;BANCO SEMEAR S A; ;1;2;2;5;143321;2954;140499;932;
2015;6;Menos de dois milhões de clientes;Banco/financeira;07679404;BANCO TOPAZIO S A; ;0;1;0;1;38496;1244;37439;245;
2015;6;Menos de dois milhões de clientes;Banco/financeira;03215790;BANCO TOYOTA DO BRASIL S A; ;0;1;9;10;136524;14913;124377; ;
2015;6;Menos de dois milhões de clientes;Conglomerado; ;BANCOOB (conglomerado); ;1;6;9;16;1276392;953864;381992;684975;
2015;6;Menos de dois milhões de clientes;Conglomerado; ;BANESTES (conglomerado); ;5;0;7;12;1166207;1129487;246206;885119;
2015;6;Menos de dois milhões de clientes;Conglomerado; ;BANIF (conglomerado); ;0;0;5;5;27587;4300;23736;1926;
2015;6;Mais de dois milhões de clientes;Conglomerado; ;BANRISUL (conglomerado);6,43;25;118;51;194;3883284;3095390;1570391;2511423;
2015;6;Menos de dois milhões de clientes;Conglomerado; ;BARIGUI (conglomerado); ;3;5;0;8;27402; ;27402;320;
2015;6;Mais de dois milhões de clientes;Conglomerado; ;BB (conglomerado);4,97;278;694;1235;2207;55826701;54233638;16040849;38375772;
2015;6;Menos de dois milhões de clientes;Conglomerado; ;BBM (conglomerado); ;0;0;1;1;10673;9588;1250;1025;
2015;6;Menos de dois milhões de clientes;Conglomerado; ;BIC (conglomerado);75,14;13;47;34;94;173010;16186;159510;6971;
2015;6;Menos de dois milhões de clientes;Conglomerado; ;BMG (conglomerado);80,31;117;179;220;516;1456725;24445;1433664;5495;
2015;6;Menos de dois milhões de clientes;Conglomerado; ;BNP PARIBAS (conglomerado);260,12;343;323;172;838;1318576;14200;1304743;1937;
2015;6;Mais de dois milhões de clientes;Conglomerado; ;BRADESCO (conglomerado);8,76;666;1525;1263;3454;75963353;70634647;22197759;35472596;
2015;6;Menos de dois milhões de clientes;Conglomerado; ;BRB (conglomerado); ;5;33;21;59;777459;715320;257463;500198;
2015;6;Menos de dois milhões de clientes;Conglomerado; ;BTG PACTUAL (conglomerado); ;0;0;1;1;80496;42645;38314;4339;
2015;6;Mais de dois milhões de clientes;Conglomerado; ;CAIXA ECONÔMICA FEDERAL (conglomerado);9,74;743;980;2174;3897;76228804;74161321;15259411;65169681;
2015;6;Menos de dois milhões de clientes;Conglomerado; ;CAIXA GERAL (conglomerado); ;1;0;0;1;1213;1151;119;431;
2015;6;Menos de dois milhões de clientes;Conglomerado; ;CITIBANK (conglomerado);16,73;18;43;57;118;1075425;535120;685896;216420;
2015;6;Menos de dois milhões de clientes;Banco/financeira;60779196;CREFISA S A  CREDITO  FINANCIAMENTO E INVESTIMENTOS; ;2;7;11;20;890253; ;890253; ;
2015;6;Menos de dois milhões de clientes;Conglomerado; ;DACASA FINANCEIRA (conglomerado); ;1;1;7;9;504911; ;504911;482;
2015;6;Menos de dois milhões de clientes;Banco/financeira;15581638;FACTA FINANCEIRA S A    CREDITO FINANCIAMENTO E INVESTIMENTO; ;1;1;1;3;8224; ;8224; ;
2015;6;Menos de dois milhões de clientes;Banco/financeira;00411939;FINAMAX S A    CREDITO  FINANCIAMENTO E INVESTIMENTO; ;0;0;1;1;74482; ;74482;1575;
2015;6;Menos de dois milhões de clientes;Conglomerado; ;GMAC (conglomerado); ;0;2;17;19;611132;3935;610144;124;
2015;6;Menos de dois milhões de clientes;Conglomerado; ;HONDA (conglomerado); ;0;0;5;5;475106;13;475096; ;
2015;6;Mais de dois milhões de clientes;Conglomerado; ;HSBC (conglomerado);10,84;111;178;221;510;10230816;7484320;4522627;4643786;
2015;6;Menos de dois milhões de clientes;Conglomerado; ;INDUSTRIAL DO BRASIL (conglomerado); ;8;1;4;13;47029;4353;43149;846;
2015;6;Menos de dois milhões de clientes;Conglomerado; ;INTERMEDIUM (conglomerado); ;3;66;6;75;169355;8774;161035;2832;
2015;6;Menos de dois milhões de clientes;Banco/financeira;55230916;INTESA SANPAOLO BRASIL S A    BANCO MULTIPLO; ;0;1;0;1;0; ; ; ;
2015;6;Mais de dois milhões de clientes;Conglomerado; ;ITAU (conglomerado);5,21;308;1728;1939;3975;59037160;46275500;28095046;27600607;
2015;6;Menos de dois milhões de clientes;Conglomerado; ;J.MALUCELLI (conglomerado);85,36;32;167;52;251;374867;4278;371034;679;
2015;6;Menos de dois milhões de clientes;Conglomerado; ;LECCA (conglomerado); ;3;3;0;6;8073; ;8073;328;
2015;6;Mais de dois milhões de clientes;Conglomerado; ;MERCANTIL DO BRASIL (conglomerado);1,94;4;50;34;88;2053327;1466043;873066;1092529;
2015;6;Menos de dois milhões de clientes;Conglomerado; ;MERCEDES-BENZ (conglomerado); ;0;1;0;1;35517;69;35509;126;
2015;6;Menos de dois milhões de clientes;Banco/financeira;09464032;MIDWAY S A    CREDITO  FINANCIAMENTO E INVESTIMENTO;15,10;12;8;22;42;794219; ;794219;26;
2015;6;Menos de dois milhões de clientes;Conglomerado; ;OMNI (conglomerado); ;0;5;2;7;305383; ;305383;573;
2015;6;Menos de dois milhões de clientes;Conglomerado; ;ORIGINAL (conglomerado); ;1;12;8;21;43242;3811;39874;1360;
2015;6;Menos de dois milhões de clientes;Conglomerado; ;PAN (conglomerado);15,67;31;342;304;677;1977250;13201;1965251;2790;
2015;6;Menos de dois milhões de clientes;Banco/financeira;03311443;PARATI   CREDITO  FINANCIAMENTO E INVESTIMENTO S A; ;0;0;1;1;1067; ;1067; ;
2015;6;Menos de dois milhões de clientes;Conglomerado; ;PERNAMBUCANAS (conglomerado); ;0;3;13;16;1439577; ;1439577;32;
2015;6;Menos de dois milhões de clientes;Conglomerado; ;PINE (conglomerado); ;0;2;0;2;9521;4970;4893;1409;
2015;6;Menos de dois milhões de clientes;Conglomerado; ;PORTO SEGURO (conglomerado); ;1;1;31;33;837357; ;837357; ;
2015;6;Menos de dois milhões de clientes;Banco/financeira;01800019;PORTOCRED S A    CREDITO  FINANCIAMENTO E INVESTIMENTO; ;0;2;3;5;62850; ;62850;2716;
2015;6;Menos de dois milhões de clientes;Conglomerado; ;PSA FINANCE (conglomerado); ;0;1;3;4;120505;456;120228;122;
2015;6;Menos de dois milhões de clientes;Conglomerado; ;SAFRA (conglomerado);15,01;10;47;75;132;666115;269631;439879;141387;
2015;6;Mais de dois milhões de clientes;Conglomerado; ;SANTANDER (conglomerado);6,93;225;671;976;1872;32452002;28717977;9585905;23166951;
