Ano;Mês;Categoria;Tipo;CNPJ IF;Instituição financeira;Irregularidade;Quantidade de reclamações reguladas procedentes;Quantidade de reclamações reguladas - outras;Quantidade de reclamações não reguladas;Quantidade total de reclamações;
2015;5;Menos de dois milhões de clientes;Conglomerado; ;AGIPLAN (conglomerado);Cobranças diversas;0;0;2;2;
2015;5;Menos de dois milhões de clientes;Conglomerado; ;AGIPLAN (conglomerado);Concessão de crédito consignado sem a formalização do título adequado;0;1;0;1;
2015;5;Menos de dois milhões de clientes;Conglomerado; ;AGIPLAN (conglomerado);Descumprimento contratual;0;0;1;1;
2015;5;Menos de dois milhões de clientes;Conglomerado; ;AGIPLAN (conglomerado);Descumprimento de prazo de resposta da reclamação registrada no BCB;1;0;0;1;
2015;5;Menos de dois milhões de clientes;Conglomerado; ;AGIPLAN (conglomerado);Débito em conta de depósito não autorizado pelo cliente;0;2;0;2;
2015;5;Menos de dois milhões de clientes;Conglomerado; ;AGIPLAN (conglomerado);Insatisfação com a resposta recebida da instituição financeira referente à reclamação registrada no BCB;1;1;0;2;
2015;5;Menos de dois milhões de clientes;Conglomerado; ;AGIPLAN (conglomerado);Insatisfação com o atendimento prestado pelo SAC;0;0;1;1;
2015;5;Menos de dois milhões de clientes;Conglomerado; ;AGIPLAN (conglomerado);Irregularidades relacionadas ao fornecimento de documentos relativos a cartão de crédito;1;0;0;1;
2015;5;Menos de dois milhões de clientes;Conglomerado; ;AGIPLAN (conglomerado);Irregularidades relacionadas ao fornecimento de informações sobre operações de crédito consignado (pessoa natural);0;1;0;1;
2015;5;Menos de dois milhões de clientes;Conglomerado; ;AGIPLAN (conglomerado);Irregularidades relativas à integridade, confiabilidade, segurança, sigilo ou legitimidade das operações e serviços;0;1;0;1;
2015;5;Menos de dois milhões de clientes;Conglomerado; ;AGIPLAN (conglomerado);Oferta ou prestação de informação a respeito de produtos e serviços de forma inadequada;1;1;0;2;
2015;5;Menos de dois milhões de clientes;Conglomerado; ;AGIPLAN (conglomerado);Outros assuntos relacionados a cartão de crédito;0;0;2;2;
2015;5;Menos de dois milhões de clientes;Conglomerado; ;AGIPLAN (conglomerado);Reclamações relacionadas a assuntos diversos;0;0;2;2;
2015;5;Menos de dois milhões de clientes;Conglomerado; ;AGIPLAN (conglomerado);Renegociação de dívida (exceto cartão de crédito);0;0;2;2;
2015;5;Menos de dois milhões de clientes;Conglomerado; ;AGIPLAN (conglomerado);Restrições cadastrais;0;0;1;1;
2015;5;Menos de dois milhões de clientes;Conglomerado; ;ALFA (conglomerado);Cobranças diversas em operação de crédito consignado;0;0;4;4;
2015;5;Menos de dois milhões de clientes;Conglomerado; ;ALFA (conglomerado);Descumprimento contratual;0;0;1;1;
2015;5;Menos de dois milhões de clientes;Conglomerado; ;ALFA (conglomerado);Dificuldade na liberação ou substituição de bem;0;0;1;1;
2015;5;Menos de dois milhões de clientes;Conglomerado; ;ALFA (conglomerado);Insatisfação com a resposta recebida da instituição financeira referente à reclamação registrada no BCB;0;2;0;2;
2015;5;Menos de dois milhões de clientes;Conglomerado; ;ALFA (conglomerado);Irregularidades relacionadas ao fornecimento de contratos de operações de crédito consignado;0;2;0;2;
2015;5;Menos de dois milhões de clientes;Conglomerado; ;ALFA (conglomerado);Irregularidades relacionadas ao fornecimento de documento para liquidação antecipada de demais operações de operações de crédito, exceto consignado e financiamento imobiliário;0;1;0;1;
2015;5;Menos de dois milhões de clientes;Conglomerado; ;ALFA (conglomerado);Irregularidades relacionadas ao fornecimento de documento para liquidação antecipada de operações de crédito consignado;2;1;0;3;
2015;5;Menos de dois milhões de clientes;Conglomerado; ;ALFA (conglomerado);Irregularidades relacionadas ao fornecimento de informações sobre operações de crédito consignado (pessoa natural);3;0;0;3;
