Ano;Semestre;Categoria;Tipo;CNPJ IF;Instituição financeira;Índice;Quantidade de reclamações reguladas procedentes;Quantidade de reclamações reguladas - outras;Quantidade de reclamações não reguladas;Quantidade total de reclamações;Quantidade total de clientes – CCS e SCR;Quantidade de clientes – CCS;Quantidade de clientes – SCR;
2016;1º;Menos de dois milhões de clientes;Conglomerado; ;ABC-BRASIL (conglomerado); ;0;1;3;4;12253;11077;2729;
2016;1º;Menos de dois milhões de clientes;Conglomerado; ;AGIPLAN (conglomerado);378,25;60;228;113;401;158625; ;158625;
2016;1º;Menos de dois milhões de clientes;Banco/financeira;36321990;AGORACRED S A SOCIEDADE DE CREDITO  FINANCIAMENTO E INVESTIMENTO; ;1;0;1;2;50108; ;50108;
2016;1º;Menos de dois milhões de clientes;Conglomerado; ;ALFA (conglomerado); ;15;65;56;136;441211;269046;174525;
2016;1º;Menos de dois milhões de clientes;Conglomerado; ;ANDBANK (conglomerado); ;0;1;5;6;2779;1071;1716;
2016;1º;Menos de dois milhões de clientes;Banco/financeira;92874270;BANCO A J  RENNER S A; ;0;1;12;13;102246;6761;95872;
2016;1º;Menos de dois milhões de clientes;Banco/financeira;54403563;BANCO ARBI S A; ;2;1;1;4;4484;327;4186;
2016;1º;Menos de dois milhões de clientes;Banco/financeira;61146577;BANCO BARCLAYS S A; ;0;2;0;2;2030;1996;34;
2016;1º;Menos de dois milhões de clientes;Banco/financeira;00997185;BANCO BM FBOVESPA DE SERVICOS DE LIQUIDACAO E CUSTODIA S A; ;0;0;1;1;750;750; ;
2016;1º;Menos de dois milhões de clientes;Banco/financeira;71027866;BANCO BONSUCESSO S A; ;18;175;114;307;46260;12687;33892;
2016;1º;Menos de dois milhões de clientes;Banco/financeira;02658435;BANCO CATERPILLAR S A; ;0;0;1;1;5589; ;5589;
2016;1º;Menos de dois milhões de clientes;Banco/financeira;02992446;BANCO CNH INDUSTRIAL CAPITAL S A; ;0;3;4;7;27140;1783;26011;
2016;1º;Menos de dois milhões de clientes;Banco/financeira;08357240;BANCO CSF S A;24,35;45;60;159;264;1847470; ;1847470;
2016;1º;Menos de dois milhões de clientes;Banco/financeira;04902979;BANCO DA AMAZONIA S A; ;8;4;14;26;505113;422088;173522;
2016;1º;Menos de dois milhões de clientes;Banco/financeira;33042151;BANCO DE LA NACION ARGENTINA; ;0;4;0;4;324;296;62;
2016;1º;Menos de dois milhões de clientes;Banco/financeira;05040481;BANCO DE LAGE LANDEN BRASIL S A; ;0;0;4;4;49801; ;49801;
2016;1º;Menos de dois milhões de clientes;Banco/financeira;60498557;BANCO DE TOKYO MITSUBISHI UFJ BRASIL S A; ;0;0;2;2;2058;2031;133;
2016;1º;Menos de dois milhões de clientes;Banco/financeira;13009717;BANCO DO ESTADO DE SERGIPE S A; ;27;9;18;54;837560;806796;191061;
2016;1º;Menos de dois milhões de clientes;Banco/financeira;04913711;BANCO DO ESTADO DO PARA S A; ;10;20;33;63;716158;711653;172176;
2016;1º;Mais de dois milhões de clientes;Banco/financeira;07237373;BANCO DO NORDESTE DO BRASIL S A;0,37;2;9;45;56;5346281;5170371;910689;
2016;1º;Menos de dois milhões de clientes;Banco/financeira;58616418;BANCO FIBRA S A; ;5;30;58;93;89259;5039;84726;
2016;1º;Menos de dois milhões de clientes;Banco/financeira;61348538;BANCO FICSA S A; ;0;3;14;17;28693;1124;27572;
2016;1º;Menos de dois milhões de clientes;Banco/financeira;62237425;BANCO FIDIS S A; ;0;2;1;3;6417;388;6043;
2016;1º;Menos de dois milhões de clientes;Banco/financeira;90731688;BANCO FORD S A; ;0;2;2;4;367;81;289;
2016;1º;Menos de dois milhões de clientes;Banco/financeira;10664513;BANCO GERADOR S A; ;7;8;8;23;23872;305;23584;
2016;1º;Menos de dois milhões de clientes;Banco/financeira;34270520;BANCO IBM S A; ;0;1;0;1;1371;1;1371;
2016;1º;Menos de dois milhões de clientes;Banco/financeira;33588252;BANCO INDUSCRED DE INVESTIMENTO S A; ;0;0;1;1;48;19;29;
2016;1º;Menos de dois milhões de clientes;Banco/financeira;07656500;BANCO KDB DO BRASIL S A; ;0;0;1;1;180;180; ;
2016;1º;Menos de dois milhões de clientes;Banco/financeira;59118133;BANCO LUSO BRASILEIRO S A; ;1;1;1;3;9627;4417;5554;
2016;1º;Menos de dois milhões de clientes;Banco/financeira;00795423;BANCO SEMEAR S A; ;2;9;7;18;164760;3618;161321;
2016;1º;Menos de dois milhões de clientes;Banco/financeira;07679404;BANCO TOPAZIO S A; ;0;2;8;10;29861;1266;28806;
2016;1º;Menos de dois milhões de clientes;Banco/financeira;03215790;BANCO TOYOTA DO BRASIL S A; ;1;9;28;38;142385;15049;129873;
2016;1º;Menos de dois milhões de clientes;Banco/financeira;17351180;BANCO TRIANGULO S A; ;3;4;14;21;213067;160694;78215;
2016;1º;Menos de dois milhões de clientes;Banco/financeira;57839805;BANCO TRICURY S A; ;0;1;3;4;865;850;174;
2016;1º;Menos de dois milhões de clientes;Conglomerado; ;BANCOOB (conglomerado); ;2;27;32;61;1425130;1047412;445137;
2016;1º;Menos de dois milhões de clientes;Conglomerado; ;BANESTES (conglomerado); ;12;11;21;44;1201014;1165795;246222;
2016;1º;Menos de dois milhões de clientes;Conglomerado; ;BANIF (conglomerado); ;0;2;4;6;3877;3877;0;
2016;1º;Mais de dois milhões de clientes;Conglomerado; ;BANRISUL (conglomerado);27,63;109;446;287;842;3944536;3144699;1679832;
2016;1º;Menos de dois milhões de clientes;Conglomerado; ;BARIGUI (conglomerado); ;4;29;1;34;26253; ;26253;
2016;1º;Mais de dois milhões de clientes;Conglomerado; ;BB (conglomerado);33,23;1886;4700;7720;14306;56752883;55056365;16178673;
2016;1º;Menos de dois milhões de clientes;Conglomerado; ;BBM (conglomerado); ;1;0;1;2;10784;9706;1243;
2016;1º;Mais de dois milhões de clientes;Conglomerado; ;BMG (conglomerado);323,79;784;1343;1414;3541;2421322;15505;2407370;
2016;1º;Menos de dois milhões de clientes;Conglomerado; ;BMW (conglomerado); ;0;0;4;4;20222; ;20222;
2016;1º;Menos de dois milhões de clientes;Conglomerado; ;BNP PARIBAS (conglomerado);338,72;528;1765;891;3184;1558765;14695;1544464;
2016;1º;Menos de dois milhões de clientes;Conglomerado; ;BNY MELLON (conglomerado); ;0;0;1;1;1405;1405; ;
2016;1º;Menos de dois milhões de clientes;Conglomerado; ;BOFA MERRILL LYNCH (conglomerado); ;0;0;4;4;1157;1147;52;
2016;1º;Mais de dois milhões de clientes;Conglomerado; ;BRADESCO (conglomerado);47,80;3714;6347;6096;16157;77689516;71930672;23412584;
2016;1º;Menos de dois milhões de clientes;Conglomerado; ;BRASIL PLURAL (conglomerado); ;2;1;0;3;1903;1902;20;
2016;1º;Menos de dois milhões de clientes;Conglomerado; ;BRB (conglomerado);83,18;64;193;244;501;769385;692280;264701;
2016;1º;Menos de dois milhões de clientes;Conglomerado; ;BTG PACTUAL (conglomerado); ;0;0;1;1;79145;41539;37979;
2016;1º;Mais de dois milhões de clientes;Conglomerado; ;CAIXA ECONÔMICA FEDERAL (conglomerado);50,74;4022;5866;12159;22047;79259341;77026936;14566041;
2016;1º;Menos de dois milhões de clientes;Conglomerado; ;CAIXA GERAL (conglomerado); ;0;0;1;1;1381;1312;130;
2016;1º;Menos de dois milhões de clientes;Banco/financeira;09313766;CARUANA S A    SOCIEDADE DE CREDITO  FINANCIAMENTO E INVESTIMENTO; ;0;0;1;1;3946; ;3946;
2016;1º;Menos de dois milhões de clientes;Conglomerado; ;CCB (conglomerado);243,22;42;222;238;502;172681;11068;163426;
2016;1º;Menos de dois milhões de clientes;Conglomerado; ;CITIBANK (conglomerado);78,24;87;286;340;713;1111937;548984;710479;
2016;1º;Menos de dois milhões de clientes;Conglomerado; ;CREDIT SUISSE (conglomerado); ;0;0;2;2;3706;3706;106;
2016;1º;Menos de dois milhões de clientes;Banco/financeira;12599971;CREDITA S A CREDITO  FINANCIAMENTO E INVESTIMENTO; ;0;0;1;1;390; ;390;
