Ano;Mês;Categoria;Tipo;CNPJ IF;Instituição financeira;Índice;Quantidade de reclamações reguladas procedentes;Quantidade de reclamações reguladas - outras;Quantidade de reclamações não reguladas;Quantidade total de reclamações;Quantidade total de clientes – CCS e SCR;Quantidade de clientes – CCS;Quantidade de clientes – SCR;Quantidade de clientes – FGC;
2016;4;Menos de dois milhões de clientes;Conglomerado; ;ABC-BRASIL (conglomerado); ;0;0;1;1;12318;11141;2737;2631;
2016;4;Menos de dois milhões de clientes;Conglomerado; ;AGIPLAN (conglomerado);112,33;18;34;32;84;160233; ;160233; ;
2016;4;Menos de dois milhões de clientes;Conglomerado; ;ALFA (conglomerado); ;4;10;12;26;441001;269043;174286;0;
2016;4;Menos de dois milhões de clientes;Conglomerado; ;ANDBANK (conglomerado); ;0;0;1;1;2797;1090;1716;147;
2016;4;Menos de dois milhões de clientes;Banco/financeira;92874270;BANCO A J  RENNER S A; ;0;0;1;1;103113;6842;96659;2033;
2016;4;Menos de dois milhões de clientes;Banco/financeira;54403563;BANCO ARBI S A; ;1;0;0;1;4476;324;4179;242;
2016;4;Menos de dois milhões de clientes;Banco/financeira;71027866;BANCO BONSUCESSO S A; ;3;15;11;29;44812;12777;32347;2042;
2016;4;Menos de dois milhões de clientes;Banco/financeira;08357240;BANCO CSF S A;6,99;13;7;30;50;1857340; ;1857340; ;
2016;4;Menos de dois milhões de clientes;Banco/financeira;04902979;BANCO DA AMAZONIA S A; ;2;0;0;2;505167;422615;173185;283415;
2016;4;Menos de dois milhões de clientes;Banco/financeira;33042151;BANCO DE LA NACION ARGENTINA; ;0;4;0;4;324;296;62;88;
2016;4;Menos de dois milhões de clientes;Banco/financeira;13009717;BANCO DO ESTADO DE SERGIPE S A; ;7;4;2;13;837954;807769;189807;610208;
2016;4;Menos de dois milhões de clientes;Banco/financeira;04913711;BANCO DO ESTADO DO PARA S A; ;3;1;1;5;719502;715017;172455;558012;
2016;4;Mais de dois milhões de clientes;Banco/financeira;07237373;BANCO DO NORDESTE DO BRASIL S A;0,18;1;1;17;19;5361969;5185488;908593;3958646;
2016;4;Menos de dois milhões de clientes;Banco/financeira;58616418;BANCO FIBRA S A; ;1;6;7;14;88047;5013;83536;1558;
2016;4;Menos de dois milhões de clientes;Banco/financeira;61348538;BANCO FICSA S A; ;0;1;2;3;28695;1212;27487;171;
2016;4;Menos de dois milhões de clientes;Banco/financeira;62237425;BANCO FIDIS S A; ;0;0;1;1;7632;406;7242; ;
2016;4;Menos de dois milhões de clientes;Banco/financeira;90731688;BANCO FORD S A; ;0;1;0;1;359;74;289; ;
2016;4;Menos de dois milhões de clientes;Banco/financeira;10664513;BANCO GERADOR S A; ;0;1;0;1;23226;302;22942;117;
2016;4;Menos de dois milhões de clientes;Banco/financeira;34270520;BANCO IBM S A; ;0;1;0;1;1371;1;1371; ;
2016;4;Menos de dois milhões de clientes;Banco/financeira;33588252;BANCO INDUSCRED DE INVESTIMENTO S A; ;0;0;1;1;48;19;29; ;
2016;4;Menos de dois milhões de clientes;Banco/financeira;00795423;BANCO SEMEAR S A; ;0;1;1;2;164682;3646;161213;1242;
2016;4;Menos de dois milhões de clientes;Banco/financeira;07679404;BANCO TOPAZIO S A; ;0;1;3;4;28512;1357;27395;244;
2016;4;Menos de dois milhões de clientes;Banco/financeira;03215790;BANCO TOYOTA DO BRASIL S A; ;0;1;3;4;142480;15050;129941; ;
2016;4;Menos de dois milhões de clientes;Banco/financeira;17351180;BANCO TRIANGULO S A; ;0;0;2;2;161814;161814; ;15135;
2016;4;Menos de dois milhões de clientes;Conglomerado; ;BANCOOB (conglomerado); ;0;1;4;5;1432488;1051815;448316;0;
2016;4;Menos de dois milhões de clientes;Conglomerado; ;BANESTES (conglomerado); ;0;1;6;7;1203543;1168443;245819;874134;
2016;4;Menos de dois milhões de clientes;Conglomerado; ;BANIF (conglomerado); ;0;1;1;2;3736;3736; ;1791;
2016;4;Mais de dois milhões de clientes;Conglomerado; ;BANRISUL (conglomerado);3,80;15;70;67;152;3942717;3144340;1684681;2447652;
2016;4;Menos de dois milhões de clientes;Conglomerado; ;BARIGUI (conglomerado); ;0;7;0;7;26247; ;26247; ;
2016;4;Mais de dois milhões de clientes;Conglomerado; ;BB (conglomerado);5,20;296;811;1297;2404;56820059;55110506;16209149;47921547;
2016;4;Menos de dois milhões de clientes;Conglomerado; ;BBM (conglomerado); ;1;0;0;1;10786;9711;1239;1048;
2016;4;Mais de dois milhões de clientes;Conglomerado; ;BMG (conglomerado);43,35;107;265;205;577;2467944;15561;2453940;5054;
2016;4;Menos de dois milhões de clientes;Conglomerado; ;BNP PARIBAS (conglomerado);57,26;92;385;138;615;1606452;14571;1592270;2341;
2016;4;Menos de dois milhões de clientes;Conglomerado; ;BOFA MERRILL LYNCH (conglomerado); ;0;0;2;2;1178;1168;52;345;
2016;4;Mais de dois milhões de clientes;Conglomerado; ;BRADESCO (conglomerado);7,06;549;1004;931;2484;77729478;72010149;23386980;35083024;
2016;4;Menos de dois milhões de clientes;Conglomerado; ;BRASIL PLURAL (conglomerado); ;1;0;0;1;2016;2016;16;451;
2016;4;Menos de dois milhões de clientes;Conglomerado; ;BRB (conglomerado); ;8;25;41;74;771960;694843;265396;560529;
2016;4;Mais de dois milhões de clientes;Conglomerado; ;CAIXA ECONÔMICA FEDERAL (conglomerado);8,88;706;897;1807;3410;79464419;77245709;14532059;69125422;
2016;4;Menos de dois milhões de clientes;Conglomerado; ;CCB (conglomerado);101,37;10;33;43;86;98641;10931;89475;4975;
2016;4;Menos de dois milhões de clientes;Conglomerado; ;CITIBANK (conglomerado);10,79;12;47;62;121;1111623;549202;709081;214734;
2016;4;Menos de dois milhões de clientes;Conglomerado; ;CREDIT SUISSE (conglomerado); ;0;0;1;1;3752;3752;107;0;
2016;4;Menos de dois milhões de clientes;Banco/financeira;60779196;CREFISA S A  CREDITO  FINANCIAMENTO E INVESTIMENTOS; ;1;17;21;39;1046630; ;1046630; ;
2016;4;Menos de dois milhões de clientes;Conglomerado; ;DACASA FINANCEIRA (conglomerado); ;0;2;0;2;532352; ;532352; ;
2016;4;Menos de dois milhões de clientes;Conglomerado; ;DAYCOVAL (conglomerado);51,11;40;167;46;253;782476;41351;746482;10921;
2016;4;Menos de dois milhões de clientes;Banco/financeira;15581638;FACTA FINANCEIRA S A    CREDITO FINANCIAMENTO E INVESTIMENTO; ;2;2;0;4;13644; ;13644; ;
2016;4;Menos de dois milhões de clientes;Banco/financeira;00411939;FINAMAX S A    CREDITO  FINANCIAMENTO E INVESTIMENTO; ;0;0;1;1;73558; ;73558; ;
