Ano;Mês;Categoria;Tipo;CNPJ IF;Instituição financeira;Irregularidade;Quantidade de reclamações reguladas procedentes;Quantidade de reclamações reguladas - outras;Quantidade de reclamações não reguladas;Quantidade total de reclamações;
2016;2;Menos de dois milhões de clientes;Conglomerado; ;AGIPLAN (conglomerado);Ausência de título adequado relativo a cartão de crédito;1;11;0;12;
2016;2;Menos de dois milhões de clientes;Conglomerado; ;AGIPLAN (conglomerado);Ausência de título adequado relativo a cartão de crédito consignado;1;9;0;10;
2016;2;Menos de dois milhões de clientes;Conglomerado; ;AGIPLAN (conglomerado);Cobranças diversas em operação de crédito consignado;0;0;2;2;
2016;2;Menos de dois milhões de clientes;Conglomerado; ;AGIPLAN (conglomerado);Descumprimento contratual;0;0;1;1;
2016;2;Menos de dois milhões de clientes;Conglomerado; ;AGIPLAN (conglomerado);Encaminhamento de instrumentos de pagamento não solicitados;10;1;0;11;
2016;2;Menos de dois milhões de clientes;Conglomerado; ;AGIPLAN (conglomerado);Insatisfação com a resposta recebida da instituição financeira referente à reclamação registrada no BCB;1;0;0;1;
2016;2;Menos de dois milhões de clientes;Conglomerado; ;AGIPLAN (conglomerado);Insatisfação com o atendimento prestado pelo SAC ou Central de Relacionamento;0;0;1;1;
2016;2;Menos de dois milhões de clientes;Conglomerado; ;AGIPLAN (conglomerado);Irregularidades relacionadas a operações no mercado de câmbio;0;1;0;1;
2016;2;Menos de dois milhões de clientes;Conglomerado; ;AGIPLAN (conglomerado);Irregularidades relacionadas ao fornecimento de documento para liquidação antecipada de operações de crédito consignado;0;1;0;1;
2016;2;Menos de dois milhões de clientes;Conglomerado; ;AGIPLAN (conglomerado);Irregularidades relacionadas ao fornecimento de informações sobre operações de crédito consignado (pessoa natural);0;1;0;1;
2016;2;Menos de dois milhões de clientes;Conglomerado; ;AGIPLAN (conglomerado);Juros;0;0;1;1;
2016;2;Menos de dois milhões de clientes;Conglomerado; ;AGIPLAN (conglomerado);Não liberação de margem consignável - Cartão de crédito consignável;0;0;1;1;
2016;2;Menos de dois milhões de clientes;Conglomerado; ;AGIPLAN (conglomerado);Oferta ou prestação de informação a respeito de produtos e serviços de forma inadequada;0;1;0;1;
2016;2;Menos de dois milhões de clientes;Conglomerado; ;AGIPLAN (conglomerado);Outros assuntos não regulados relacionados a cartão de crédito;0;0;1;1;
2016;2;Menos de dois milhões de clientes;Conglomerado; ;AGIPLAN (conglomerado);Reclamações relacionadas a assuntos diversos;0;0;1;1;
2016;2;Menos de dois milhões de clientes;Conglomerado; ;ALFA (conglomerado);Cobranças diversas em operação de crédito consignado;0;0;1;1;
2016;2;Menos de dois milhões de clientes;Conglomerado; ;ALFA (conglomerado);Irregularidades relacionadas ao fornecimento de documento para liquidação antecipada de operações de crédito consignado;1;2;0;3;
2016;2;Menos de dois milhões de clientes;Conglomerado; ;ALFA (conglomerado);Irregularidades relacionadas ao fornecimento de informações sobre operações de crédito consignado (pessoa natural);1;2;0;3;
2016;2;Menos de dois milhões de clientes;Conglomerado; ;ALFA (conglomerado);Renegociação de dívida (exceto cartão de crédito);0;0;1;1;
2016;2;Menos de dois milhões de clientes;Conglomerado; ;ALFA (conglomerado);Renegociação de dívidas/encargos relacionadas a cartão de crédito;0;0;1;1;
2016;2;Menos de dois milhões de clientes;Conglomerado; ;ALFA (conglomerado);Restrição à realização de portabilidade de operações de crédito consignado relativas a pessoas naturais;0;2;0;2;
2016;2;Menos de dois milhões de clientes;Conglomerado; ;ALFA (conglomerado);Restrições cadastrais;0;0;1;1;
2016;2;Menos de dois milhões de clientes;Conglomerado; ;ALFA (conglomerado);Utilização incorreta da taxa de desconto no cálculo do valor presente relacionadas às operações de crédito consignado;0;3;0;3;
2016;2;Menos de dois milhões de clientes;Conglomerado; ;ANDBANK (conglomerado);Recusa de produtos ou serviços;0;0;1;1;
2016;2;Menos de dois milhões de clientes;Banco/financeira;92874270;BANCO A J  RENNER S A;Juros;0;0;2;2;
2016;2;Menos de dois milhões de clientes;Banco/financeira;00997185;BANCO BM FBOVESPA DE SERVICOS DE LIQUIDACAO E CUSTODIA S A;Insatisfação com o atendimento prestado pelo SAC ou Central de Relacionamento;0;0;1;1;
2016;2;Menos de dois milhões de clientes;Banco/financeira;71027866;BANCO BONSUCESSO S A;Bloqueio de cartão de crédito;0;0;1;1;
2016;2;Menos de dois milhões de clientes;Banco/financeira;71027866;BANCO BONSUCESSO S A;Bloqueio de conta;0;0;1;1;
2016;2;Menos de dois milhões de clientes;Banco/financeira;71027866;BANCO BONSUCESSO S A;Cancelamento de contrato a pedido do cliente não atendido;0;1;0;1;
2016;2;Menos de dois milhões de clientes;Banco/financeira;71027866;BANCO BONSUCESSO S A;Cartão pré-pago;0;0;7;7;
2016;2;Menos de dois milhões de clientes;Banco/financeira;71027866;BANCO BONSUCESSO S A;Cobranças diversas em operação de crédito consignado;0;0;1;1;
2016;2;Menos de dois milhões de clientes;Banco/financeira;71027866;BANCO BONSUCESSO S A;Concessão de crédito consignado sem a formalização do título adequado;0;1;0;1;
2016;2;Menos de dois milhões de clientes;Banco/financeira;71027866;BANCO BONSUCESSO S A;Golpe;0;0;1;1;
2016;2;Menos de dois milhões de clientes;Banco/financeira;71027866;BANCO BONSUCESSO S A;Insatisfação com a resposta recebida da instituição financeira referente à reclamação registrada no BCB;0;1;0;1;
2016;2;Menos de dois milhões de clientes;Banco/financeira;71027866;BANCO BONSUCESSO S A;Insatisfação com o atendimento prestado pelo SAC ou Central de Relacionamento;0;0;1;1;
2016;2;Menos de dois milhões de clientes;Banco/financeira;71027866;BANCO BONSUCESSO S A;Irregularidades relacionadas ao acompanhamento de conta;0;1;0;1;
