Ano;Mês;Categoria;Tipo;CNPJ IF;Instituição financeira;Índice;Quantidade de reclamações reguladas procedentes;Quantidade de reclamações reguladas - outras;Quantidade de reclamações não reguladas;Quantidade total de reclamações;Quantidade total de clientes – CCS e SCR;Quantidade de clientes – CCS;Quantidade de clientes – SCR;Quantidade de clientes – FGC;
2016;2;Menos de dois milhões de clientes;Conglomerado; ;AGIPLAN (conglomerado);86,72;13;25;8;46;149896; ;149896;335;
2016;2;Menos de dois milhões de clientes;Conglomerado; ;ALFA (conglomerado); ;2;9;4;15;441212;269055;174601;3866;
2016;2;Menos de dois milhões de clientes;Conglomerado; ;ANDBANK (conglomerado); ;0;0;1;1;2760;1052;1716;134;
2016;2;Menos de dois milhões de clientes;Banco/financeira;92874270;BANCO A J  RENNER S A; ;0;0;2;2;101611;6684;95309;1828;
2016;2;Menos de dois milhões de clientes;Banco/financeira;00997185;BANCO BM FBOVESPA DE SERVICOS DE LIQUIDACAO E CUSTODIA S A; ;0;0;1;1;750;750; ;39;
2016;2;Menos de dois milhões de clientes;Banco/financeira;71027866;BANCO BONSUCESSO S A; ;2;8;18;28;48975;12734;36549;1;
2016;2;Menos de dois milhões de clientes;Banco/financeira;02992446;BANCO CNH INDUSTRIAL CAPITAL S A; ;0;1;1;2;27066;1800;25937;214;
2016;2;Menos de dois milhões de clientes;Banco/financeira;08357240;BANCO CSF S A; ;5;10;28;43;1827629; ;1827629; ;
2016;2;Menos de dois milhões de clientes;Banco/financeira;04902979;BANCO DA AMAZONIA S A; ;0;1;2;3;504721;420483;174515;279527;
2016;2;Menos de dois milhões de clientes;Banco/financeira;05040481;BANCO DE LAGE LANDEN BRASIL S A; ;0;0;2;2;49864; ;49864; ;
2016;2;Menos de dois milhões de clientes;Banco/financeira;60498557;BANCO DE TOKYO MITSUBISHI UFJ BRASIL S A; ;0;0;1;1;2046;2020;134;420;
2016;2;Menos de dois milhões de clientes;Banco/financeira;13009717;BANCO DO ESTADO DE SERGIPE S A; ;2;0;6;8;835620;804268;193453;601381;
2016;2;Menos de dois milhões de clientes;Banco/financeira;04913711;BANCO DO ESTADO DO PARA S A; ;0;6;10;16;712291;707784;169882;553206;
2016;2;Mais de dois milhões de clientes;Banco/financeira;07237373;BANCO DO NORDESTE DO BRASIL S A; 0 ;0;1;5;6;5268287;5089502;909131;3666305;
2016;2;Menos de dois milhões de clientes;Banco/financeira;58616418;BANCO FIBRA S A; ;1;5;9;15;93563;5108;88976;1710;
2016;2;Menos de dois milhões de clientes;Banco/financeira;61348538;BANCO FICSA S A; ;0;0;3;3;29074;1215;27863;248;
2016;2;Menos de dois milhões de clientes;Banco/financeira;90731688;BANCO FORD S A; ;0;1;1;2;379;90;293;49;
2016;2;Menos de dois milhões de clientes;Banco/financeira;10664513;BANCO GERADOR S A; ;3;5;3;11;25453;312;25159;130;
2016;2;Menos de dois milhões de clientes;Banco/financeira;00795423;BANCO SEMEAR S A; ;0;1;1;2;163161;3508;159822;1133;
2016;2;Menos de dois milhões de clientes;Banco/financeira;07679404;BANCO TOPAZIO S A; ;0;0;1;1;31565;1172;30568;241;
2016;2;Menos de dois milhões de clientes;Banco/financeira;03215790;BANCO TOYOTA DO BRASIL S A; ;1;3;9;13;142926;15038;130472;107;
2016;2;Menos de dois milhões de clientes;Conglomerado; ;BANCOOB (conglomerado); ;1;4;3;8;1399745;1031150;434697; ;
2016;2;Menos de dois milhões de clientes;Conglomerado; ;BANESTES (conglomerado); ;0;2;4;6;1193414;1158010;245717;851615;
2016;2;Menos de dois milhões de clientes;Conglomerado; ;BANIF (conglomerado); ;0;1;1;2;3848;3847;1;1897;
2016;2;Mais de dois milhões de clientes;Conglomerado; ;BANRISUL (conglomerado);4,55;18;61;33;112;3952294;3149767;1674791;2436180;
