Ano;Mês;Categoria;Tipo;CNPJ IF;Instituição financeira;Índice;Quantidade de reclamações reguladas procedentes;Quantidade de reclamações reguladas - outras;Quantidade de reclamações não reguladas;Quantidade total de reclamações;Quantidade total de clientes – CCS e SCR;Quantidade de clientes – CCS;Quantidade de clientes – SCR;Quantidade de clientes – FGC;
2016;1;Menos de dois milhões de clientes;Conglomerado; ;AGIPLAN (conglomerado);75,17;11;55;18;84;146322; ;146322;335;
2016;1;Menos de dois milhões de clientes;Banco/financeira;36321990;AGORACRED S A SOCIEDADE DE CREDITO  FINANCIAMENTO E INVESTIMENTO; ;1;0;1;2;50108; ;50108;50;
2016;1;Menos de dois milhões de clientes;Conglomerado; ;ALFA (conglomerado); ;0;3;5;8;441634;269060;175065;0;
2016;1;Menos de dois milhões de clientes;Conglomerado; ;ANDBANK (conglomerado); ;0;0;1;1;2739;1031;1716;134;
2016;1;Menos de dois milhões de clientes;Banco/financeira;92874270;BANCO A J  RENNER S A; ;0;1;4;5;100576;6636;94333;1828;
2016;1;Menos de dois milhões de clientes;Banco/financeira;54403563;BANCO ARBI S A; ;0;0;1;1;4436;314;4146;264;
2016;1;Menos de dois milhões de clientes;Banco/financeira;71027866;BANCO BONSUCESSO S A; ;1;39;17;57;48614;12731;36230;1;
2016;1;Menos de dois milhões de clientes;Banco/financeira;08357240;BANCO CSF S A; ;6;12;33;51;1832980; ;1832980; ;
2016;1;Menos de dois milhões de clientes;Banco/financeira;04902979;BANCO DA AMAZONIA S A; ;2;0;2;4;505325;420539;174688;279527;
2016;1;Menos de dois milhões de clientes;Banco/financeira;62232889;BANCO DAYCOVAL S A;65,87;51;199;88;338;774141;40019;739631;9499;
2016;1;Menos de dois milhões de clientes;Banco/financeira;05040481;BANCO DE LAGE LANDEN BRASIL S A; ;0;0;1;1;49940; ;49940; ;
2016;1;Menos de dois milhões de clientes;Banco/financeira;13009717;BANCO DO ESTADO DE SERGIPE S A; ;5;1;2;8;835200;802537;195216;601381;
2016;1;Menos de dois milhões de clientes;Banco/financeira;04913711;BANCO DO ESTADO DO PARA S A; ;2;3;5;10;709299;704788;169383;553206;
2016;1;Mais de dois milhões de clientes;Banco/financeira;07237373;BANCO DO NORDESTE DO BRASIL S A; 0 ;0;0;5;5;5221654;5041242;910099;3666305;
2016;1;Menos de dois milhões de clientes;Banco/financeira;58616418;BANCO FIBRA S A; ;0;6;10;16;96784;5302;92014;1710;
2016;1;Menos de dois milhões de clientes;Banco/financeira;61348538;BANCO FICSA S A; ;0;0;2;2;29308;1216;28096;248;
2016;1;Menos de dois milhões de clientes;Banco/financeira;10664513;BANCO GERADOR S A; ;1;1;1;3;25750;342;25426;130;
2016;1;Menos de dois milhões de clientes;Banco/financeira;00795423;BANCO SEMEAR S A; ;1;2;1;4;160403;3463;157124;1133;
2016;1;Menos de dois milhões de clientes;Banco/financeira;07679404;BANCO TOPAZIO S A; ;0;0;1;1;32555;1174;31559;241;
2016;1;Menos de dois milhões de clientes;Banco/financeira;03215790;BANCO TOYOTA DO BRASIL S A; ;0;0;1;1;143093;15033;130694;107;
2016;1;Menos de dois milhões de clientes;Banco/financeira;17351180;BANCO TRIANGULO S A; ;1;0;1;2;222383;160928;74557;15364;
2016;1;Menos de dois milhões de clientes;Conglomerado; ;BANCOOB (conglomerado); ;0;4;5;9;1390583;1024715;431617;0;
2016;1;Menos de dois milhões de clientes;Conglomerado; ;BANESTES (conglomerado); ;3;1;0;4;1189897;1154416;246494;851615;
2016;1;Menos de dois milhões de clientes;Conglomerado; ;BANIF (conglomerado); ;0;0;2;2;4049;4048;1;1897;
2016;1;Mais de dois milhões de clientes;Conglomerado; ;BANRISUL (conglomerado);3,56;14;63;47;124;3922060;3116104;1665300;2436180;
2016;1;Menos de dois milhões de clientes;Conglomerado; ;BARIGUI (conglomerado); ;0;3;0;3;26411; ;26411;384;
2016;1;Mais de dois milhões de clientes;Conglomerado; ;BB (conglomerado);5,45;308;707;1096;2111;56461097;54794955;16161356;39617704;
