Ano;Bimestre;Categoria;Tipo;CNPJ IF;Instituição financeira;Irregularidade;Quantidade de reclamações reguladas procedentes;Quantidade de reclamações reguladas - outras;Quantidade de reclamações não reguladas;Quantidade total de reclamações;
2016;Jul/Ago;Menos de quatro milhões de clientes;Conglomerado; ;ABC-BRASIL (conglomerado);Concessão de crédito consignado mediante a formalização de título adequado com base em documentação falsa;0;1;0;1;
2016;Jul/Ago;Menos de quatro milhões de clientes;Conglomerado; ;AGIPLAN (conglomerado);Ausência de título adequado relativo a cartão de crédito;0;12;0;12;
2016;Jul/Ago;Menos de quatro milhões de clientes;Conglomerado; ;AGIPLAN (conglomerado);Ausência de título adequado relativo a cartão de crédito consignado;1;14;0;15;
2016;Jul/Ago;Menos de quatro milhões de clientes;Conglomerado; ;AGIPLAN (conglomerado);Bloqueio de margem consignável sem utilização do crédito pelo cliente - Cartão de crédito consignável;0;0;1;1;
2016;Jul/Ago;Menos de quatro milhões de clientes;Conglomerado; ;AGIPLAN (conglomerado);Cancelamento de contrato a pedido do cliente não atendido;0;2;0;2;
2016;Jul/Ago;Menos de quatro milhões de clientes;Conglomerado; ;AGIPLAN (conglomerado);Cobranças diversas;0;0;1;1;
2016;Jul/Ago;Menos de quatro milhões de clientes;Conglomerado; ;AGIPLAN (conglomerado);Cobranças diversas em operação de crédito consignado;0;0;1;1;
2016;Jul/Ago;Menos de quatro milhões de clientes;Conglomerado; ;AGIPLAN (conglomerado);Concessão de crédito (exceto consignado) sem a formalização do título adequado;0;1;0;1;
2016;Jul/Ago;Menos de quatro milhões de clientes;Conglomerado; ;AGIPLAN (conglomerado);Concessão de crédito consignado sem a formalização do título adequado;0;2;0;2;
2016;Jul/Ago;Menos de quatro milhões de clientes;Conglomerado; ;AGIPLAN (conglomerado);Descumprimento contratual;0;0;1;1;
2016;Jul/Ago;Menos de quatro milhões de clientes;Conglomerado; ;AGIPLAN (conglomerado);Descumprimento de prazo de resposta da reclamação registrada no BCB;2;0;0;2;
2016;Jul/Ago;Menos de quatro milhões de clientes;Conglomerado; ;AGIPLAN (conglomerado);Débito em conta de depósito não autorizado pelo cliente;0;2;0;2;
2016;Jul/Ago;Menos de quatro milhões de clientes;Conglomerado; ;AGIPLAN (conglomerado);Encaminhamento de instrumentos de pagamento não solicitados;0;2;0;2;
2016;Jul/Ago;Menos de quatro milhões de clientes;Conglomerado; ;AGIPLAN (conglomerado);Insatisfação com a resposta recebida da instituição financeira referente à reclamação registrada no BCB;2;4;0;6;
2016;Jul/Ago;Menos de quatro milhões de clientes;Conglomerado; ;AGIPLAN (conglomerado);Insatisfação com o atendimento prestado pelo SAC ou Central de Relacionamento;0;0;1;1;
2016;Jul/Ago;Menos de quatro milhões de clientes;Conglomerado; ;AGIPLAN (conglomerado);Irregularidades relacionadas ao atendimento da Ouvidoria;1;0;0;1;
2016;Jul/Ago;Menos de quatro milhões de clientes;Conglomerado; ;AGIPLAN (conglomerado);Irregularidades relacionadas ao fornecimento de contratos de operações de crédito consignado;1;3;0;4;
2016;Jul/Ago;Menos de quatro milhões de clientes;Conglomerado; ;AGIPLAN (conglomerado);Irregularidades relacionadas ao fornecimento de contratos de operações de crédito de outras modalidades, exceto crédito consignado, financiamento imobiliário e cartão de crédito.;3;2;0;5;
2016;Jul/Ago;Menos de quatro milhões de clientes;Conglomerado; ;AGIPLAN (conglomerado);Irregularidades relacionadas ao fornecimento de documento para liquidação antecipada de demais operações de operações de crédito, exceto consignado e financiamento imobiliário;1;1;0;2;
2016;Jul/Ago;Menos de quatro milhões de clientes;Conglomerado; ;AGIPLAN (conglomerado);Irregularidades relacionadas ao fornecimento de outros documentos, exceto os relativos a cartão de crédito, contratos e liquidação antecipada;0;1;0;1;
2016;Jul/Ago;Menos de quatro milhões de clientes;Conglomerado; ;AGIPLAN (conglomerado);Irregularidades relacionadas ao Sistema de Informações de Crédito do Banco Central (SCR);2;3;0;5;
2016;Jul/Ago;Menos de quatro milhões de clientes;Conglomerado; ;AGIPLAN (conglomerado);Irregularidades relativas a integridade, confiabilidade, segurança, sigilo ou legitimidade das operações e serviços relacionados a cartões de débito;0;1;0;1;
2016;Jul/Ago;Menos de quatro milhões de clientes;Conglomerado; ;AGIPLAN (conglomerado);Não liberação de margem consignável - Cartão de crédito consignável;0;0;7;7;
2016;Jul/Ago;Menos de quatro milhões de clientes;Conglomerado; ;AGIPLAN (conglomerado);Não liberação de margem consignável (exceto cartão de crédito consignável);0;0;2;2;
2016;Jul/Ago;Menos de quatro milhões de clientes;Conglomerado; ;AGIPLAN (conglomerado);Oferta ou prestação de informação a respeito de produtos e serviços de forma inadequada;0;3;0;3;
2016;Jul/Ago;Menos de quatro milhões de clientes;Conglomerado; ;AGIPLAN (conglomerado);Outras irregularidades relacionadas a tarifas;1;0;0;1;
2016;Jul/Ago;Menos de quatro milhões de clientes;Conglomerado; ;AGIPLAN (conglomerado);Outras irregularidades relativas a integridade, confiabilidade, segurança, sigilo ou legitimidade das operações e serviços;0;2;0;2;
2016;Jul/Ago;Menos de quatro milhões de clientes;Conglomerado; ;AGIPLAN (conglomerado);Outros assuntos não regulados relacionados a cartão de crédito;0;0;4;4;
2016;Jul/Ago;Menos de quatro milhões de clientes;Conglomerado; ;AGIPLAN (conglomerado);Reclamações relacionadas a assuntos diversos;0;0;1;1;
2016;Jul/Ago;Menos de quatro milhões de clientes;Conglomerado; ;AGIPLAN (conglomerado);Renegociação de dívida (exceto cartão de crédito);0;0;10;10;
2016;Jul/Ago;Menos de quatro milhões de clientes;Conglomerado; ;AGIPLAN (conglomerado);Renegociação de dívidas/encargos relacionadas a cartão de crédito;0;0;3;3;
2016;Jul/Ago;Menos de quatro milhões de clientes;Conglomerado; ;AGIPLAN (conglomerado);Restrições cadastrais;0;0;3;3;
