Ano;Bimestre;Categoria;Tipo;CNPJ IF;Instituição financeira;Índice;Quantidade de reclamações reguladas procedentes;Quantidade de reclamações reguladas - outras;Quantidade de reclamações não reguladas;Quantidade total de reclamações;Quantidade total de clientes – CCS e SCR;Quantidade de clientes – CCS;Quantidade de clientes – SCR;Quantidade de clientes – FGC;
2016;Jul/Ago;Menos de quatro milhões de clientes;Conglomerado; ;ABC-BRASIL (conglomerado); ;0;1;0;1;12471;11095;3019;2671;
2016;Jul/Ago;Menos de quatro milhões de clientes;Conglomerado; ;AGIPLAN (conglomerado);46,88;14;56;35;105;298623;614;298026;71;
2016;Jul/Ago;Menos de quatro milhões de clientes;Conglomerado; ;ALFA (conglomerado); ;6;23;21;50;498882;269001;232097;0;
2016;Jul/Ago;Menos de quatro milhões de clientes;Conglomerado; ;ANDBANK (conglomerado); ;0;0;3;3;7113;1187;5935;108;
2016;Jul/Ago;Menos de quatro milhões de clientes;Banco/financeira;92874270;BANCO A.J. RENNER S.A.; ;1;0;0;1;104895;7038;98252;2061;
2016;Jul/Ago;Menos de quatro milhões de clientes;Banco/financeira;71027866;BANCO BONSUCESSO S.A.; ;5;125;72;202;66264;11642;54776;1881;
2016;Jul/Ago;Menos de quatro milhões de clientes;Banco/financeira;02658435;BANCO CATERPILLAR S.A.; ;0;0;1;1;5412; ;5412; ;
2016;Jul/Ago;Menos de quatro milhões de clientes;Banco/financeira;02992446;BANCO CNH INDUSTRIAL CAPITAL S.A.; ;0;1;3;4;26877;1727;25758; ;
2016;Jul/Ago;Menos de quatro milhões de clientes;Banco/financeira;08357240;BANCO CSF S.A.;8,74;27;18;50;95;3087470; ;3087470; ;
2016;Jul/Ago;Menos de quatro milhões de clientes;Banco/financeira;04902979;BANCO DA AMAZONIA S.A.; ;1;3;6;10;513657;423624;186027;282148;
2016;Jul/Ago;Menos de quatro milhões de clientes;Banco/financeira;10690848;BANCO DA CHINA BRASIL S.A.; ;0;2;0;2;715;698;50;362;
2016;Jul/Ago;Menos de quatro milhões de clientes;Banco/financeira;05040481;BANCO DE LAGE LANDEN BRASIL S.A.; ;0;0;2;2;46475; ;46475; ;
2016;Jul/Ago;Menos de quatro milhões de clientes;Banco/financeira;13009717;BANCO DO ESTADO DE SERGIPE S.A.;25,08;23;7;9;39;917060;814728;364467;616172;
2016;Jul/Ago;Menos de quatro milhões de clientes;Banco/financeira;04913711;BANCO DO ESTADO DO PARÁ S.A.; ;8;8;19;35;729309;720135;206045;569151;
2016;Jul/Ago;Mais de quatro milhões de clientes;Banco/financeira;07237373;BANCO DO NORDESTE DO BRASIL S.A.;0,17;1;15;16;32;5607675;5413533;1034470;4199199;
2016;Jul/Ago;Menos de quatro milhões de clientes;Banco/financeira;58616418;BANCO FIBRA S.A.; ;3;4;25;32;191554;4611;187423;1431;
2016;Jul/Ago;Menos de quatro milhões de clientes;Banco/financeira;61348538;BANCO FICSA S.A.; ;0;2;0;2;35402;673;34733;99;
2016;Jul/Ago;Menos de quatro milhões de clientes;Banco/financeira;90731688;BANCO FORD S.A.; ;0;0;1;1;363;80;287; ;
