Ano;Mês;Categoria;Tipo;CNPJ IF;Instituição financeira;Índice;Quantidade de reclamações reguladas procedentes;Quantidade de reclamações reguladas - outras;Quantidade de reclamações não reguladas;Quantidade total de reclamações;Quantidade total de clientes – CCS e SCR;Quantidade de clientes – CCS;Quantidade de clientes – SCR;Quantidade de clientes – FGC;
2016;5;Menos de dois milhões de clientes;Conglomerado; ;AGIPLAN (conglomerado); ;3;35;20;58;166955; ;166955; ;
2016;5;Menos de dois milhões de clientes;Conglomerado; ;ALFA (conglomerado); ;3;13;14;30;441560;269037;174802;0;
2016;5;Menos de dois milhões de clientes;Banco/financeira;92874270;BANCO A J  RENNER S A; ;0;0;1;1;103694;6887;97193;2033;
2016;5;Menos de dois milhões de clientes;Banco/financeira;54403563;BANCO ARBI S A; ;0;1;0;1;4504;335;4200;242;
2016;5;Menos de dois milhões de clientes;Banco/financeira;61146577;BANCO BARCLAYS S A; ;0;2;0;2;2030;1996;34;5;
2016;5;Menos de dois milhões de clientes;Banco/financeira;71027866;BANCO BONSUCESSO S A; ;5;30;20;55;44670;12566;32428;2042;
2016;5;Menos de dois milhões de clientes;Banco/financeira;02992446;BANCO CNH INDUSTRIAL CAPITAL S A; ;0;2;0;2;27337;1772;26218; ;
2016;5;Menos de dois milhões de clientes;Banco/financeira;08357240;BANCO CSF S A; ;6;7;29;42;1849137; ;1849137; ;
2016;5;Menos de dois milhões de clientes;Banco/financeira;04902979;BANCO DA AMAZONIA S A; ;1;0;4;5;505210;423241;172848;283415;
2016;5;Menos de dois milhões de clientes;Banco/financeira;13009717;BANCO DO ESTADO DE SERGIPE S A;13,11;11;1;4;16;838862;809350;187907;610208;
2016;5;Menos de dois milhões de clientes;Banco/financeira;04913711;BANCO DO ESTADO DO PARA S A; ;0;6;5;11;717845;713322;174205;558012;
2016;5;Mais de dois milhões de clientes;Banco/financeira;07237373;BANCO DO NORDESTE DO BRASIL S A;0,18;1;1;3;5;5421685;5248727;911294;3958646;
2016;5;Menos de dois milhões de clientes;Banco/financeira;58616418;BANCO FIBRA S A; ;2;2;11;15;85259;5030;80723;1558;
2016;5;Menos de dois milhões de clientes;Banco/financeira;61348538;BANCO FICSA S A; ;0;1;1;2;28490;1215;27279;171;
2016;5;Menos de dois milhões de clientes;Banco/financeira;62237425;BANCO FIDIS S A; ;0;1;0;1;5798;403;5408; ;
