Ano;Mês;Categoria;Tipo;CNPJ IF;Instituição financeira;Índice;Quantidade de reclamações reguladas procedentes;Quantidade de reclamações reguladas - outras;Quantidade de reclamações não reguladas;Quantidade total de reclamações;Quantidade total de clientes – CCS e SCR;Quantidade de clientes – CCS;Quantidade de clientes – SCR;Quantidade de clientes – FGC;
2016;3;Menos de dois milhões de clientes;Conglomerado; ;ABC-BRASIL (conglomerado); ;0;0;2;2;12287;11092;2753;2631;
2016;3;Menos de dois milhões de clientes;Conglomerado; ;AGIPLAN (conglomerado);91,07;14;54;23;91;153721; ;153721; ;
2016;3;Menos de dois milhões de clientes;Conglomerado; ;ALFA (conglomerado); ;4;19;13;36;440950;269052;174292;0;
2016;3;Menos de dois milhões de clientes;Banco/financeira;92874270;BANCO A J  RENNER S A; ;0;0;4;4;102240;6759;95870;2033;
2016;3;Menos de dois milhões de clientes;Banco/financeira;71027866;BANCO BONSUCESSO S A; ;1;20;17;38;48025;12762;35575;2042;
2016;3;Menos de dois milhões de clientes;Banco/financeira;02658435;BANCO CATERPILLAR S A; ;0;0;1;1;5589; ;5589; ;
2016;3;Menos de dois milhões de clientes;Banco/financeira;08357240;BANCO CSF S A; ;8;16;25;49;1837683; ;1837683; ;
2016;3;Menos de dois milhões de clientes;Banco/financeira;04902979;BANCO DA AMAZONIA S A; ;1;3;2;6;504649;421239;173717;283415;
2016;3;Menos de dois milhões de clientes;Banco/financeira;05040481;BANCO DE LAGE LANDEN BRASIL S A; ;0;0;1;1;49601; ;49601; ;
2016;3;Menos de dois milhões de clientes;Banco/financeira;60498557;BANCO DE TOKYO MITSUBISHI UFJ BRASIL S A; ;0;0;1;1;2070;2043;133;434;
2016;3;Menos de dois milhões de clientes;Banco/financeira;13009717;BANCO DO ESTADO DE SERGIPE S A; ;0;1;4;5;836243;805793;190804;610208;
2016;3;Menos de dois milhões de clientes;Banco/financeira;04913711;BANCO DO ESTADO DO PARA S A; ;0;1;4;5;715923;711438;171114;558012;
2016;3;Mais de dois milhões de clientes;Banco/financeira;07237373;BANCO DO NORDESTE DO BRASIL S A; 0 ;0;2;11;13;5315204;5137216;912664;3958646;
2016;3;Menos de dois milhões de clientes;Banco/financeira;58616418;BANCO FIBRA S A; ;0;6;11;17;90317;5001;85827;1558;
2016;3;Menos de dois milhões de clientes;Banco/financeira;61348538;BANCO FICSA S A; ;0;0;2;2;28880;1215;27669;171;
2016;3;Menos de dois milhões de clientes;Banco/financeira;10664513;BANCO GERADOR S A; ;1;0;1;2;23358;312;23064;117;
2016;3;Menos de dois milhões de clientes;Banco/financeira;07656500;BANCO KDB DO BRASIL S A; ;0;0;1;1;180;180; ;29;
2016;3;Menos de dois milhões de clientes;Banco/financeira;59118133;BANCO LUSO BRASILEIRO S A; ;1;1;0;2;9457;4143;5649;1158;
2016;3;Menos de dois milhões de clientes;Banco/financeira;00795423;BANCO SEMEAR S A; ;0;2;1;3;165225;3537;161860;1242;
2016;3;Menos de dois milhões de clientes;Banco/financeira;07679404;BANCO TOPAZIO S A; ;0;0;1;1;30419;1190;29411;244;
2016;3;Menos de dois milhões de clientes;Banco/financeira;03215790;BANCO TOYOTA DO BRASIL S A; ;0;0;2;2;142921;15046;130437; ;
2016;3;Menos de dois milhões de clientes;Banco/financeira;17351180;BANCO TRIANGULO S A; ;1;0;2;3;224738;161383;76131;15135;
2016;3;Menos de dois milhões de clientes;Conglomerado; ;BANCOOB (conglomerado); ;0;8;9;17;1415192;1041143;440596;0;
2016;3;Menos de dois milhões de clientes;Conglomerado; ;BANESTES (conglomerado); ;2;4;5;11;1198330;1163018;245581;874134;
2016;3;Mais de dois milhões de clientes;Conglomerado; ;BANRISUL (conglomerado);3,56;14;104;38;156;3929755;3128253;1681805;2447652;
2016;3;Menos de dois milhões de clientes;Conglomerado; ;BARIGUI (conglomerado); ;2;6;0;8;26330; ;26330; ;
2016;3;Mais de dois milhões de clientes;Conglomerado; ;BB (conglomerado);6,29;357;868;1490;2715;56735336;55049619;16137087;47921547;
2016;3;Menos de dois milhões de clientes;Conglomerado; ;BBM (conglomerado); ;0;0;1;1;10782;9702;1247;1048;
2016;3;Mais de dois milhões de clientes;Conglomerado; ;BMG (conglomerado);61,93;148;238;278;664;2389519;15471;2375598;5054;
2016;3;Menos de dois milhões de clientes;Conglomerado; ;BMW (conglomerado); ;0;0;1;1;20138; ;20138; ;
2016;3;Menos de dois milhões de clientes;Conglomerado; ;BNP PARIBAS (conglomerado);69,74;109;326;151;586;1562801;14395;1548793;2341;
2016;3;Menos de dois milhões de clientes;Conglomerado; ;BNY MELLON (conglomerado); ;0;0;1;1;1405;1405; ;909;
2016;3;Menos de dois milhões de clientes;Conglomerado; ;BOFA MERRILL LYNCH (conglomerado); ;0;0;1;1;1166;1156;52;345;
2016;3;Mais de dois milhões de clientes;Conglomerado; ;BRADESCO (conglomerado);9,38;728;1270;1123;3121;77534847;71853247;23251575;35083024;
2016;3;Menos de dois milhões de clientes;Conglomerado; ;BRB (conglomerado);14,34;11;33;36;80;766662;689569;264252;560529;
2016;3;Mais de dois milhões de clientes;Conglomerado; ;CAIXA ECONÔMICA FEDERAL (conglomerado);9,56;755;1116;2360;4231;78961409;76758143;14545655;69125422;
2016;3;Menos de dois milhões de clientes;Banco/financeira;09313766;CARUANA S A    SOCIEDADE DE CREDITO  FINANCIAMENTO E INVESTIMENTO; ;0;0;1;1;3946; ;3946; ;
2016;3;Menos de dois milhões de clientes;Conglomerado; ;CCB (conglomerado); ;7;36;35;78;185293;11266;175875;4975;
2016;3;Menos de dois milhões de clientes;Conglomerado; ;CITIBANK (conglomerado);16,19;18;45;64;127;1111295;549494;710411;214734;
2016;3;Menos de dois milhões de clientes;Banco/financeira;60779196;CREFISA S A  CREDITO  FINANCIAMENTO E INVESTIMENTOS; ;1;16;19;36;1026815; ;1026815; ;
2016;3;Menos de dois milhões de clientes;Conglomerado; ;DACASA FINANCEIRA (conglomerado); ;0;0;3;3;529036; ;529036; ;
2016;3;Menos de dois milhões de clientes;Conglomerado; ;DAYCOVAL (conglomerado);64,31;50;160;72;282;777413;40769;742075;10921;
2016;3;Menos de dois milhões de clientes;Banco/financeira;15581638;FACTA FINANCEIRA S A    CREDITO FINANCIAMENTO E INVESTIMENTO; ;0;3;6;9;13360; ;13360; ;
2016;3;Menos de dois milhões de clientes;Banco/financeira;00411939;FINAMAX S A    CREDITO  FINANCIAMENTO E INVESTIMENTO; ;0;0;1;1;73244; ;73244; ;
2016;3;Menos de dois milhões de clientes;Conglomerado; ;GMAC (conglomerado); ;1;8;21;30;590991;1038;590268; ;
2016;3;Menos de dois milhões de clientes;Conglomerado; ;GOLDMAN SACHS (conglomerado); ;0;0;2;2;261;261; ; ;
2016;3;Menos de dois milhões de clientes;Conglomerado; ;HONDA (conglomerado); ;2;2;11;15;446820;17;446806; ;
2016;3;Mais de dois milhões de clientes;Conglomerado; ;HSBC (conglomerado);4,51;59;166;147;372;13081406;10050303;4933155;6438790;
2016;3;Menos de dois milhões de clientes;Conglomerado; ;INDUSTRIAL DO BRASIL (conglomerado); ;0;1;1;2;44884;3992;41379;828;
2016;3;Menos de dois milhões de clientes;Conglomerado; ;INTERMEDIUM (conglomerado); ;3;46;13;62;208757;10924;198352;5629;
2016;3;Mais de dois milhões de clientes;Conglomerado; ;ITAU (conglomerado);11,16;673;1494;1737;3904;60259903;47514366;28077656;28149746;
2016;3;Menos de dois milhões de clientes;Conglomerado; ;LECCA (conglomerado); ;0;0;3;3;8150; ;8150; ;
2016;3;Menos de dois milhões de clientes;Conglomerado; ;MÁXIMA (conglomerado); ;0;0;1;1;3244;3244; ;1614;
2016;3;Menos de dois milhões de clientes;Conglomerado; ;MERCANTIL DO BRASIL (conglomerado); ;9;56;21;86;1976634;1492922;798514;1242768;
2016;3;Menos de dois milhões de clientes;Conglomerado; ;MERCEDES-BENZ (conglomerado); ;1;0;0;1;33075;60;33070; ;
2016;3;Menos de dois milhões de clientes;Banco/financeira;09464032;MIDWAY S A    CREDITO  FINANCIAMENTO E INVESTIMENTO; ;5;6;12;23;980752; ;980752; ;
2016;3;Menos de dois milhões de clientes;Conglomerado; ;OMNI (conglomerado); ;0;6;19;25;1245322; ;1245322; ;
