Ano;Bimestre;Categoria;Tipo;CNPJ IF;Instituição financeira;Irregularidade;Quantidade de reclamações reguladas procedentes;Quantidade de reclamações reguladas - outras;Quantidade de reclamações não reguladas;Quantidade total de reclamações;
2016;Nov/Dez;Menos de quatro milhões de clientes;Conglomerado; ;ABC-BRASIL (conglomerado);Descumprimento contratual;0;0;1;1;
2016;Nov/Dez;Menos de quatro milhões de clientes;Conglomerado; ;AGIPLAN (conglomerado);Ausência de título adequado relativo a cartão de crédito;0;1;0;1;
2016;Nov/Dez;Menos de quatro milhões de clientes;Conglomerado; ;AGIPLAN (conglomerado);Ausência de título adequado relativo a cartão de crédito consignado;1;5;0;6;
2016;Nov/Dez;Menos de quatro milhões de clientes;Conglomerado; ;AGIPLAN (conglomerado);Bloqueio de margem consignável sem utilização do crédito pelo cliente - Cartão de crédito consignável;0;0;1;1;
2016;Nov/Dez;Menos de quatro milhões de clientes;Conglomerado; ;AGIPLAN (conglomerado);Cobranças diversas;0;0;2;2;
2016;Nov/Dez;Menos de quatro milhões de clientes;Conglomerado; ;AGIPLAN (conglomerado);Cobranças diversas em operação de crédito consignado;0;0;3;3;
2016;Nov/Dez;Menos de quatro milhões de clientes;Conglomerado; ;AGIPLAN (conglomerado);Concessão de crédito consignado sem a formalização do título adequado;2;5;0;7;
2016;Nov/Dez;Menos de quatro milhões de clientes;Conglomerado; ;AGIPLAN (conglomerado);Descumprimento contratual;0;0;2;2;
2016;Nov/Dez;Menos de quatro milhões de clientes;Conglomerado; ;AGIPLAN (conglomerado);Descumprimento de prazo de resposta da reclamação registrada no BCB;2;0;0;2;
2016;Nov/Dez;Menos de quatro milhões de clientes;Conglomerado; ;AGIPLAN (conglomerado);Débito em conta de depósito não autorizado pelo cliente;1;1;0;2;
2016;Nov/Dez;Menos de quatro milhões de clientes;Conglomerado; ;AGIPLAN (conglomerado);Insatisfação com a resposta recebida da instituição financeira referente à reclamação registrada no BCB;1;6;0;7;
2016;Nov/Dez;Menos de quatro milhões de clientes;Conglomerado; ;AGIPLAN (conglomerado);Insatisfação com o atendimento prestado pelo SAC ou Central de Relacionamento;0;0;2;2;
2016;Nov/Dez;Menos de quatro milhões de clientes;Conglomerado; ;AGIPLAN (conglomerado);Insatisfação com o atendimento prestado por agências;0;0;2;2;
2016;Nov/Dez;Menos de quatro milhões de clientes;Conglomerado; ;AGIPLAN (conglomerado);Irregularidades relacionadas ao atendimento da Ouvidoria;0;1;0;1;
2016;Nov/Dez;Menos de quatro milhões de clientes;Conglomerado; ;AGIPLAN (conglomerado);Irregularidades relacionadas ao fornecimento de contratos de operações de crédito consignado;1;1;0;2;
2016;Nov/Dez;Menos de quatro milhões de clientes;Conglomerado; ;AGIPLAN (conglomerado);Irregularidades relacionadas ao fornecimento de contratos de operações de crédito de outras modalidades, exceto crédito consignado, financiamento imobiliário e cartão de crédito.;3;2;0;5;
