Ano;Bimestre;Categoria;Tipo;CNPJ IF;Instituição financeira;Índice;Quantidade de reclamações reguladas procedentes;Quantidade de reclamações reguladas - outras;Quantidade de reclamações não reguladas;Quantidade total de reclamações;Quantidade total de clientes – CCS e SCR;Quantidade de clientes – CCS;Quantidade de clientes – SCR;Quantidade de clientes – FGC;
2016;Nov/Dez;Menos de quatro milhões de clientes;Conglomerado; ;ABC-BRASIL (conglomerado); ;0;0;1;1;14943;13647;3053;2671;
2016;Nov/Dez;Menos de quatro milhões de clientes;Conglomerado; ;AGIPLAN (conglomerado);60,31;17;29;33;79;281851;10677;274763;71;
2016;Nov/Dez;Menos de quatro milhões de clientes;Conglomerado; ;ALFA (conglomerado); ;6;20;9;35;488456;268880;221660; ;
2016;Nov/Dez;Menos de quatro milhões de clientes;Conglomerado; ;ANDBANK (conglomerado); ;0;1;0;1;6928;999;5937;108;
2016;Nov/Dez;Menos de quatro milhões de clientes;Banco/financeira;23862762;AVISTA S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO; ;0;0;2;2;66152; ;66152; ;
2016;Nov/Dez;Menos de quatro milhões de clientes;Banco/financeira;71027866;BANCO BONSUCESSO S.A.; ;0;71;17;88;45960;4034;42069;1881;
2016;Nov/Dez;Menos de quatro milhões de clientes;Banco/financeira;02992446;BANCO CNH INDUSTRIAL CAPITAL S.A.; ;1;3;2;6;27175;1625;26112; ;
2016;Nov/Dez;Menos de quatro milhões de clientes;Banco/financeira;08357240;BANCO CSF S.A.;4,77;15;20;47;82;3141650; ;3141650; ;
2016;Nov/Dez;Menos de quatro milhões de clientes;Banco/financeira;04902979;BANCO DA AMAZONIA S.A.; ;3;1;5;9;509849;422652;182343;282148;
2016;Nov/Dez;Menos de quatro milhões de clientes;Banco/financeira;51938876;BANCO DE LA REPUBLICA ORIENTAL DEL URUGUAY; ;0;1;0;1;217;90;134;57;
2016;Nov/Dez;Menos de quatro milhões de clientes;Banco/financeira;05040481;BANCO DE LAGE LANDEN BRASIL S.A.; ;0;0;1;1;45338; ;45338; ;
2016;Nov/Dez;Menos de quatro milhões de clientes;Banco/financeira;13009717;BANCO DO ESTADO DE SERGIPE S.A.; ;8;17;10;35;924099;823429;358018;616172;
2016;Nov/Dez;Menos de quatro milhões de clientes;Banco/financeira;04913711;BANCO DO ESTADO DO PARÁ S.A.; ;6;8;17;31;701882;692575;205566;569151;
2016;Nov/Dez;Mais de quatro milhões de clientes;Banco/financeira;07237373;BANCO DO NORDESTE DO BRASIL S.A.; 0 ;0;8;15;23;5788480;5603698;1024387;4199199;
2016;Nov/Dez;Menos de quatro milhões de clientes;Banco/financeira;58616418;BANCO FIBRA S.A.; ;2;5;11;18;179457;4497;175415;1431;
2016;Nov/Dez;Menos de quatro milhões de clientes;Banco/financeira;61348538;BANCO FICSA S.A.; ;1;0;1;2;32357;638;31723;50;
2016;Nov/Dez;Menos de quatro milhões de clientes;Banco/financeira;62237425;BANCO FIDIS S/A; ;0;2;1;3;4423;347;4087; ;
2016;Nov/Dez;Menos de quatro milhões de clientes;Banco/financeira;90731688;BANCO FORD S.A.; ;0;0;1;1;361;83;282; ;
2016;Nov/Dez;Menos de quatro milhões de clientes;Banco/financeira;59118133;BANCO LUSO BRASILEIRO S.A.; ;0;0;1;1;11465;5004;6862;1326;
2016;Nov/Dez;Menos de quatro milhões de clientes;Banco/financeira;00253448;BANCO NEON S.A.; ;1;1;7;9;24196;22689;1750;499;
2016;Nov/Dez;Menos de quatro milhões de clientes;Banco/financeira;00795423;BANCO SEMEAR S.A.; ;1;6;2;9;425381;3825;421798;1425;
2016;Nov/Dez;Menos de quatro milhões de clientes;Banco/financeira;07679404;BANCO TOPÁZIO S.A.; ;0;0;1;1;20599;2834;18432;234;
2016;Nov/Dez;Menos de quatro milhões de clientes;Banco/financeira;03215790;BANCO TOYOTA DO BRASIL S.A.; ;1;2;17;20;141158;15145;128202; ;
2016;Nov/Dez;Menos de quatro milhões de clientes;Banco/financeira;17351180;BANCO TRIANGULO S.A.; ;3;1;6;10;1199025;162263;1050494;14128;
2016;Nov/Dez;Menos de quatro milhões de clientes;Conglomerado; ;BANCOOB (conglomerado); ;6;12;15;33;1707876;1055879;752483; ;
2016;Nov/Dez;Menos de quatro milhões de clientes;Conglomerado; ;BANESTES (conglomerado); ;9;2;3;14;1297695;1172672;420762;875371;
2016;Nov/Dez;Menos de quatro milhões de clientes;Conglomerado; ;BANIF (conglomerado); ;0;1;0;1;2759;2757;18;1661;
2016;Nov/Dez;Mais de quatro milhões de clientes;Conglomerado; ;BANRISUL (conglomerado);12,11;53;163;108;324;4376082;3239677;2393882;2396891;
