Ano;Bimestre;Categoria;Tipo;CNPJ IF;Instituição financeira;Índice;Quantidade de reclamações reguladas procedentes;Quantidade de reclamações reguladas - outras;Quantidade de reclamações não reguladas;Quantidade total de reclamações;Quantidade total de clientes – CCS e SCR;Quantidade de clientes – CCS;Quantidade de clientes – SCR;Quantidade de clientes – FGC;
2016;Set/Out;Menos de quatro milhões de clientes;Conglomerado; ;ABC-BRASIL (conglomerado); ;0;0;1;1;12689;11317;3047;2671;
2016;Set/Out;Menos de quatro milhões de clientes;Conglomerado; ;AGIPLAN (conglomerado);53,33;14;31;25;70;262491;682;262084;71;
2016;Set/Out;Menos de quatro milhões de clientes;Conglomerado; ;ALFA (conglomerado);20,22;10;25;26;61;494443;269011;227588;0;
2016;Set/Out;Menos de quatro milhões de clientes;Conglomerado; ;ANDBANK (conglomerado); ;0;0;2;2;6854;925;5935;108;
2016;Set/Out;Menos de quatro milhões de clientes;Banco/financeira;23862762;AVISTA S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO; ;0;1;2;3;19070; ;19070; ;
2016;Set/Out;Menos de quatro milhões de clientes;Banco/financeira;92874270;BANCO A.J. RENNER S.A.; ;0;0;1;1;105991;7117;99250;2061;
2016;Set/Out;Menos de quatro milhões de clientes;Banco/financeira;54403563;BANCO ARBI S.A.; ;0;0;2;2;6032;367;5698;229;
2016;Set/Out;Menos de quatro milhões de clientes;Banco/financeira;00997185;BANCO BM&FBOVESPA DE SERVIÇOS DE LIQUIDAÇÃO E CUSTÓDIA S.A.; ;0;0;1;1;809;809; ;40;
2016;Set/Out;Menos de quatro milhões de clientes;Banco/financeira;71027866;BANCO BONSUCESSO S.A.; ;2;57;10;69;52965;4049;49076;1881;
2016;Set/Out;Menos de quatro milhões de clientes;Banco/financeira;02992446;BANCO CNH INDUSTRIAL CAPITAL S.A.; ;1;1;4;6;27068;1657;25988; ;
2016;Set/Out;Menos de quatro milhões de clientes;Banco/financeira;08357240;BANCO CSF S.A.;3,54;11;21;59;91;3100241; ;3100241; ;
2016;Set/Out;Menos de quatro milhões de clientes;Banco/financeira;04902979;BANCO DA AMAZONIA S.A.; ;2;1;3;6;513926;425000;184132;282148;
2016;Set/Out;Menos de quatro milhões de clientes;Banco/financeira;05040481;BANCO DE LAGE LANDEN BRASIL S.A.; ;0;0;1;1;45922; ;45922; ;
2016;Set/Out;Menos de quatro milhões de clientes;Banco/financeira;13009717;BANCO DO ESTADO DE SERGIPE S.A.;15,15;14;5;9;28;923560;822523;359401;616172;
2016;Set/Out;Menos de quatro milhões de clientes;Banco/financeira;04913711;BANCO DO ESTADO DO PARÁ S.A.; ;5;7;19;31;742693;733535;206043;569151;
2016;Set/Out;Mais de quatro milhões de clientes;Banco/financeira;07237373;BANCO DO NORDESTE DO BRASIL S.A.; 0 ;0;5;16;21;5710864;5523102;1028191;4199199;
2016;Set/Out;Menos de quatro milhões de clientes;Banco/financeira;58616418;BANCO FIBRA S.A.; ;2;4;15;21;185861;4584;181750;1431;
2016;Set/Out;Menos de quatro milhões de clientes;Banco/financeira;61348538;BANCO FICSA S.A.; ;0;1;0;1;33893;647;33250;50;
2016;Set/Out;Menos de quatro milhões de clientes;Banco/financeira;62237425;BANCO FIDIS S/A; ;0;1;1;2;4727;352;4387; ;
2016;Set/Out;Menos de quatro milhões de clientes;Banco/financeira;90731688;BANCO FORD S.A.; ;0;0;1;1;360;80;284; ;
2016;Set/Out;Menos de quatro milhões de clientes;Banco/financeira;59118133;BANCO LUSO BRASILEIRO S.A.; ;0;0;2;2;11467;4843;7018;1326;
2016;Set/Out;Menos de quatro milhões de clientes;Banco/financeira;00253448;BANCO NEON S.A.; ;0;2;5;7;11911;10205;1966;499;
2016;Set/Out;Menos de quatro milhões de clientes;Banco/financeira;00795423;BANCO SEMEAR S.A.; ;2;2;3;7;420811;3717;417318;1425;
2016;Set/Out;Menos de quatro milhões de clientes;Banco/financeira;07679404;BANCO TOPÁZIO S.A.; ;0;0;1;1;59935;2365;58140;234;
2016;Set/Out;Menos de quatro milhões de clientes;Banco/financeira;03215790;BANCO TOYOTA DO BRASIL S.A.; ;0;0;3;3;142581;15128;129749; ;
2016;Set/Out;Menos de quatro milhões de clientes;Banco/financeira;17351180;BANCO TRIANGULO S.A.; ;6;4;4;14;1161984;161155;1014546;14128;
2016;Set/Out;Menos de quatro milhões de clientes;Conglomerado; ;BANCOOB (conglomerado); ;3;17;20;40;1730129;1111072;723931;0;
2016;Set/Out;Menos de quatro milhões de clientes;Conglomerado; ;BANESTES (conglomerado); ;3;0;6;9;1313951;1189354;421020;875371;
2016;Set/Out;Menos de quatro milhões de clientes;Conglomerado; ;BANIF (conglomerado); ;0;0;3;3;11118;2816;8329;1661;
2016;Set/Out;Mais de quatro milhões de clientes;Conglomerado; ;BANRISUL (conglomerado);5,48;24;130;84;238;4371622;3233622;2268369;2396891;
2016;Set/Out;Menos de quatro milhões de clientes;Conglomerado; ;BARIGUI (conglomerado); ;0;14;4;18;33676; ;33676; ;
2016;Set/Out;Mais de quatro milhões de clientes;Conglomerado; ;BB (conglomerado);10,86;643;1721;3386;5750;59193165;55473093;23767052;47271334;
2016;Set/Out;Menos de quatro milhões de clientes;Conglomerado; ;BMG (conglomerado);39,10;132;258;353;743;3375153;16036;3361629;5359;
2016;Set/Out;Menos de quatro milhões de clientes;Conglomerado; ;BNP PARIBAS (conglomerado);16,07;41;380;345;766;2551141;15854;2535730;2381;
2016;Set/Out;Mais de quatro milhões de clientes;Conglomerado; ;BRADESCO (conglomerado);14,59;1362;2002;2601;5965;93303199;77752081;47828496;34916513;
2016;Set/Out;Menos de quatro milhões de clientes;Conglomerado; ;BRB (conglomerado);31,33;25;59;58;142;797904;703625;304568;573788;
2016;Set/Out;Mais de quatro milhões de clientes;Conglomerado; ;CAIXA ECONÔMICA FEDERAL (conglomerado);17,20;1418;1811;3895;7124;82408979;79465067;17735885;71128239;
2016;Set/Out;Menos de quatro milhões de clientes;Conglomerado; ;CCB (conglomerado); ;9;68;105;182;312403;9319;304595;4283;
2016;Set/Out;Menos de quatro milhões de clientes;Conglomerado; ;CITIBANK (conglomerado);27,37;35;77;103;215;1278697;554637;897159;208910;
2016;Set/Out;Menos de quatro milhões de clientes;Conglomerado; ;CREDIT SUISSE (conglomerado); ;0;0;1;1;3435;3435;102; ;
2016;Set/Out;Menos de quatro milhões de clientes;Banco/financeira;60779196;CREFISA S.A.-CREDITO, FINANCIAMENTO E INVESTIMENTOS; ;8;56;18;82;1401367; ;1401367; ;
2016;Set/Out;Menos de quatro milhões de clientes;Conglomerado; ;DACASA FINANCEIRA (conglomerado); ;1;0;5;6;1171298; ;1171298; ;
2016;Set/Out;Menos de quatro milhões de clientes;Conglomerado; ;DAYCOVAL (conglomerado);42,20;38;410;134;582;900442;45191;861309;12890;
2016;Set/Out;Menos de quatro milhões de clientes;Banco/financeira;15581638;FACTA FINANCEIRA S.A. - CRÉDITO FINANCIAMENTO E INVESTIMENTO; ;3;2;2;7;20654; ;20654; ;
2016;Set/Out;Menos de quatro milhões de clientes;Conglomerado; ;GMAC (conglomerado); ;2;13;37;52;544838;727;544233; ;
2016;Set/Out;Menos de quatro milhões de clientes;Conglomerado; ;HERVAL - HS (conglomerado); ;0;1;2;3;222647; ;222647; ;
2016;Set/Out;Menos de quatro milhões de clientes;Conglomerado; ;HONDA (conglomerado); ;0;3;0;3;457562;17;457551; ;
2016;Set/Out;Menos de quatro milhões de clientes;Conglomerado; ;INDUSTRIAL DO BRASIL (conglomerado); ;1;1;9;11;57690;4189;54051;783;
2016;Set/Out;Menos de quatro milhões de clientes;Conglomerado; ;INDUSVAL (conglomerado); ;0;0;4;4;7007;6333;1235;2814;
2016;Set/Out;Menos de quatro milhões de clientes;Conglomerado; ;INTERMEDIUM (conglomerado);264,11;13;65;38;116;49221;49221; ;9195;
