Ano;Trimestre;Tipo;Irregularidade;Aplicação;
2018;4º;Reclamação regulada;Abertura de conta de depósito com documentação falsa;"Para as situações em que são encontrados indícios de que a instituição não fez qualquer outra verificação adicional para certificar-se da legitimidade da documentação apresentada, ou não consultou a situação do(s) titular(es) da conta no CPF, para fins de abertura da conta.
";
2018;4º;Reclamação regulada;Abertura de conta de depósito sem documentação necessária;"Para os casos envolvendo a abertura de conta sem documentação necessária e aplicável quando, por exemplo, houver indícios de que: 
- por ocasião da abertura, não houve a qualificação completa do titular;
- a instituição não dispõe de cópia de todos os documentos utilizados para a abertura de conta (ativa) ou as cópias disponíveis não estão legíveis;
- a instituição alega não possuir cópia de documentos de abertura de conta encerrada há menos de 5 anos.";
2018;4º;Reclamação regulada;Abertura de conta de pagamento sem documentação necessária ou com documentação falsa;"Para os casos envolvendo a abertura irregular de conta de pagamento e aplicável quando, por exemplo, houver indícios de que: 
- por ocasião da abertura, não houve a qualificação completa do titular;
- a instituição não dispõe de cópia de todos os documentos utilizados para a abertura de conta de pagamento (ativa) ou as cópias disponíveis não estão legíveis;
- a instituição alega não possuir cópia de documentos de abertura de conta de pagamento;
- a instituição não fez qualquer verificação adicional para certificar-se da legitimidade da documentação apresentada, ou não consultou a situação do(s) titular(es) da conta no CPF, para fins de abertura da conta de pagamento.";
2018;4º;Reclamação não regulada;Alteração contratual sem prévio aviso;Para os casos envolvendo alteração contratual por parte da instituição financeira sem prévio aviso.;
2018;4º;Reclamação não regulada;Arranjos de pagamento;"Para os casos relacionados a arranjos de pagamento, integrantes ou não do Sistema de Pagamentos Brasileiro (SPB), versando sobre os seguintes assuntos, dentre outros:
- reclamações contra instituidor do arranjo de pagamento;
- descumprimento do regulamento contendo as regras de funcionamento do arranjo;
- sistema de compensação e liquidação;
- prazos para disponibização dos recursos ao usuário final;
- interoperabilidade entre participantes de um mesmo arranjo e entre arranjos.";
2018;4º;Reclamação regulada;Ausência de cláusula contratual prevendo a opção pela utilização de serviços e tarifas individualizados ou por pacote de serviços;"Para os casos envolvendo a ausência de cláusula destacada no contrato de abertura de conta prevendo a faculdade de o cliente optar, sem a necessidade de adesão ou contratação específica de pacote de serviço, pela utilização de serviços e pagamento de tarifas individualizados, além daqueles serviços gratuitos previstos na regulamentação vigente.";
2018;4º;Reclamação regulada;Ausência de contrato com beneficiário de boleto de pagamento;Para os casos envolvendo a ausência de contrato celebrado com o beneficiário detentor de conta creditada com recursos decorrentes de boletos de pagamento.;
2018;4º;Reclamação regulada;Ausência de informações sobre as regras de funcionamento nos contratos de cartões de crédito ou seu descumprimento;"Para os casos envolvendo ausência de previsão das regras de funcionamento nos contratos de prestação de serviços vinculados a cartão de crédito ou seu descumprimento, inclusive aquelas relativas às situações em que a utilização do cartão origina operações de crédito, bem como as respectivas sistemáticas de incidência de encargos.";
2018;4º;Reclamação regulada;Ausência de título adequado relativo a cartão de crédito;Para os casos envolvendo ausência de contratação ou contratação inadequada de cartão de crédito.;
2018;4º;Reclamação regulada;Ausência de título adequado relativo a cartão de crédito consignado;Para os casos envolvendo ausência de contratação ou contratação inadequada de cartão de crédito consignado.;
2018;4º;Reclamação não regulada;Bloqueio de cartão de crédito;"Para as situações relacionados a bloqueio de cartão de crédito, por parte da instituição financeira, por qualquer motivo, ou demora/dificuldades enfrentadas para desbloqueio de cartão de crédito.

";
2018;4º;Reclamação não regulada;Bloqueio de conta;"Para as situações relacionadas a bloqueio de conta de depósito, por parte da instituição financeira, tais como:
- bloqueio efetuado em conta (bloqueio judicial direto, via BacenJud e via papel);
- bloqueio da conta para fim de encerramento;
- impedimento de consulta ou movimentação de conta por meios alternativos (internet, cartão em caixas eletrônicos), para forçar pagamento ou a renegociação de dívida ou por motivo de segurança (acesso com senhas incorretas, suspeita de clonagem de cartão, etc). ";
2018;4º;Reclamação não regulada;Bloqueio de margem consignável sem liberação do empréstimo (exceto cartão de crédito consignável);"Para as situações de bloqueio de margem consignável, não tendo sido liberado o valor do empréstimo (exceto cartão de crédito consignável).
";
2018;4º;Reclamação não regulada;Bloqueio de margem consignável sem utilização do crédito pelo cliente - Cartão de crédito consignável;"Para as situações de bloqueio de margem consignável, relacionado a cartão de crédito consignável, sem que o crédito tenha sido utilizado pelo cliente.
";
2018;4º;Reclamação regulada;Cancelamento de contrato a pedido do cliente não atendido;Para os casos em que a instituição financeira se recusa ou cria obstáculos para efetuar o cancelamento do contrato solicitado pelo cliente. ;
2018;4º;Reclamação não regulada;Cancelamento de contrato por iniciativa da instituição financeira;"Para as situações de cancelamento de contratos por parte da instituição financeira sem aviso ao cliente, exceto nos casos em que haja previsão regulamentar.";
2018;4º;Reclamação não regulada;Cartão pré-pago;"Para situações envolvendo cartão pré-pago em moeda nacional ou estrangeira, tais como:
- não aceitação do cartão pré-pago em estabelecimentos comerciais, inclusive quando da utilização de cartões em moeda estrangeira no exterior; 
- fornecimento de cartão com problemas;
- demora no envio de 2ª via de cartão;
- consulta de saldo e extrato.";
2018;4º;Reclamação não regulada;Cartões de débito;"Para situações relacionadas a cartões de débito, tais como:
- dificuldades de obtenção do cartão;
- fornecimento de cartão com problemas;
- demora no envio de 2ª via de cartão; 
- demora no envio de cartão com nova validade.
";
2018;4º;Reclamação regulada;Cobrança irregular de tarifa de serviço diferenciado (exceto cartão de crédito);Para os casos de cobrança de tarifa de serviço diferenciado (exceto cartão de crédito).;
2018;4º;Reclamação regulada;Cobrança irregular de tarifa de serviço prioritário (exceto cartão de crédito);Para os casos de cobrança irregular de tarifa envolvendo serviço prioritário (exceto cartão de crédito).;
2018;4º;Reclamação regulada;Cobrança irregular de tarifa de serviço prioritário referente a cartão de crédito ;Para os casos de cobrança de tarifa envolvendo serviço prioritário em cartão de crédito.;
2018;4º;Reclamação regulada;Cobrança irregular de tarifa diferenciada em cartão de crédito;Para os casos de cobrança de tarifa diferenciada em cartão de crédito.;
2018;4º;Reclamação regulada;Cobrança irregular de tarifa em conta de depósito à vista ou de poupança superior ao saldo disponível;"Para os casos em que o valor do lançamento do débito referente à cobrança de tarifa em conta de depósitos à vista ou em conta de depósitos de poupança foi superior ao saldo disponível, que engloba, inclusive, eventual limite de crédito acordado entre as partes.";
2018;4º;Reclamação regulada;Cobrança irregular de tarifa em financiamento imobiliário;Para os casos de cobrança irregular de tarifas relacionadas às operações de financiamento imobiliário enquadradas dentro ou fora do Sistema Financeiro da Habitação.;
2018;4º;Reclamação regulada;Cobrança irregular de tarifa para recebimento de boleto de pessoa jurídica;"Para os casos de cobrança de tarifa do sacado, pessoa jurídica, por parte da instituição financeira recebedora, em razão do recebimento de boleto de cobrança de outra instituição.";
2018;4º;Reclamação regulada;Cobrança irregular de tarifa pela emissão ou recebimento de boleto, fatura de cobrança, carnês e assemelhados;"Para os casos em que há cobrança de tarifa pela emissão ou recebimento de boletos, faturas de cobrança, carnês e assemelhados.";
2018;4º;Reclamação regulada;Cobrança irregular de tarifa pela prestação de serviços especiais a pessoa física;"Para os casos de cobrança de tarifa pela prestação de serviços especiais a pessoas naturais, cuja legislação e regulamentação específicas definem as tarifas e as condições em que são aplicáveis, a exemplo dos serviços referentes ao (às): 
- crédito rural;
- Sistema Financeiro de Habitação - SFH;
- Fundo de Garantia do Tempo de Serviço - FGTS;
- Fundo PIS/PASEP;
- penhor civil previsto no Decreto nº 6.473, de 5.6.2008;
- contas especiais de que trata a Resolução nº 3.211, de 30.6.2004; 
- contas de registro e controle disciplinadas pela Resolução nº 3.402, de 6.9.2006;
- operações de microcrédito de que trata a Resolução nº 3.422, de 30.11.2006.";
2018;4º;Reclamação regulada;Cobrança irregular de tarifa pela prestação de serviços essenciais à pessoa natural;"Para os casos envolvendo cobrança de tarifa pela prestação de serviços essenciais a pessoas naturais, assim considerados aqueles relativos a:

I- Conta de depósito à vista: 
- fornecimento de cartão com função débito; 
- fornecimento de segunda via do cartão de débito, exceto nos casos decorrentes de perda, roubo, furto, danificação e outros motivos não imputáveis à instituição emitente; 
- realização de até quatro saques, por mês, em guichê de caixa, inclusive por meio de cheque ou de cheque avulso, ou em terminal de autoatendimento; 
- realização de até duas transferências de recursos entre contas na própria instituição, por mês, em guichê de caixa, em terminal de autoatendimento e/ou pela internet; 
- fornecimento de até dois extratos, por mês, contendo a movimentação dos últimos 30 dias por meio de guichê de caixa e/ou terminal de autoatendimento; 
- realização de consultas mediante utilização da internet; 
- fornecimento, até 28 de fevereiro de cada ano, do extrato consolidado, discriminando, mês a mês, os valores cobrados no ano anterior relativos a tarifas, entre outros; 
- compensação de cheques; 
- fornecimento de até dez folhas de cheques por mês, desde que o cliente reúna os requisitos necessários à utilização de cheques, conforme a regulamentação em vigor e condições pactuadas; e 
- prestação de qualquer serviço por meios eletrônicos, no caso de contas cujos contratos prevejam utilizar exclusivamente meios eletrônicos. 

II- Conta de depósitos de poupança:
- fornecimento de cartão com função movimentação; 
- fornecimento de segunda via do cartão, exceto nos casos de pedidos de reposição formulados pelo correntista, decorrentes de perda, roubo, furto, danificação e outros motivos não imputáveis à instituição emitente; 
- realização de até dois saques, por mês, em guichê de caixa ou em terminal de autoatendimento; 
- realização de até duas transferências, por mês, para conta de depósitos de mesma titularidade; 
- fornecimento de até dois extratos, por mês, contendo a movimentação dos últimos trinta dias; 
- realização de consultas mediante utilização da internet; 
- fornecimento, até 28 de fevereiro de cada ano, do extrato consolidado, discriminando, mês a mês, os valores cobrados no ano anterior relativos a tarifas, entre outros;
- prestação de qualquer serviço por meios eletrônicos, no caso de contas cujos contratos prevejam utilizar exclusivamente meios eletrônicos. ";
2018;4º;Reclamação regulada;Cobrança irregular de tarifa por serviços não contratados;Para os casos envolvendo a cobrança de tarifa pela prestação de serviços não contratados ou autorizados pelo cliente ou usuário.;
2018;4º;Reclamação regulada;Cobrança irregular para fins de remuneração de correspondentes no País;"Para os casos envolvendo cobrança adicional de tarifa, comissão, valores referentes a ressarcimento de serviços prestados por terceiros ou qualquer outra forma de remuneração, pelo fornecimento de produtos ou serviços por correspondente no País.";
2018;4º;Reclamação não regulada;Cobranças diversas;"Para situações diversas relacionados a cobrança, tais como:
- cobrança de dívida em atraso, sem especificar o valor correspondente a cada item cobrado;
- cobrança de ressarcimento de serviços prestados por terceiros;
- imposição de constrangimentos em cobranças de dívidas, inclusive cartão de crédito.";
2018;4º;Reclamação não regulada;Cobranças diversas em operação de crédito consignado;"Para as situações envolvendo cobrança, por parte da instituição financeira, de parcela, já quitada, incluída no saldo devedor, em operações de crédito consignado.";
2018;4º;Reclamação regulada;Concessão de crédito (exceto consignado) sem a formalização do título adequado;"Para os casos envolvendo a concessão de crédito em todas as demais modalidades por parte da instituição financeira (exceto as de consignado), sem existir, contudo, a formalização do título constitutivo da dívida. Nesta rubrica não estão incluídas as situações relacionadas à conta de pagamento pós paga de cartões de crédito (exceto os de consignado) sem a formalização do título adequado.
";
