Ano;Trimestre;Categoria;Tipo;CNPJ IF;Instituição financeira;Índice;Quantidade de reclamações reguladas procedentes;Quantidade de reclamações reguladas - outras;Quantidade de reclamações não reguladas;Quantidade total de reclamações;Quantidade total de clientes – CCS e SCR;Quantidade de clientes – CCS;Quantidade de clientes – SCR;
2023;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;ABC-BRASIL (conglomerado); ;3;7;2;12;59729;52665;11921;
2023;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;13140088;ACESSO SOLUÇÕES DE PAGAMENTO S.A. - INSTITUIÇÃO DE PAGAMENTO;31,39;101;72;12;185;3216690;3206638;65204;
2023;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;10868663;ACG INSTITUIÇÃO DE PAGAMENTO S.A.; ;1;0;0;1;60581;58381;2200;
2023;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;33171211;ACQIO ADQUIRENCIA INSTITUICAO DE PAGAMENTO S.A.; ;1;0;0;1;0;0;0;
2023;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;AFINZ (conglomerado); ;24;31;28;83;419782;1099;418735;
2023;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;AGIBANK (conglomerado);154,31;370;573;81;1024;2397638;1830264;1614567;
2023;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;36321990;AGORACRED S/A SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO; ;7;2;0;9;607987;129;607858;
2023;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;27214112;AL5 S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO; ;0;2;2;4;19414;8131;16115;
2023;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;ALFA (conglomerado); ;15;43;14;72;441009;266751;175223;
2023;3º;Top 15 - Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;AME DIGITAL (conglomerado);1,67;55;122;9;186;32779759;32778320;41214;
2023;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;ANDBANK (conglomerado); ;0;4;4;8;63627;4403;59245;
2023;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;ASAAS (conglomerado); ;18;60;4;82;677938;677935;10;
2023;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;54403563;BANCO ARBI S.A.; ;5;13;0;18;243635;243635; ;
2023;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;00997185;BANCO B3 S.A.; ;0;0;2;2;1255;1255; ;
2023;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;02992446;BANCO CNH INDUSTRIAL CAPITAL S.A.; ;0;1;0;1;31966;1317;30837;
2023;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;08357240;BANCO CSF S.A.;8,96;75;102;74;251;8369521; ;8369521;
