Ano;Trimestre;Categoria;Tipo;CNPJ IF;Instituição financeira;Irregularidade;Quantidade de reclamações procedentes;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;24313102;99PAY INSTITUICAO DE PAGAMENTO S.A.;Abertura de conta de pagamento sem documentação necessária ou com documentação falsa - instituição de pagamento;29;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;24313102;99PAY INSTITUICAO DE PAGAMENTO S.A.;Bloqueio de valores ou de conta fora do âmbito do Pix - instituição de pagamento;278;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;24313102;99PAY INSTITUICAO DE PAGAMENTO S.A.;Cancelamento de contrato a pedido do cliente de conta de pagamento pós-paga não atendido - instituição de pagamento;0;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;24313102;99PAY INSTITUICAO DE PAGAMENTO S.A.;Cobranças diversas de IPs;0;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;24313102;99PAY INSTITUICAO DE PAGAMENTO S.A.;Descumprimento de prazo de resposta da reclamação registrada no BCB - instituição de pagamento;2;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;24313102;99PAY INSTITUICAO DE PAGAMENTO S.A.;Insatisfação com a resposta referente à reclamação registrada no BCB recebida - instituição de pagamento;10;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;24313102;99PAY INSTITUICAO DE PAGAMENTO S.A.;Irregularidade na portabilidade salarial para contas de pagamento pré-pagas - instituição de pagamento;0;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;24313102;99PAY INSTITUICAO DE PAGAMENTO S.A.;Irregularidades no processo de encerramento de conta de pagamento - instituição de pagamento;10;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;24313102;99PAY INSTITUICAO DE PAGAMENTO S.A.;Irregularidades relacionadas ao acompanhamento de conta de pagamento - instituição de pagamento;35;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;24313102;99PAY INSTITUICAO DE PAGAMENTO S.A.;Irregularidades relacionadas ao fornecimento de documentos por conta de pagamentos pós-paga - instituição de pagamento;0;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;24313102;99PAY INSTITUICAO DE PAGAMENTO S.A.;Irregularidades relacionadas ao fornecimento de documentos por conta de pagamentos pré-paga - instituição de pagamento;0;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;24313102;99PAY INSTITUICAO DE PAGAMENTO S.A.;Irregularidades relacionadas ao Sistema de Informações de Crédito do Banco Central (SCR) - instituição de pagamento;0;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;24313102;99PAY INSTITUICAO DE PAGAMENTO S.A.;Irregularidades relacionadas à liquidação de documentos (exceto cheques) - instituição de pagamento;2;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;24313102;99PAY INSTITUICAO DE PAGAMENTO S.A.;Irregularidades relativas a integridade, confiabilidade, segurança, sigilo ou legitimidade das operações e serviços prestados relacionados a conta de pagamento pós-paga - instituição de pagamento;6;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;24313102;99PAY INSTITUICAO DE PAGAMENTO S.A.;Irregularidades relativas a integridade, confiabilidade, segurança, sigilo ou legitimidade das operações e serviços prestados relacionados a conta de pagamento pré-paga - instituição de pagamento;76;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;24313102;99PAY INSTITUICAO DE PAGAMENTO S.A.;Limites de transação - instituição de pagamento;10;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;24313102;99PAY INSTITUICAO DE PAGAMENTO S.A.;Oferta ou prestação de informação a respeito de produtos e serviços de forma inadequada para conta de pagamento pré-paga - instituição de pagamento;4;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;24313102;99PAY INSTITUICAO DE PAGAMENTO S.A.;Outras irregularidades - instituição de pagamento;0;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;24313102;99PAY INSTITUICAO DE PAGAMENTO S.A.;Pix - Bloqueio ou devolução irregular de valores - instituição de pagamento;2;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;24313102;99PAY INSTITUICAO DE PAGAMENTO S.A.;Pix - Dificuldade para solicitar ou realizar devolução - instituição de pagamento;23;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;24313102;99PAY INSTITUICAO DE PAGAMENTO S.A.;Pix - experiência do usuário - instituição de pagamento;0;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;24313102;99PAY INSTITUICAO DE PAGAMENTO S.A.;Pix - liquidação - instituição de pagamento;25;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;24313102;99PAY INSTITUICAO DE PAGAMENTO S.A.;Pix - outros - instituição de pagamento;0;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;24313102;99PAY INSTITUICAO DE PAGAMENTO S.A.;PIX - Chaves - instituição de pagamento;10;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;24313102;99PAY INSTITUICAO DE PAGAMENTO S.A.;PIX - Diversos - instituição de pagamento;0;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;24313102;99PAY INSTITUICAO DE PAGAMENTO S.A.;PIX - Iniciação - instituição de pagamento;25;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;24313102;99PAY INSTITUICAO DE PAGAMENTO S.A.;Reclamações relacionadas a assuntos diversos envolvendo - instituição de pagamento;0;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;24313102;99PAY INSTITUICAO DE PAGAMENTO S.A.;Recusa de produtos ou serviços - instituição de pagamento;0;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;24313102;99PAY INSTITUICAO DE PAGAMENTO S.A.;Renegociação de dívida em instituição de pagamento;0;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;24313102;99PAY INSTITUICAO DE PAGAMENTO S.A.;Terminais eletrônicos, internet e aplicativos - instituição de pagamento;0;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;24313102;99PAY INSTITUICAO DE PAGAMENTO S.A.;Transações não reconhecidas pelo titular da conta, realizadas por terceiros (invasão de conta) - instituição de pagamento;8;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;ABC-BRASIL (conglomerado);Bloqueio de valores ou de conta fora do âmbito do Pix;0;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;ABC-BRASIL (conglomerado);Irregularidades no processo de encerramento de conta de depósitos à vista;0;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;ABC-BRASIL (conglomerado);Reclamações relacionadas a assuntos diversos;0;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;ABN AMRO (conglomerado);Dificuldade na liberação ou substituição de bem;0;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;ABN AMRO (conglomerado);Inclusão de dados incorretos no CCS (Cadastro de Clientes do Sistema Financeiro Nacional);0;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;10868663;ACG INSTITUIÇÃO DE PAGAMENTO S.A.;Insatisfação com o atendimento prestado pelo SAC ou Central de Relacionamento - instituição de pagamento;0;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;14796606;ADYEN DO BRASIL INSTITUICAO DE PAGAMENTO LTDA.;Golpe;0;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;14796606;ADYEN DO BRASIL INSTITUICAO DE PAGAMENTO LTDA.;Irregularidades relacionadas ao acompanhamento de conta de pagamento - instituição de pagamento;2;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;14796606;ADYEN DO BRASIL INSTITUICAO DE PAGAMENTO LTDA.;Pix - Dificuldade para solicitar ou realizar devolução - instituição de pagamento;0;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;14796606;ADYEN DO BRASIL INSTITUICAO DE PAGAMENTO LTDA.;Recusa de produtos ou serviços - instituição de pagamento;0;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;AFINZ (conglomerado);Abertura de conta de depósito com documentação ausente, insuficiente ou falsa;1;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;AFINZ (conglomerado);Cancelamento de contrato a pedido do cliente de conta de pagamento pós-paga não atendido - instituição de pagamento;0;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;AFINZ (conglomerado);Cobrança irregular de tarifa em operação de crédito;0;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;AFINZ (conglomerado);Cobrança irregular de tarifa relacionada ao cartão de crédito;1;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;AFINZ (conglomerado);Cobranças diversas de IPs;0;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;AFINZ (conglomerado);Dificuldade na liberação ou substituição de bem;0;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;AFINZ (conglomerado);Golpe;0;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;AFINZ (conglomerado);Insatisfação com a resposta recebida da instituição financeira referente à reclamação registrada no BCB;3;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;AFINZ (conglomerado);Insatisfação com a resposta referente à reclamação registrada no BCB recebida - instituição de pagamento;0;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;AFINZ (conglomerado);Irregularidades relacionadas ao fornecimento de documentos relativos a cartão de crédito;1;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;AFINZ (conglomerado);Irregularidades relacionadas ao Sistema de Informações de Crédito do Banco Central (SCR);0;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;AFINZ (conglomerado);Irregularidades relacionadas ao Sistema de Informações de Crédito do Banco Central (SCR) - instituição de pagamento;0;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;AFINZ (conglomerado);Irregularidades relativas a crédito rotativo de cartão de crédito e inadimplência do cartão de crédito;0;
