Ano;Trimestre;Categoria;Tipo;CNPJ IF;Instituição financeira;Índice;Quantidade total de reclamações respondidas;Quantidade de reclamações procedentes;Quantidade de reclamações procedentes extrapoladas;Quantidade total de reclamações analisadas;Quantidade total de clientes – CCS e SCR;Quantidade de clientes – CCS;Quantidade de clientes – SCR;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;24313102;99PAY INSTITUICAO DE PAGAMENTO S.A.;66,68;1578;284;555;807;8327691;8327691;0;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;ABC-BRASIL (conglomerado); ;1;1;0;3;50722;44087;11695;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;ABN AMRO (conglomerado); ;4;0;0;2;0;0;0;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;10868663;ACG INSTITUIÇÃO DE PAGAMENTO S.A.; ;1;0;0;1;74646;71714;3051;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;14796606;ADYEN DO BRASIL INSTITUICAO DE PAGAMENTO LTDA.; ;8;1;2;5;120;13;107;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;AFINZ (conglomerado); ;82;15;19;65;522120;1110;521075;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;AGIBANK (conglomerado);598,47;4372;914;1980;2015;3308566;2616788;2134485;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;36321990;AGORACRED S/A SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO; ;38;7;11;25;668159;132;668027;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;27214112;AL5 S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO; ;3;2;2;4;20207;10665;14753;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;04740876;ALELO INSTITUICAO DE PAGAMENTO SA; ;68;28;40;48;4805449;4670899;145933;
2024;3º;Top 15 - Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;AME DIGITAL (conglomerado);41,83;2471;802;1351;1483;32302852;32293186;13544;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;ANDBANK (conglomerado); ;13;1;1;13;82230;4439;77814;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;ASAAS (conglomerado);51,18;115;39;47;96;912740;912736;101;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;B3 (conglomerado); ;7;0;0;8;1176;1176;0;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;54403563;BANCO ARBI S.A.;67,60;83;36;36;84;526164;516225;18073;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;03609817;BANCO CARGILL S.A.; ;1;0;0;1;334;333;64;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;33132044;BANCO CEDULA S.A.; ;3;1;3;1;18005;2801;15422;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;31597552;BANCO CLASSICO S.A.; ;1;0;0;1;21;21;0;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;02992446;BANCO CNH INDUSTRIAL CAPITAL S.A.; ;7;0;0;5;32621;1030;31757;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;75647891;BANCO CRÉDIT AGRICOLE BRASIL S.A.; ;0;0;0;1;605;555;71;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;08357240;BANCO CSF S.A.;12,95;893;70;117;536;9000840;0;9000840;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;04902979;BANCO DA AMAZONIA S.A.; ;33;3;4;24;646311;591878;203628;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;05040481;BANCO DE LAGE LANDEN BRASIL S.A.; ;11;2;3;7;40276;6;40272;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;92874270;BANCO DIGIMAIS S.A.;346,51;258;59;71;215;204322;48432;171772;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;04913711;BANCO DO ESTADO DO PARÁ S.A.;103,44;226;103;116;201;1119506;997238;470282;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;07237373;BANCO DO NORDESTE DO BRASIL S.A.; ;133;4;6;89;10139243;9583821;3329292;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;58616418;BANCO FIBRA S.A.; ;5;2;3;3;166286;6504;160692;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;53518684;BANCO HSBC S.A.; ;8;0;0;6;5639;5625;105;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;04866275;BANCO INBURSA S.A.;2.218,85;1511;356;647;832;291382;3;291379;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;91884981;BANCO JOHN DEERE S.A.; ;3;0;0;2;13205;257;13008;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;07656500;BANCO KDB DO BRASIL S.A.; ;2;0;0;4;178;171;12;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;59118133;BANCO LUSO BRASILEIRO S.A.; ;1;0;0;1;2897;2150;1113;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;60498557;BANCO MUFG BRASIL S.A.; ;1;0;0;1;2811;2800;49;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;28517628;BANCO PACCAR S.A.; ;2;0;0;2;2048;5;2043;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;61820817;BANCO PAULISTA S.A.; ;36;8;11;27;99025;10527;88867;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;40429946;BANCO PORTO REAL DE INVESTIMENTOS S.A; ;1;0;0;1;19;0;19;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;80271455;BANCO RNX S.A.; ;1;0;0;1;2502;99;2436;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;00795423;BANCO SEMEAR S.A.; ;20;2;2;18;190764;5758;185877;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;BANCO SICOOB (conglomerado); ;734;28;36;568;6901413;3235092;4518386;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;07679404;BANCO TOPÁZIO S.A.; ;15;6;6;15;11719;10664;2539;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;BANCO TOYOTA DO BRASIL S.A. (conglomerado); ;50;9;11;40;163394;15226;148912;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;17351180;BANCO TRIANGULO S.A.; ;81;6;8;64;1826621;671424;1476491;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;BANESE (conglomerado);24,56;104;36;41;91;1661753;883310;1146033;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;BANESTES (conglomerado); ;110;25;30;93;1463949;1428656;422842;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;BANRISUL (conglomerado);83,52;1597;290;455;1018;5442202;3912220;4125788;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;BARIGUI (conglomerado);721,82;219;66;68;213;94011;52251;52672;
2024;3º;Top 15 - Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;BB (conglomerado);18,15;10724;201;1407;1528;77486517;71229884;36715307;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;BBC (conglomerado); ;16;0;0;12;13129;0;13129;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;20443996;BECKER FINANCEIRA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO; ;8;2;4;4;222995;3;222993;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;35523352;BEES INSTITUICAO DE PAGAMENTO LTDA.; ;2;0;0;1;99;99;0;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;10506341;BLU INSTITUIÇÃO DE PAGAMENTO LTDA.; ;2;0;0;1;39764;39764;0;
