Ano;Trimestre;Categoria;Tipo;CNPJ IF;Conglomerado;Instituição financeira;Índice;Quantidade total de reclamações respondidas;Quantidade de reclamações procedentes;Quantidade de reclamações procedentes extrapoladas;Quantidade total de reclamações analisadas;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;92874270; ;BANCO DIGIMAIS S.A.;346,51;258;59;71;215;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;91884981; ;BANCO JOHN DEERE S.A.; ;3;0;0;2;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;80271455; ;BANCO RNX S.A.; ;1;0;0;1;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;78632767; ;OURIBANK S.A. BANCO MÚLTIPLO; ;31;7;9;25;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;75647891; ;BANCO CRÉDIT AGRICOLE BRASIL S.A.; ;0;0;0;1;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;74828799; ;NOVO BANCO CONTINENTAL S.A. - BANCO MÚLTIPLO; ;67;9;11;55;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;61820817; ;BANCO PAULISTA S.A.; ;36;8;11;27;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;60498557; ;BANCO MUFG BRASIL S.A.; ;1;0;0;1;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;59118133; ;BANCO LUSO BRASILEIRO S.A.; ;1;0;0;1;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;58616418; ;BANCO FIBRA S.A.; ;5;2;3;3;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;54403563; ;BANCO ARBI S.A.;67,60;83;36;36;84;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;53518684; ;BANCO HSBC S.A.; ;8;0;0;6;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;46241852; ;COMPREV - CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A.; ;5;3;3;6;
