Ano;Semestre;CNPJ AC;Administradora de consórcio;Índice;Quantidade de reclamações reguladas procedentes;Quantidade de reclamações reguladas - outras;Quantidade de reclamações não reguladas;Quantidade total de reclamações;Quantidade de clientes – Consorciados;
2025;1º;84911098;ADEMICON ADMINISTRADORA DE CONSÓRCIOS S.A.;24,58;9;26;4;39;366141;
2025;1º;06044551;ADMINISTRADORA DE CONSORCIO NACIONAL GAZIN LTDA; ;2;1;1;4;67033;
2025;1º;45441789;ADMINISTRADORA DE CONSORCIO NACIONAL HONDA LTDA;28,38;65;61;24;150;2289735;
2025;1º;07808907;ADMINISTRADORA DE CONSORCIOS SICREDI LTDA;18,57;8;15;5;28;430621;
2025;1º;73230674;ADMINISTRADORA DE CONSÓRCIO RCI BRASIL LTDA;409,31;9;12;0;21;21988;
2025;1º;91341925;ADMINISTRADORA DE CONSÓRCIO SPENGLER LTDA.; ;1;0;0;1;4765;
2025;1º;12228808;ADMINISTRADORA DE CONSÓRCIO UNICOOB LTDA; ;1;0;0;1;53459;
2025;1º;90982679;ALPHA ADMINISTRADORA DE CONSÓRCIO LTDA.;1.416,67;41;21;0;62;28941;
2025;1º;60375243;ANCORA ADMINISTRADORA DE CONSORCIOS S.A.;108,63;9;21;2;32;82849;
2025;1º;03762583;ÁPICE ADMINISTRADORA DE CONSORCIO LTDA; ;1;0;0;1;6105;
2025;1º;71045363;BAMAQ ADMINISTRADORA DE CONSÓRCIOS LTDA;184,76;14;13;1;28;75772;
2025;1º;02010478;BANCORBRÁS ADMINISTRADORA DE CONSÓRCIOS S.A.; ;1;11;0;12;26456;
2025;1º;92692979;BANRISUL S.A. - ADMINISTRADORA DE CONSÓRCIOS; ;1;8;0;9;77557;
2025;1º;06043050;BB ADMINISTRADORA DE CONSORCIOS S.A.;50,20;88;60;20;168;1752677;
2025;1º;06181431;BP ADMINISTRADORA DE CONSÓRCIO LTDA; ;0;4;0;4;10182;
2025;1º;14723388;BR CONSÓRCIOS ADMINISTRADORA DE CONSÓRCIOS LTDA; ;2;6;5;13;83982;
2025;1º;52568821;BRADESCO ADMINISTRADORA DE CONSÓRCIOS LTDA.;118,45;190;214;41;445;1604037;
2025;1º;72461643;CAMVEL ADMINISTRADORA DE CONSÓRCIOS LTDA.; ;0;1;0;1;2018;
2025;1º;68318773;CANOPUS ADMINISTRADORA DE CONSORCIOS S/A; ;1;9;1;11;93865;
2025;1º;13170428;CIMAVEL ADMINISTRADORA DE CONSÓRCIO LTDA.; ;2;0;0;2;2495;
2025;1º;59129403;CNF - ADMINISTRADORA DE CONSÓRCIOS NACIONAL LTDA.; ;1;1;0;2;5436;
2025;1º;05349595;CNP CONSÓRCIO S.A. ADMINISTRADORA DE CONSÓRCIOS;789,00;82;51;8;141;103929;
2025;1º;27268770;COIMEX ADMINISTRADORA DE CONSÓRCIOS S.A.; ;5;21;1;27;56003;
2025;1º;44474674;COMAUTO ADMINISTRADORA DE CONSORCIO LTDA; ;0;2;0;2;7128;
2025;1º;07336852;CONBRAV - ADMINISTRADORA DE CONSÓRCIOS LTDA.; ;0;1;1;2;5004;
2025;1º;44196293;CONSHOP ADMINISTRADORA DE CONSORCIOS LTDA.; ;1;1;0;2;4771;
2025;1º;47658539;CONSÓRCIO NACIONAL VOLKSWAGEN - ADMINISTRADORA DE CONSÓRCIO LTDA.;305,81;24;28;6;58;78480;
2025;1º;58919903;CONVEF ADMINISTRADORA DE CONSÓRCIOS LTDA.; ;3;3;1;7;11686;
2025;1º;61550836;COOPERATIVA MISTA ROMA; ;2;17;2;21;14453;
2025;1º;05794450;DESTAQUE ADMINISTRADORA DE CONSORCIOS LTDA; ;0;1;0;1;790;
2025;1º;59395061;DISAL ADMINISTRADORA DE CONSÓRCIOS LTDA;285,53;40;42;3;85;140088;
2025;1º;58113812;EMBRACON ADMINISTRADORA DE CONSÓRCIO LTDA;247,19;70;113;7;190;283174;
2025;1º;40513064;EUTBEM ADMINISTRADORA DE CONSÓRCIO S.A.; ;5;1;0;6;1368;
2025;1º;42735881;EVOY ADMINISTRADORA DE CONSORCIO LTDA.;3.360,21;35;6;0;41;10416;
2025;1º;91107581;FARROUPILHA ADMINISTRADORA DE CONSÓRCIOS LTDA.; ;0;1;0;1;50350;
2025;1º;00600262;FERRAZ ADMINISTRACAO E CONSORCIOS LTDA; ;0;0;1;1;644;
2025;1º;00643742;FUNDACAO HABITACIONAL DO EXERCITO - FHE; ;1;2;0;3;27687;
2025;1º;49937055;GMAC ADMINISTRADORA DE CONSORCIOS LTDA;149,59;19;34;3;56;127010;
2025;1º;26228270;GROSCON ADMINISTRADORA DE CONSORCIOS LTDA.; ;1;7;0;8;2366;
2025;1º;73516106;HS ADMINISTRADORA DE CONSÓRCIOS LTDA;40,10;13;25;4;42;324127;
2025;1º;00000776;ITAÚ ADMINISTRADORA DE CONSÓRCIOS LTDA.;190,82;128;106;23;257;670788;
2025;1º;41629070;KLUBI ADMINISTRADORA DE CONSÓRCIOS LTDA.;350,36;19;6;1;26;54229;
2025;1º;62798475;KSK ADMINISTRADORA DE CONSÓRCIO LTDA.;319,84;6;17;0;23;18759;
2025;1º;60250776;LUIZA ADMINISTRADORA DE CONSÓRCIOS LTDA;101,35;11;9;4;24;108528;
2025;1º;04250224;MAGGI ADMINISTRADORA DE CONSÓRCIOS LTDA;139,78;6;12;0;18;42924;
2025;1º;45793395;MASSEY FERGUSON ADMINISTRADORA DE CONSÓRCIOS LTDA; ;0;1;0;1;22672;
2025;1º;05126027;MOTOASA ADMINISTRADORA DE CONSÓRCIOS LTDA.; ;0;1;0;1;10112;
2025;1º;04124922;MULTIMARCAS ADMINISTRADORA DE CONSORCIOS LTDA.;439,97;12;38;2;52;27274;
2025;1º;05652765;NANUQUE ADMINISTRADORA DE CONSÓRCIOS LTDA.; ;0;2;0;2;7562;
2025;1º;20919916;OPÇÃO ADMINISTRADORA DE CONSÓRCIOS LTDA; ;0;1;0;1;3654;
2025;1º;48041735;PORTO SEGURO ADMINISTRADORA DE CONSÓRCIOS LTDA;430,91;187;75;20;282;433963;
2025;1º;87433413;PORTOBENS ADMINISTRADORA DE CONSORCIOS LTDA; ;1;1;0;2;14196;
2025;1º;51597300;PRIMO ROSSI ADMINISTRADORA DE CONSÓRCIO LTDA.; ;2;5;1;8;29715;
2025;1º;09111444;PROMOVE ADMINISTRADORA DE CONSÓRCIO LTDA.;3.322,59;33;16;0;49;9932;
2025;1º;91108027;RANDON ADMINISTRADORA DE CONSÓRCIOS LTDA.; ;1;2;1;4;105927;
2025;1º;23767155;RECON ADMINISTRADORA DE CONSORCIOS LTDA; ;2;9;0;11;25024;
2025;1º;62354055;REMAZA ADMINISTRADORA DE CONSÓRCIO LTDA.; ;3;13;1;17;15271;
2025;1º;28904092;RESERVA ADMINISTRADORA DE CONSÓRCIO LTDA;5.151,45;25;16;0;41;4853;
2025;1º;51855716;RODOBENS ADMINISTRADORA DE CONSÓRCIOS LTDA.;126,31;14;24;5;43;110835;
2025;1º;55942312;SANTANDER BRASIL ADMINISTRADORA DE CONSÓRCIO LTDA.;149,95;61;91;17;169;406783;
2025;1º;96479258;SCANIA ADMINISTRADORA DE CONSÓRCIOS LTDA.; ;0;1;0;1;19402;
2025;1º;94187879;SERELLO ADMINISTRADORA DE CONSÓRCIOS LTDA; ;1;1;0;2;0;
2025;1º;76515071;SERVOPA ADMINISTRADORA DE CONSORCIOS LTDA;65,28;7;11;4;22;107226;
2025;1º;16551061;SICOOB ADMINISTRADORA DE CONSÓRCIOS LTDA.;70,04;31;32;6;69;442542;
2025;1º;87945218;SIMPALA LANÇADORA E ADMINISTRADORA DE CONSÓRCIOS LTDA.;965,53;20;8;0;28;20714;
2025;1º;87852273;SINOSSERRA ADMINISTRADORA DE CONSÓRCIOS LTDA; ;0;1;0;1;3671;
2025;1º;04058605;SOLUÇÃO ADMINISTRADORA DE CONSÓRCIOS LTDA.; ;2;0;0;2;10302;
2025;1º;57723801;SUZUKI MOTOS ADMINISTRADORA DE CONSÓRCIO LTDA.; ;1;1;0;2;4622;
2025;1º;53211488;TARRAF ADMINISTRADORA DE CONSÓRCIOS LTDA.; ;0;1;0;1;15522;
2025;1º;05551841;TÁGIDE ADMINISTRADORA DE CONSÓRCIOS LTDA.; ;0;1;0;1;416;
2025;1º;43707203;TOYOTA ADMINISTRADORA DE CONSÓRCIOS DO BRASIL LTDA.; ;1;1;0;2;17209;
2025;1º;59956185;TRADIÇÃO ADMINISTRADORA DE CONSÓRCIO LTDA.;494,64;12;6;0;18;24260;
2025;1º;83553883;UNIÃO CATARINENSE ADMINISTRADORA DE CONSORCIOS LTDA; ;0;2;0;2;9172;
2025;1º;60732997;UNIFISA ADMINISTRADORA NACIONAL DE CONSORCIOS LTDA;387,03;11;15;0;26;28421;
2025;1º;74118381;VOLVO ADMINISTRADORA DE CONSÓRCIO LTDA.; ;1;0;0;1;14074;
2025;1º;40011095;XS5 ADMINISTRADORA DE CONSÓRCIOS S.A.;272,86;59;63;8;130;216224;
2025;1º;47458153;YAMAHA ADMINISTRADORA DE CONSÓRCIO LTDA.; ;4;15;3;22;162152;
2025;1º;23367634;ZEMA ADMINISTRADORA DE CONSÓRCIO LTDA;675,84;11;13;0;24;16276;
