Ano;Semestre;Tipo;Irregularidade;Aplicação;
2025;2º;Reclamação não regulada;Cadastro positivo envolvendo consórcio;"Reclamações diversas sobre o Cadastro Positivo envolvendo consórcio, conforme a Lei 12.414/2011, com alterações feitas pela Lei Complementar 166/2019, não sujeita a fiscalização do BCB.";
2025;2º;Reclamação regulada;Cancelamento de contrato a pedido do cliente não atendido por administradora de consórcio;Para os casos em que a administradora de consórcio se recusa ou cria obstáculos para efetuar o cancelamento do contrato solicitado pelo cliente.;
2025;2º;Reclamação não regulada;Cobranças Diversas - Consórcio;"Para situações diversas relacionadas à cobrança, tais como:
- cobrança de dívida em atraso, sem especificar o valor correspondente a cada item cobrado;
- Imposição de constrangimentos em cobranças de dívidas.";
2025;2º;Reclamação regulada;Descumprimento de cláusulas referentes à devolução de valores;"Irregularidades relacionadas à devolução de valores, nas situações:
- devolução de valores a consorciados excluídos;
- pagamento pelo consorciado, com recursos próprios, de algum valor para aquisição do bem;
- aquisição de bem com preço inferior ao valor do respectivo crédito;
- devolução de valores decorrente de não constituição do grupo no prazo de 90 dias;
- saldo positivo decorrente da alienação do bem por inadimplência;
- diferença da indenização referente ao seguro de vida;
- dissolução do grupo.";
2025;2º;Reclamação regulada;Descumprimento de obrigações previstas em contratos;"Descumprimento, por parte da administradora de consórcio, de obrigações previstas em contratos.";
2025;2º;Reclamação não regulada;Descumprimento de ordem judicial - Consórcio;"Para as situações envolvendo descumprimento, por parte da Administradora de Consórcio, de ordem judicial.";
2025;2º;Reclamação regulada;Descumprimento de prazo de resposta a demanda;"Descumprimento, por parte da administradora de consórcio, do prazo de resposta concedido pelo Banco Central.";
2025;2º;Reclamação regulada;Falta de transparência na redação de documentos por parte de administradora de consórcio;"Para os casos envolvendo a não utilização por parte de administradora de consórcio de redação clara, objetiva e adequada à natureza e à complexidade da operação ou do serviço, em contratos, recibos, extratos, comprovantes e documentos destinados ao público, de forma a permitir o entendimento do conteúdo e a identificação de prazos, valores, encargos, multas, datas, locais e demais condições.";
2025;2º;Reclamação regulada;Insatisfação com a resposta fornecida pela administradora de consórcio relativa à demanda registrada contra ela;"Manifestação de insatisfação, por parte do reclamante, com a resposta fornecida, pela administradora de consórcio, a demanda de reclamação registrada contra ela.";
2025;2º;Reclamação regulada;Insatisfação por parte do cliente com o atendimento prestado pela administradora de consórcio;"Problemas diversos envolvendo atendimento por Consórcio, tais como:
- atendimento descortês; 
- dificuldade de acesso ao SAC;
- não estabelecimento de prazos ou não cumprimento dos prazos estabelecidos para resposta às consultas e reclamações;
- etc.";
2025;2º;Reclamação regulada;Irregularidades relacionadas a informações e liquidação de valores a receber no sistema SVR do BCB por parte de consórcios;Para as situações envolvendo falta de remessa ou remessa intempestiva de informações sobre valores a receber ou liquidação intempestiva de valores a receber no Sistema de Informações de Valores a Receber (SVR) do BCB por parte de consórcios.;
2025;2º;Reclamação regulada;Irregularidades relacionadas à liberação do crédito;"Dificuldades impostas pela administradora de consórcio para a liberação do crédito ao consorciado, nas situações: 
- utilização do crédito para quitação de financiamento; 
- liberação de crédito em espécie; 
- disponibilização da carta de crédito ao consorciado contemplado; e 
- pagamento do bem.";
2025;2º;Reclamação regulada;Irregularidades relacionadas às condições para contemplação por lance ou sorteio;"Ausência de informações/cláusulas, nos contratos de consórcio, sobre condições e regras para contemplação por sorteio ou por lance; ou descumprimento, por parte da administradora de consórcio, das condições e regras previstas em norma.";
2025;2º;Reclamação regulada;Irregularidades relativas a integridade, confiabilidade, segurança, sigilo ou legitimidade das operações e serviços prestados relacionados a administradora de consórcio;"Para as situações envolvendo integridade, confiabilidade, segurança ou o sigilo das transações realizadas, bem como a legitimidade das operações contratadas e dos serviços prestados por administradora de consórcio, tais como falhas sistêmicas, falhas operacionais, cobranças indevidas, etc. ";
2025;2º;Reclamação não regulada;Irregularidades relativas a telemarketing, SMS ou WhatsApp com oferta de Consórcio;"Ligações telefônicas, mensagens via e-mail, SMS ou WhatsApp oferecendo Consórcio.";
2025;2º;Reclamação regulada;Não fornecimento, remessa ou divulgação de documentos por parte de administradora de consórcio;"Não fornecimento, remessa ou divulgação, por parte da administradora de consórcio, de documentos tais como: 
- Contratos/termos de adesão; 
- Atas de assembleias;
- Extratos das cotas;
- Informativos contábeis;
- Etc.";
2025;2º;Reclamação regulada;Oferta ou prestação de informação a respeito de produtos e serviços de forma inadequada por administradora de consórcio;Para os casos em que houver indícios de que a administradora de consórcio ofertou produtos e serviços inadequados ou prestou informações a respeito dos mesmos de forma insuficiente para a tomada de decisão por parte de clientes e usuários.;
2025;2º;Reclamação regulada;Outras irregularidades;Outras irregularidades relacionadas a consórcios.;
2025;2º;Reclamação não regulada;Reclamações relacionadas a assuntos diversos;Outras reclamações relacionadas a consórcio.;
2025;2º;Reclamação não regulada;Recusa de produtos ou serviços - Consórcio;"Para as situações relacionadas à recusa de produtos e serviços, por parte de Administradora de Consórcio, tais como:
- venda de cota;
- readmissão de cota cancelada;
- substituição de bens dados em garantia;  
- aditamento contratual (alteração de cláusulas propostas pelo cliente);
- transferência de titularidade da cota.";
2025;2º;Reclamação não regulada;Renegociação de dívida - Consórcio;Para as situações envolvendo renegociação de dívidas.;
2025;2º;Reclamação não regulada;Restrições cadastrais - Consórcio;"Para as situações envolvendo restrições cadastrais no Serasa, SPC e outros cadastros não constantes da base de dados do Banco Central.";
